
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Jose Alvarez,25,2,0,0,0.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Erick Aybar,30,155,154,140,1365.0,563,194,359,10,75,.982,-11,-10,-3,-3,3.65,3.57,,,,,,,,SS
Gordon Beckham,27,23,12,12,135.2,56,17,36,3,8,.946,-2,-17,-3,-27,3.52,2.12,,,,,,,,3B-2B-SS-DH
Cam Bedrosian,22,17,0,0,19.1,6,2,4,0,0,1.000,,,0,0,2.79,0.35,,,1,1,50%,26%,0,P
Brennan Boesch,29,12,20,2,62.0,15,14,0,1,0,.933,-0,-4,-1,-19,2.03,0.52,,,,,,,,RF-LF-CF-DH
John Buck,33,5,0,0,10.0,11,11,0,0,0,1.000,0,0,0,0,9.90,2.20,0,0,0,0,,,0,C
Sean Burnett,31,3,0,0,0.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Kole Calhoun,26,124,112,105,1042.1,244,234,9,1,1,.996,2,2,2,2,2.10,1.94,,,,,,,,RF-1B
Tony Campana,28,13,1,1,46.2,15,15,0,0,0,1.000,-3,-76,-3,-80,2.89,1.00,,,,,,,,CF-LF-DH
David Carpenter,26,1,0,0,3.0,2,1,1,0,0,1.000,,,0,0,6.00,2.00,,,1,0,0%,27%,0,P
Hank Conger,26,79,70,56,637.1,643,599,37,7,1,.989,-3,-6,1,2,8.98,8.05,1,30,57,18,24%,27%,1,C
Collin Cowgill,28,97,71,50,682.1,182,175,4,3,2,.984,11,19,9,16,2.36,1.66,,,,,,,,RF-LF-CF-DH
C.J. Cron,24,36,62,21,251.0,234,221,12,1,23,.996,-6,-27,-5,-24,8.35,3.15,,,,,,,,1B-DH
Dane De La Rosa,31,3,0,0,2.1,4,0,4,0,0,1.000,,,0,0,15.43,1.33,,,0,0,,,0,P
Jairo Diaz,23,5,0,0,5.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,1,0,0%,27%,0,P
David Freese,31,122,128,54,959.1,237,67,162,8,18,.966,-9,-11,-9,-11,2.15,1.73,,,,,,,,3B-DH
Ernesto Frieri,28,34,0,0,31.0,3,1,2,0,0,1.000,,,-1,-6,0.87,0.09,,,0,0,,,0,P
Grant Green,26,33,23,14,207.2,62,31,31,0,7,1.000,-2,-12,0,1,2.69,1.68,,,,,,,,LF-2B-3B-SS-1B-DH
Jason Grilli,37,40,0,0,33.2,7,1,6,0,1,1.000,,,0,0,1.87,0.18,,,1,0,0%,27%,1,P
Jarrett Grube,32,1,0,0,0.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Josh Hamilton,33,74,88,68,668.2,177,169,3,5,1,.972,4,7,-1,-2,2.32,1.93,,,,,,,,LF-CF-DH
Yoslan Herrera,33,20,0,0,16.2,5,0,5,0,0,1.000,,,1,13,2.70,0.25,,,2,0,0%,26%,0,P
Rich Hill,34,2,0,0,0.0,0,0,0,0,0,,,,0,,,0.00,,,0,0,,,0,P
Chris Iannetta,31,104,92,80,835.1,782,744,36,2,5,.997,1,1,-10,-14,8.40,7.43,4,44,49,21,30%,27%,3,C-DH
Raul Ibanez,42,21,40,9,132.0,49,47,2,0,2,1.000,1,7,1,9,3.34,1.02,,,,,,,,LF-1B-DH
Kevin Jepsen,29,74,0,0,65.0,15,3,11,1,1,.933,,,3,10,1.94,0.19,,,4,1,20%,27%,0,P
Luis Jimenez,26,16,10,10,100.2,27,9,18,0,5,1.000,1,11,-3,-36,2.41,1.50,,,,,,,,3B-DH
Howie Kendrick,30,154,157,145,1386.0,684,267,406,11,83,.984,6,5,7,6,4.37,4.29,,,,,,,,2B-DH
Michael Kohn,28,25,0,0,23.2,1,1,0,0,0,1.000,,,0,0,0.38,0.04,,,3,0,0%,27%,0,P
Wade LeBlanc,29,10,3,0,28.2,4,1,3,0,0,1.000,,,0,0,1.26,0.40,,,0,0,,,1,P
Nick Maronde,24,11,0,0,6.1,1,0,1,0,0,1.000,,,0,0,1.42,0.09,,,1,1,50%,26%,1,P
John McDonald,39,90,16,9,291.2,113,39,70,4,10,.965,7,28,-1,-4,3.36,1.17,,,,,,,,3B-SS-2B-DH
Mike Morin,23,60,0,0,59.0,12,5,6,1,0,.917,,,0,0,1.68,0.18,,,3,1,25%,26%,0,P
Efren Navarro,28,53,39,23,354.2,188,176,10,2,10,.989,-0,-1,3,10,4.72,3.05,,,,,,,,LF-1B-RF-DH
Shawn O'Malley,26,7,2,2,32.2,6,5,1,0,0,1.000,0,7,0,0,1.65,0.75,,,,,,,,LF-2B-RF-DH
Vinnie Pestano,29,12,0,0,9.2,0,0,0,0,0,,,,-1,-19,0.00,0.00,,,0,0,,,0,P
Albert Pujols,34,116,159,96,1023.0,963,879,81,3,78,.997,7,8,6,7,8.45,6.00,,,,,,,,1B-3B-DH
Cory Rasmus,26,30,6,0,56.0,12,3,8,1,1,.917,,,0,0,1.77,0.37,,,3,2,40%,27%,0,P
Garrett Richards,26,26,26,1,168.2,26,10,13,3,0,.885,,,-1,-1,1.23,0.88,,,10,3,23%,27%,0,P
Michael Roth,24,7,0,0,12.1,7,1,5,1,2,.857,,,0,0,4.38,0.86,,,2,1,33%,27%,1,P
Drew Rucinski,25,3,0,0,7.1,2,1,1,0,0,1.000,,,0,0,2.45,0.67,,,0,0,,,0,P
Fernando Salas,29,57,0,0,58.2,13,6,7,0,1,1.000,,,0,0,1.99,0.23,,,4,0,0%,26%,0,P
Hector Santiago,26,30,24,0,127.1,22,3,17,2,0,.909,,,3,5,1.41,0.67,,,10,7,41%,27%,6,P
Matt Shoemaker,27,27,20,0,136.0,22,7,12,3,1,.864,,,2,3,1.26,0.70,,,7,3,30%,27%,2,P
J.B. Shuck,27,21,19,15,176.1,45,43,2,0,0,1.000,5,35,6,41,2.30,1.96,,,,,,,,LF-RF
Tyler Skaggs,22,18,18,0,113.0,20,2,17,1,0,.950,,,-3,-5,1.51,1.06,,,9,7,44%,27%,4,P
Joe Smith,30,76,0,0,74.2,15,3,12,0,1,1.000,,,1,3,1.81,0.20,,,3,0,0%,27%,0,P
Ian Stewart,29,20,16,11,147.0,51,34,16,1,1,.980,-1,-9,-6,-49,3.06,2.17,,,,,,,,3B-1B-DH
Huston Street,30,28,0,0,26.1,3,2,1,0,1,1.000,,,0,0,1.03,0.11,,,3,0,0%,27%,0,P
Joe Thatcher,32,16,0,0,6.1,1,1,0,0,0,1.000,,,-2,-60,1.42,0.06,,,0,0,,,0,P
Mike Trout,22,149,157,135,1314.0,390,383,4,3,1,.992,1,1,-9,-8,2.65,2.46,,,,,,,,CF-DH
Josh Wall,27,2,0,0,1.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Jered Weaver,31,34,34,1,213.1,39,12,25,2,0,.949,,,0,0,1.56,1.09,,,25,5,17%,27%,3,P
C.J. Wilson,33,31,31,1,175.2,34,9,22,3,1,.912,,,1,1,1.59,1.00,,,13,7,35%,27%,1,P
Team Totals,29.1,162,1458,1061,13344.0,6013,4448,1482,83,127,.986,8,1,,,4.00,2.65,5,74,106,39,27%,27%,24,
Rank in 15 AL teams,,,,,,,,,2,,1,,,,,,,,,,,,,,
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
