
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Nick Ahmed,24,20,18,17,167.1,74,27,45,2,13,.973,-2,-15,2,15,3.87,3.60,,,,,,,,SS-2B
Chase Anderson,26,21,21,0,114.1,26,9,16,1,1,.962,,,2,4,1.97,1.19,,,2,2,50%,28%,0,P
Bronson Arroyo,37,14,14,1,86.0,25,12,12,1,2,.960,,,0,0,2.51,1.71,,,5,5,50%,28%,0,P
Mike Bolsinger,26,10,9,0,52.1,16,5,11,0,0,1.000,,,2,8,2.75,1.60,,,1,3,75%,28%,0,P
Trevor Cahill,26,32,17,0,110.2,18,5,12,1,1,.944,,,-3,-5,1.38,0.53,,,17,4,19%,28%,0,P
Tony Campana,28,16,13,9,113.0,34,34,0,0,0,1.000,0,2,2,20,2.71,2.13,,,,,,,,CF-LF
Andrew Chafin,24,3,3,0,14.0,2,0,2,0,0,1.000,,,0,0,1.29,0.67,,,0,0,,,0,P
Eric Chavez,36,11,10,8,82.0,15,5,10,0,2,1.000,-2,-25,0,0,1.65,1.07,,,,,,,,3B-DH
Josh Collmenter,28,33,28,1,179.1,36,13,23,0,1,1.000,,,1,1,1.81,1.09,,,9,6,40%,28%,0,P
Eury De La Rosa,24,25,0,0,36.2,6,0,6,0,1,1.000,,,0,0,1.47,0.24,,,0,0,,,0,P
Randall Delgado,24,47,4,0,77.2,16,4,11,1,0,.938,,,-2,-5,1.74,0.32,,,5,0,0%,28%,0,P
Nick Evans,28,5,3,1,20.0,14,10,4,0,2,1.000,-0,-10,0,0,6.30,2.33,,,,,,,,1B-3B-LF-DH
Paul Goldschmidt,26,109,108,106,966.1,1021,934,80,7,83,.993,3,4,1,1,9.44,9.30,,,,,,,,1B
Tuffy Gosewisch,30,35,31,30,282.1,260,241,18,1,1,.996,3,13,0,0,8.26,7.40,1,9,11,8,42%,28%,0,C
Didi Gregorius,24,78,74,70,670.1,335,113,216,6,42,.982,-2,-3,2,4,4.42,4.11,,,,,,,,SS-2B-3B
Bradin Hagens,25,2,0,0,2.2,1,0,1,0,0,1.000,,,0,0,3.38,0.50,,,0,0,,,0,P
Will Harris,29,29,0,0,29.0,2,0,2,0,0,1.000,,,0,0,0.62,0.07,,,0,1,100%,28%,0,P
Aaron Hill,32,123,125,117,1082.1,584,217,360,7,70,.988,-11,-12,-10,-11,4.80,4.62,,,,,,,,2B-3B-DH
Daniel Hudson,27,3,0,0,2.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Ender Inciarte,23,114,98,97,909.0,281,266,10,5,0,.982,10,13,23,30,2.73,2.42,,,,,,,,CF-LF-RF
Brett Jackson,25,5,1,1,15.2,7,7,0,0,0,1.000,1,64,0,0,4.02,1.40,,,,,,,,RF-CF
Roger Kieschnick,27,8,7,6,64.1,12,11,0,1,0,.917,-1,-14,-2,-37,1.54,1.38,,,,,,,,LF-RF
Jake Lamb,23,34,33,33,289.1,76,14,61,1,5,.987,2,9,0,0,2.33,2.21,,,,,,,,3B
Evan Marshall,24,57,0,0,49.1,11,2,8,1,2,.909,,,1,4,1.82,0.18,,,3,1,25%,28%,0,P
Alfredo Marte,25,27,25,18,206.1,43,40,1,2,1,.953,2,9,1,6,1.79,1.46,,,,,,,,LF-RF-DH
