
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Arismendy Alcantara,22,70,69,66,629.2,214,142,66,6,9,.972,-1,-2,7,13,2.97,2.85,,,,,,,,CF-2B
Jake Arrieta,28,25,25,1,156.2,39,17,20,2,1,.949,,,-3,-4,2.13,1.48,,,24,5,17%,28%,0,P
Javier Baez,21,52,52,49,465.0,255,105,140,10,40,.961,-0,-0,-4,-10,4.74,4.45,,,,,,,,SS-2B
John Baker,33,56,51,47,464.0,469,437,30,2,2,.996,-7,-18,-1,-0,9.06,8.34,5,26,50,9,15%,28%,1,C-P
Darwin Barney,28,67,55,51,504.0,226,83,140,3,27,.987,4,10,8,19,3.98,3.33,,,,,,,,2B
Dallas Beeler,25,2,2,0,11.0,3,0,3,0,0,1.000,,,1,20,2.45,1.50,,,0,1,100%,28%,1,P
Emilio Bonifacio,29,68,62,46,575.2,193,123,65,5,19,.974,8,16,6,12,2.94,2.29,,,,,,,,CF-2B-3B-SS
Welington Castillo,27,106,103,97,916.1,883,784,93,6,6,.993,3,4,5,7,8.61,8.27,7,37,57,28,33%,28%,5,C
Starlin Castro,24,133,133,130,1188.0,549,148,386,15,74,.973,-0,-0,-7,-7,4.05,4.02,,,,,,,,SS
Chris Coghlan,29,103,93,79,829.1,180,171,5,4,2,.978,-7,-11,-15,-22,1.91,1.66,,,,,,,,LF-RF-DH
Felix Doubront,26,4,4,0,20.1,6,3,3,0,0,1.000,,,0,0,2.66,1.50,,,1,1,50%,28%,1,P
Kyuji Fujikawa,33,15,0,0,13.0,1,0,1,0,0,1.000,,,-1,-14,0.69,0.07,,,0,0,,,0,P
Justin Grimm,25,73,0,0,69.0,10,4,6,0,0,1.000,,,-1,-3,1.30,0.14,,,6,0,0%,28%,0,P
Jason Hammel,31,17,17,0,108.2,24,12,11,1,1,.958,,,1,2,1.90,1.35,,,8,2,20%,28%,1,P
Kyle Hendricks,24,13,13,0,80.1,20,4,16,0,3,1.000,,,1,3,2.24,1.54,,,4,3,43%,28%,0,P
Edwin Jackson,30,28,27,0,140.2,33,12,20,1,1,.970,,,4,6,2.05,1.14,,,14,5,26%,28%,4,P
Eric Jokisch,24,4,1,0,14.1,4,1,3,0,0,1.000,,,0,0,2.51,1.00,,,2,1,33%,28%,1,P
Ryan Kalish,26,38,27,16,237.1,56,55,0,1,0,.982,-2,-10,-7,-36,2.09,1.38,,,,,,,,LF-CF-RF
Junior Lake,24,85,70,48,633.2,155,145,3,7,1,.955,-0,-0,-5,-10,2.10,1.64,,,,,,,,LF-CF-RF
Rafael Lopez,26,4,1,1,20.0,24,23,1,0,0,1.000,0,0,0,0,10.80,6.00,0,0,2,1,33%,28%,0,C
Mike Olt,25,61,60,39,480.2,196,113,76,7,14,.964,-4,-9,-2,-5,3.54,2.82,,,,,,,,3B-1B-DH
Blake Parker,29,18,0,0,21.0,2,0,2,0,0,1.000,,,0,0,0.86,0.11,,,2,2,50%,28%,0,P
Neil Ramirez,25,50,0,0,43.2,4,3,1,0,0,1.000,,,-1,-4,0.82,0.08,,,6,0,0%,28%,0,P
Anthony Rizzo,24,140,140,135,1259.0,1311,1184,118,9,104,.993,8,8,6,6,9.31,9.30,,,,,,,,1B
Hector Rondon,26,64,0,0,63.1,19,9,10,0,1,1.000,,,1,3,2.70,0.30,,,6,1,14%,28%,0,P
Zac Rosscup,26,18,0,0,13.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Justin Ruggiano,32,57,52,37,461.2,117,115,1,1,0,.991,-4,-10,-10,-26,2.26,1.87,,,,,,,,RF-CF-LF
Chris Rusin,27,4,0,0,12.2,4,2,2,0,0,1.000,,,-1,-14,2.84,1.00,,,1,0,0%,28%,0,P
James Russell,28,44,0,0,33.1,8,2,6,0,0,1.000,,,0,0,2.16,0.18,,,4,1,20%,28%,0,P
Jeff Samardzija,29,17,17,0,108.0,30,15,12,3,1,.900,,,0,0,2.25,1.59,,,6,4,40%,28%,1,P
Nate Schierholtz,30,81,76,68,688.1,161,152,9,0,3,1.000,6,10,7,12,2.11,1.96,,,,,,,,RF-DH
Brian Schlitter,28,61,0,0,56.1,19,4,15,0,1,1.000,,,1,4,3.04,0.31,,,0,2,100%,28%,1,P
Jorge Soler,22,24,24,21,205.0,48,44,2,2,1,.958,1,7,1,6,2.02,1.92,,,,,,,,RF
Dan Straily,25,7,1,0,13.2,1,0,1,0,0,1.000,,,0,0,0.66,0.14,,,0,0,,,0,P
