
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Cristhian Adames,22,7,2,2,32.1,24,8,16,0,4,1.000,2,63,1,41,6.68,3.43,,,,,,,,SS-2B
Brett Anderson,26,8,8,0,43.1,5,0,5,0,0,1.000,,,-1,-4,1.04,0.63,,,1,1,50%,28%,1,P
Nolan Arenado,23,111,111,105,967.0,364,69,280,15,31,.959,8,10,16,20,3.25,3.14,,,,,,,,3B
Brandon Barnes,28,74,55,45,516.0,119,114,3,2,1,.983,3,7,6,14,2.04,1.48,,,,,,,,RF-LF-CF-DH
Matt Belisle,34,66,1,0,64.2,19,6,12,1,1,.947,,,1,3,2.51,0.27,,,4,1,20%,28%,0,P
Christian Bergman,26,10,10,0,54.2,11,5,6,0,0,1.000,,,1,4,1.81,1.10,,,2,1,33%,28%,1,P
Chad Bettis,25,21,0,0,24.2,11,0,10,1,0,.909,,,1,9,3.65,0.48,,,1,0,0%,28%,0,P
Charlie Blackmon,27,142,135,112,1201.1,330,317,6,7,2,.979,7,7,1,1,2.42,1.97,,,,,,,,RF-CF-LF
Rex Brothers,26,74,0,0,56.1,9,1,8,0,0,1.000,,,1,4,1.44,0.12,,,1,0,0%,28%,0,P
Brooks Brown,29,28,0,0,26.0,11,6,5,0,1,1.000,,,1,8,3.81,0.39,,,3,0,0%,28%,0,P
Eddie Butler,23,3,3,0,16.0,4,0,4,0,0,1.000,,,-1,-11,2.25,1.33,,,5,0,0%,28%,0,P
Jhoulys Chacin,26,11,11,0,63.1,13,2,10,1,1,.923,,,1,3,1.71,1.09,,,2,1,33%,28%,0,P
Tyler Chatwood,24,4,4,0,24.0,2,0,1,1,0,.500,,,0,0,0.38,0.25,,,0,1,100%,28%,0,P
