
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Wilin Rosario,25,106,410,382,46,102,25,0,13,54,1,0,23,70,.267,.305,.435,.739,94,166,17,0,0,5,5
2,1B,Justin Morneau*,33,135,550,502,62,160,32,3,17,82,0,3,34,60,.319,.364,.496,.860,126,249,7,6,0,8,4
3,2B,DJ LeMahieu,25,149,538,494,59,132,15,5,5,42,10,10,33,97,.267,.315,.348,.663,76,172,13,2,7,2,7
4,SS,Troy Tulowitzki,29,91,375,315,71,107,18,1,21,52,1,1,50,57,.340,.432,.603,1.035,172,190,4,5,0,5,4
5,3B,Nolan Arenado,23,111,467,432,58,124,34,2,18,61,2,1,25,58,.287,.328,.500,.828,117,216,13,4,1,5,1
6,LF,Corey Dickerson*,25,131,478,436,74,136,27,6,24,76,8,7,37,101,.312,.364,.567,.931,143,247,6,1,0,4,6
7,CF,Drew Stubbs,29,132,424,388,67,112,22,4,15,43,20,3,30,136,.289,.339,.482,.821,115,187,4,1,2,3,1
8,RF,Charlie Blackmon*,27,154,648,593,82,171,27,3,19,72,28,10,31,96,.288,.335,.440,.775,104,261,3,13,6,5,5
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,SS,Josh Rutledge,25,105,342,309,44,83,16,7,4,33,2,3,20,83,.269,.323,.405,.728,92,125,6,6,5,2,0
10,RF,Brandon Barnes,28,132,313,292,37,75,17,4,8,27,5,4,15,100,.257,.293,.425,.718,88,124,11,0,6,0,0
11,OF,Carlos Gonzalez*,28,70,281,260,35,62,15,1,11,38,3,0,19,70,.238,.292,.431,.723,89,112,7,1,0,1,2
12,IF,Charlie Culberson,25,95,233,210,17,41,7,2,3,24,2,2,12,62,.195,.253,.290,.544,44,61,6,5,4,2,2
13,RF,Michael Cuddyer,35,49,205,190,32,63,15,1,10,31,3,0,14,30,.332,.376,.579,.955,150,110,5,0,0,1,0
14,C,Michael McKenry,29,57,192,168,23,53,9,0,8,22,0,3,22,42,.315,.398,.512,.910,140,86,6,1,1,0,1
15,C,Jordan Pacheco,28,22,80,72,4,17,6,1,0,8,0,0,6,15,.236,.300,.347,.647,72,25,3,1,0,1,0
16,3B,Rafael Ynoa#,26,19,71,67,5,23,6,1,0,13,0,0,4,9,.343,.380,.463,.843,123,31,1,0,0,0,0
17,UT,Ben Paulsen*,26,31,66,63,8,20,4,0,4,10,0,0,2,19,.317,.348,.571,.920,140,36,1,1,0,0,1
18,CI,Ryan Wheeler*,25,31,64,56,6,13,2,0,2,13,0,0,5,12,.232,.281,.375,.656,73,21,1,0,0,3,0
19,UT,Matt McBride,29,21,34,31,6,7,2,0,2,6,0,0,2,12,.226,.294,.484,.778,103,15,0,1,0,0,0
20,UT,Kyle Parker,24,18,26,26,1,5,1,0,0,1,0,0,0,14,.192,.192,.231,.423,12,6,0,0,0,0,0
21,C,Jackson Williams,28,7,16,14,1,3,0,0,1,3,0,0,2,4,.214,.313,.429,.741,95,6,1,0,0,0,0
22,MI,Cristhian Adames#,22,7,15,15,1,1,0,0,0,0,0,0,0,5,.067,.067,.067,.133,-64,1,1,0,0,0,0
23,OF,Jason Pridie*,30,2,4,4,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
24,P,Jorge De La Rosa*,33,32,67,60,5,9,0,0,0,1,0,0,1,26,.150,.164,.150,.314,-16,9,1,0,6,0,0
25,P,Jordan Lyles,23,23,52,48,4,9,3,0,1,3,0,0,3,21,.188,.235,.313,.548,44,15,3,0,1,0,0
26,P,Tyler Matzek*,23,21,43,38,2,7,1,0,0,0,0,0,2,13,.184,.225,.211,.436,17,8,1,0,3,0,0
27,P,Franklin Morales*,28,38,39,30,2,3,0,0,0,0,0,0,3,15,.100,.182,.100,.282,-22,3,0,0,6,0,0
28,P,Juan Nicasio,27,33,27,24,0,2,0,0,0,4,0,0,0,13,.083,.080,.083,.163,-56,2,0,0,2,1,0
29,P,Christian Bergman,26,10,20,19,0,1,0,0,0,0,0,0,0,6,.053,.053,.053,.105,-72,1,0,0,1,0,0
30,P,Yohan Flande*,28,16,17,12,0,1,0,0,0,1,0,0,1,6,.083,.154,.083,.237,-35,1,0,0,4,0,0
31,P,Jhoulys Chacin,26,12,17,15,2,5,1,0,0,0,0,0,1,4,.333,.375,.400,.775,107,6,0,0,1,0,0
32,P,Brett Anderson*,26,8,15,14,0,2,2,0,0,1,0,0,0,7,.143,.143,.286,.429,11,4,0,0,1,0,0
33,P,Tyler Chatwood,24,4,10,10,0,1,0,0,0,0,0,0,0,5,.100,.100,.100,.200,-46,1,0,0,0,0,0
34,P,Eddie Butler,23,3,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0
35,P,Christian Friedrich,26,16,5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,7,1,0,0,0,0,0
36,P,Tommy Kahnle,24,54,4,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0
37,P,Chad Bettis,25,21,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
38,P,Pedro Hernandez*,25,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
39,P,Jair Jurrjens,28,2,2,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0
40,P,Matt Belisle,34,66,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
41,P,Brooks Brown*,29,28,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
42,P,LaTroy Hawkins,41,57,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
43,P,Wilton Lopez,30,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Boone Logan,29,35,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Rex Brothers*,26,74,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Rob Scahill*,27,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Nick Masset,32,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Chris Martin,28,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Adam Ottavino#,28,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,27.3,162,6164,5612,755,1551,307,41,186,721,85,48,397,1281,.276,.327,.445,.772,103,2498,121,48,59,48,39
,,Rank in 15 NL teams,,,,1,1,1,1,3,1,,11,13,15,9,1,3,1,1,,1,,10,,2,
,,Non-Pitcher Totals,27.3,162,5832,5319,740,1510,300,41,185,711,85,47,386,1154,.284,.335,.460,.795,109,2447,116,48,32,47,39
,,Pitcher Totals,26.8,162,332,293,15,41,7,0,1,10,0,1,11,127,.140,.170,.174,.345,-8,51,5,0,27,1,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
