
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Jorge De La Rosa*,33,14,11,.560,4.10,32,32,0,0,0,0,184.1,161,90,84,21,67,2,139,9,0,9,768,103,4.34,1.237,7.9,1.0,3.3,6.8,2.07
2,SP,Franklin Morales*,28,6,9,.400,5.37,38,22,4,0,0,0,142.1,166,90,85,24,65,4,100,6,4,5,646,79,5.42,1.623,10.5,1.5,4.1,6.3,1.54
3,SP,Jordan Lyles,23,7,4,.636,4.33,22,22,0,0,0,0,126.2,127,64,61,12,46,1,90,8,0,6,546,97,4.22,1.366,9.0,0.9,3.3,6.4,1.96
4,SP,Tyler Matzek*,23,6,11,.353,4.05,20,19,1,1,1,0,117.2,120,53,53,9,44,1,91,3,0,3,503,104,3.78,1.394,9.2,0.7,3.4,7.0,2.07
5,SP,Jhoulys Chacin,26,1,7,.125,5.40,11,11,0,0,0,0,63.1,63,38,38,8,28,1,42,1,0,4,272,78,4.82,1.437,9.0,1.1,4.0,6.0,1.50
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
6,CL,LaTroy Hawkins,41,4,3,.571,3.31,57,0,48,0,0,23,54.1,52,23,20,3,13,2,32,0,0,3,226,128,3.39,1.196,8.6,0.5,2.2,5.3,2.46
7,RP,Tommy Kahnle,24,2,1,.667,4.19,54,0,7,0,0,0,68.2,51,39,32,7,31,2,63,1,0,7,285,101,4.02,1.194,6.7,0.9,4.1,8.3,2.03
8,RP,Adam Ottavino,28,1,4,.200,3.60,75,0,16,0,0,1,65.0,67,26,26,6,16,1,70,4,0,4,272,118,3.10,1.277,9.3,0.8,2.2,9.7,4.38
9,RP,Matt Belisle,34,4,7,.364,4.87,66,1,13,0,0,0,64.2,74,35,35,5,19,2,43,1,0,3,282,87,3.74,1.438,10.3,0.7,2.6,6.0,2.26
10,RP,Rex Brothers*,26,4,6,.400,5.59,74,0,15,0,0,0,56.1,65,38,35,7,39,0,55,2,1,5,273,76,4.98,1.846,10.4,1.1,6.2,8.8,1.41
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
11,,Juan Nicasio,27,6,6,.500,5.38,33,14,7,0,0,0,93.2,107,59,56,19,31,1,63,1,1,3,409,79,5.45,1.473,10.3,1.8,3.0,6.1,2.03
12,,Yohan Flande*,28,0,6,.000,5.19,16,10,2,0,0,0,59.0,55,34,34,5,16,2,34,2,0,0,241,82,4.00,1.203,8.4,0.8,2.4,5.2,2.13
13,,Christian Bergman,26,3,5,.375,5.93,10,10,0,0,0,0,54.2,75,37,36,9,10,2,31,1,0,0,249,72,4.74,1.555,12.3,1.5,1.6,5.1,3.10
14,,Nick Masset,32,2,0,1.000,5.80,51,0,14,0,0,0,45.0,56,31,29,3,24,0,36,5,0,2,211,73,4.33,1.778,11.2,0.6,4.8,7.2,1.50
15,,Brett Anderson*,26,1,3,.250,2.91,8,8,0,0,0,0,43.1,44,18,14,1,13,3,29,0,0,0,180,146,2.99,1.315,9.1,0.2,2.7,6.0,2.23
16,,Brooks Brown,29,0,1,.000,2.77,28,0,9,0,0,0,26.0,20,9,8,3,5,1,21,1,0,1,104,154,3.71,0.962,6.9,1.0,1.7,7.3,4.20
17,,Boone Logan*,29,2,3,.400,6.84,35,0,8,0,0,0,25.0,31,20,19,6,11,1,32,1,0,3,116,62,5.13,1.680,11.2,2.2,4.0,11.5,2.91
18,,Chad Bettis,25,0,2,.000,9.12,21,0,9,0,0,0,24.2,42,26,25,4,10,2,13,1,0,5,127,47,5.52,2.108,15.3,1.5,3.6,4.7,1.30
19,,Christian Friedrich*,26,0,4,.000,5.92,16,3,3,0,0,0,24.1,25,21,16,3,10,1,27,2,0,5,110,72,4.00,1.438,9.2,1.1,3.7,10.0,2.70
20,,Tyler Chatwood,24,1,0,1.000,4.50,4,4,0,0,0,0,24.0,21,13,12,4,8,0,20,2,0,2,101,95,4.88,1.208,7.9,1.5,3.0,7.5,2.50
21,,Eddie Butler,23,1,1,.500,6.75,3,3,0,0,0,0,16.0,23,12,12,2,7,1,3,0,0,0,76,64,5.69,1.875,12.9,1.1,3.9,1.7,0.43
22,,Chris Martin,28,0,0,,6.89,16,0,1,0,0,0,15.2,22,12,12,2,4,0,14,0,2,1,69,63,3.77,1.660,12.6,1.1,2.3,8.0,3.50
23,,Rob Scahill,27,1,0,1.000,4.80,12,0,3,0,0,0,15.0,17,8,8,3,9,2,11,1,0,0,72,90,6.27,1.733,10.2,1.8,5.4,6.6,1.22
24,,Jair Jurrjens,28,0,1,.000,10.61,2,2,0,0,0,0,9.1,20,11,11,4,3,0,9,1,0,1,50,41,8.06,2.464,19.3,3.9,2.9,8.7,3.00
25,,Wilton Lopez,30,0,0,,11.37,4,0,1,0,0,0,6.1,18,8,8,3,0,0,4,0,0,0,36,39,8.03,2.842,25.6,4.3,0.0,5.7,
