
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Lane Adams,24,2,0,0,7.0,3,3,0,0,0,1.000,-0,-50,0,0,3.86,0.50,,,,,,,,CF-LF-DH
Nori Aoki,32,120,126,75,958.1,219,212,5,2,1,.991,1,1,-8,-10,2.04,1.63,,,,,,,,RF-LF-DH
Aaron Brooks,24,2,1,0,2.2,1,0,1,0,1,1.000,,,0,0,3.38,0.50,,,1,0,0%,27%,0,P
Francisley Bueno,33,30,0,0,32.1,6,4,2,0,1,1.000,,,-1,-6,1.67,0.20,,,0,0,,,0,P
Billy Butler,28,37,143,31,310.0,298,272,24,2,26,.993,0,1,-3,-12,8.59,2.04,,,,,,,,1B-DH
Lorenzo Cain,28,133,122,81,1111.2,348,338,8,2,0,.994,18,19,24,26,2.80,2.02,,,,,,,,CF-RF-DH
Bruce Chen,37,13,7,0,48.1,9,4,4,1,0,.889,,,0,0,1.49,0.62,,,6,1,14%,27%,1,P
Pedro Ciriaco,28,18,11,11,115.2,49,21,28,0,7,1.000,-1,-15,-1,-10,3.81,2.23,,,,,,,,2B-3B-SS-DH
Casey Coleman,26,10,0,0,12.0,3,2,1,0,1,1.000,,,0,0,2.25,0.30,,,0,1,100%,27%,0,P
Louis Coleman,28,31,0,0,34.0,7,1,6,0,1,1.000,,,1,6,1.85,0.23,,,0,2,100%,26%,0,P
Tim Collins,24,22,0,0,21.0,6,1,5,0,0,1.000,,,1,10,2.57,0.27,,,2,0,0%,26%,0,P
Christian Colon,25,17,11,9,106.0,53,17,34,2,5,.962,1,9,1,11,4.33,2.55,,,,,,,,2B-3B-SS-DH
Aaron Crow,27,67,0,0,59.0,12,6,6,0,0,1.000,,,0,0,1.83,0.18,,,4,1,20%,27%,1,P
Wade Davis,28,71,0,0,72.0,8,4,3,1,0,.875,,,-1,-2,0.88,0.10,,,4,1,20%,27%,0,P
Scott Downs,38,17,0,0,14.1,3,1,2,0,0,1.000,,,1,15,1.88,0.18,,,0,1,100%,27%,1,P
Danny Duffy,25,31,24,0,149.1,21,4,12,5,0,.762,,,-1,-1,0.96,0.52,,,5,3,38%,27%,6,P
Jarrod Dyson,29,108,66,64,691.1,236,228,4,4,0,.983,7,12,14,24,3.02,2.07,,,,,,,,CF-LF-DH
Alcides Escobar,27,162,162,156,1433.2,669,213,440,16,91,.976,-5,-5,-4,-3,4.10,4.03,,,,,,,,SS
Brandon Finnegan,21,7,0,0,7.0,1,0,1,0,0,1.000,,,0,0,1.29,0.14,,,0,0,,,0,P
