
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,James Shields,32,14,8,.636,3.21,34,34,0,1,1,0,227.0,224,95,81,23,44,0,180,11,2,12,939,123,3.59,1.181,8.9,0.9,1.7,7.1,4.09
2,SP,Jeremy Guthrie,35,13,11,.542,4.13,32,32,0,1,0,0,202.2,215,100,93,23,49,0,124,14,0,3,864,95,4.32,1.303,9.5,1.0,2.2,5.5,2.53
3,SP,Jason Vargas*,31,11,10,.524,3.71,30,30,0,1,1,0,187.0,197,82,77,19,41,4,128,6,1,1,790,106,3.84,1.273,9.5,0.9,2.0,6.2,3.12
4,SP,Yordano Ventura,23,14,10,.583,3.20,31,30,0,0,0,0,183.0,168,70,65,14,69,1,159,5,1,11,782,123,3.60,1.295,8.3,0.7,3.4,7.8,2.30
5,SP,Danny Duffy*,25,9,12,.429,2.53,31,25,1,0,0,0,149.1,113,52,42,12,53,2,113,5,0,5,606,156,3.83,1.112,6.8,0.7,3.2,6.8,2.13
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
6,CL,Greg Holland,28,1,3,.250,1.44,65,0,60,0,0,46,62.1,37,13,10,3,20,0,90,0,0,9,240,274,1.83,0.914,5.3,0.4,2.9,13.0,4.50
7,RP,Wade Davis,28,9,2,.818,1.00,71,0,11,0,0,3,72.0,38,8,8,0,23,0,109,3,0,1,279,396,1.19,0.847,4.8,0.0,2.9,13.6,4.74
8,RP,Kelvin Herrera,24,4,3,.571,1.41,70,0,12,0,0,0,70.0,54,12,11,0,26,0,59,3,0,1,285,280,2.69,1.143,6.9,0.0,3.3,7.6,2.27
9,RP,Aaron Crow,27,6,1,.857,4.12,67,0,20,0,0,3,59.0,52,32,27,10,24,1,34,0,0,2,244,96,5.40,1.288,7.9,1.5,3.7,5.2,1.42
10,RP,Louis Coleman,28,1,0,1.000,5.56,31,0,10,0,0,1,34.0,39,21,21,6,18,1,24,1,0,3,154,72,5.69,1.676,10.3,1.6,4.8,6.4,1.33
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
11,,Bruce Chen*,37,2,4,.333,7.45,13,7,6,0,0,0,48.1,69,40,40,7,16,1,36,1,0,0,223,53,4.58,1.759,12.8,1.3,3.0,6.7,2.25
12,,Francisley Bueno*,33,0,0,,4.18,30,0,8,0,0,0,32.1,36,16,15,3,7,2,20,1,1,1,142,95,3.84,1.330,10.0,0.8,1.9,5.6,2.86
13,,Michael Mariot,25,1,0,1.000,6.48,17,0,8,0,0,0,25.0,31,21,18,2,12,1,21,0,1,5,118,62,3.93,1.720,11.2,0.7,4.3,7.6,1.75
14,,Tim Collins*,24,0,3,.000,3.86,22,0,9,0,0,0,21.0,18,9,9,2,11,0,15,2,0,1,90,104,4.80,1.381,7.7,0.9,4.7,6.4,1.36
15,,Liam Hendriks,25,0,2,.000,4.66,6,3,0,0,0,0,19.1,26,12,10,0,3,0,15,1,0,1,86,86,2.20,1.500,12.1,0.0,1.4,7.0,5.00
16,,Jason Frasor,36,3,0,1.000,1.53,23,0,5,0,0,0,17.2,13,3,3,1,4,1,16,1,0,1,67,263,2.91,0.962,6.6,0.5,2.0,8.2,4.00
17,,Scott Downs*,38,0,2,.000,3.14,17,0,2,0,0,0,14.1,12,7,5,1,5,0,3,0,0,1,57,129,4.67,1.186,7.5,0.6,3.1,1.9,0.60
18,,Casey Coleman,26,1,0,1.000,5.25,10,0,4,0,0,0,12.0,16,8,7,0,6,0,5,0,0,0,55,77,3.80,1.833,12.0,0.0,4.5,3.8,0.83
19,,Brandon Finnegan*,21,0,1,.000,1.29,7,0,1,0,0,0,7.0,6,1,1,0,1,0,10,0,0,0,28,323,0.70,1.000,7.7,0.0,1.3,12.9,10.00
20,,Aaron Brooks,24,0,1,.000,43.88,2,1,1,0,0,0,2.2,12,13,13,1,3,0,2,2,0,0,24,10,12.13,5.625,40.5,3.4,10.1,6.8,0.67
21,,Justin Marks*,26,0,0,,13.50,1,0,0,0,0,0,2.0,4,3,3,0,3,0,2,0,0,0,13,35,5.63,3.500,18.0,0.0,13.5,9.0,0.67
22,,Wilking Rodriguez,24,0,0,,0.00,2,0,1,0,0,0,2.0,1,0,0,0,1,0,1,0,0,0,7,,3.63,1.000,4.5,0.0,4.5,4.5,1.00
23,,Donnie Joseph*,26,0,0,,81.00,1,0,0,0,0,0,0.2,5,6,6,1,1,0,2,0,0,0,8,8,21.13,9.000,67.5,13.5,13.5,27.0,2.00
,,Team Totals,29.2,89,73,.549,3.51,162,162,159,3,2,53,1450.2,1386,624,565,128,440,14,1168,56,6,58,6101,113,3.69,1.259,8.6,0.8,2.7,7.2,2.65
,,Rank in 15 AL teams,,4,12,,4,,,,7,5,1,10,6,4,4,3,4,,11,,,,,,,,,,,,
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
