
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Erisbel Arruebarrena,24,21,9,9,116.0,43,14,26,3,6,.930,-2,-21,-1,-9,3.10,1.90,,,,,,,,SS
Pedro Baez,26,20,0,0,24.0,2,1,1,0,0,1.000,,,0,0,0.75,0.10,,,0,0,,,0,P
Darwin Barney,28,14,6,5,72.0,34,13,20,1,2,.971,-1,-14,2,33,4.12,2.36,,,,,,,,2B-SS
Mike Baxter,29,1,1,1,9.0,3,3,0,0,0,1.000,0,8,0,0,3.00,3.00,,,,,,,,LF
Josh Beckett,34,20,20,1,115.2,18,8,8,2,1,.889,,,-1,-2,1.24,0.80,,,12,6,33%,28%,0,P
Roger Bernadina,30,4,0,0,13.0,0,0,0,0,0,,-0,-13,0,0,0.00,0.00,,,,,,,,RF-LF
Drew Butera,30,60,48,44,450.0,469,438,30,1,2,.998,1,3,2,6,9.36,7.80,9,16,23,11,32%,28%,2,C-1B-P
Roberto Hernandez,33,9,9,0,43.2,4,1,3,0,1,1.000,,,0,0,0.82,0.44,,,5,2,29%,28%,1,P
Kevin Correia,33,9,3,0,24.2,8,4,4,0,0,1.000,,,1,9,2.92,0.89,,,0,2,100%,28%,0,P
Daniel Coulombe,24,5,0,0,4.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Carl Crawford,32,94,80,67,736.0,136,132,1,3,0,.978,-2,-3,1,2,1.63,1.41,,,,,,,,LF
Jose Dominguez,23,5,0,0,6.1,2,1,1,0,0,1.000,,,0,0,2.84,0.40,,,0,0,,,0,P
Scott Elbert,28,7,0,0,4.1,1,1,0,0,0,1.000,,,-1,-42,2.08,0.14,,,0,0,,,0,P
A.J. Ellis,33,92,89,79,773.2,809,737,68,4,4,.995,0,0,0,0,9.36,8.75,2,32,48,16,25%,28%,2,C
Andre Ethier,32,93,79,63,717.1,160,158,1,1,0,.994,-11,-19,-7,-12,1.99,1.57,,,,,,,,CF-RF-LF-1B-DH
Tim Federowicz,26,22,19,17,190.0,172,150,19,3,1,.983,1,6,1,7,8.01,7.68,1,12,13,10,43%,28%,0,C
Stephen Fife,27,1,1,0,6.0,4,2,2,0,0,1.000,,,0,0,6.00,4.00,,,0,0,,,0,P
Chone Figgins,36,17,12,9,114.0,42,9,32,1,3,.976,1,13,3,32,3.24,2.28,,,,,,,,3B-2B-SS-LF
