
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Bobby Abreu,40,31,29,7,206.0,39,37,0,2,0,.949,-4,-25,-8,-47,1.62,1.09,,,,,,,,RF-LF-DH
Dario Alvarez,25,4,0,0,1.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Vic Black,26,41,0,0,34.2,6,2,3,1,1,.833,,,-1,-5,1.30,0.12,,,4,1,20%,28%,1,P
Andrew Brown,29,12,9,3,69.2,14,14,0,0,0,1.000,0,4,0,0,1.81,1.00,,,,,,,,LF-RF-DH
Eric Campbell,27,58,37,29,373.1,199,158,39,2,21,.990,-2,-7,2,6,4.75,3.03,,,,,,,,3B-1B-LF-RF-2B-SS-DH
Buddy Carlyle,36,27,0,0,31.0,4,2,2,0,0,1.000,,,0,0,1.16,0.15,,,1,1,50%,28%,0,P
Juan Centeno,24,9,8,7,70.0,69,63,4,2,0,.971,-1,-17,-1,-15,8.61,7.44,1,5,5,1,17%,28%,0,C
Bartolo Colon,41,31,31,0,202.1,43,11,27,5,2,.884,,,2,2,1.69,1.23,,,3,2,40%,28%,0,P
Travis d'Arnaud,25,105,104,95,909.0,876,829,38,9,2,.990,-9,-12,-15,-20,8.58,8.18,12,39,58,14,19%,28%,2,C-DH
Ike Davis,27,7,5,4,53.0,70,67,3,0,4,1.000,2,46,1,23,11.89,10.00,,,,,,,,1B
Jacob deGrom,26,22,22,0,140.1,26,6,20,0,4,1.000,,,-1,-1,1.67,1.18,,,8,4,33%,28%,0,P
Matt den Dekker,26,45,41,30,360.0,74,69,4,1,0,.986,-1,-4,4,13,1.82,1.55,,,,,,,,LF-CF-RF
Lucas Duda,28,146,138,129,1228.0,1198,1109,82,7,125,.994,-2,-2,5,5,8.73,7.94,,,,,,,,1B-LF-DH
Josh Edgin,27,47,0,0,27.1,3,1,1,1,0,.667,,,-1,-7,0.66,0.04,,,1,0,0%,28%,0,P
Dana Eveland,30,30,0,0,27.1,3,1,2,0,0,1.000,,,0,0,0.99,0.10,,,2,0,0%,28%,0,P
Jeurys Familia,24,76,0,0,77.1,18,5,10,3,0,.833,,,-3,-8,1.75,0.20,,,7,0,0%,28%,0,P
Kyle Farnsworth,38,19,0,0,17.0,1,0,1,0,0,1.000,,,1,13,0.53,0.05,,,0,1,100%,28%,0,P
Wilmer Flores,22,70,67,61,598.1,280,94,181,5,46,.982,3,5,-4,-8,4.14,3.87,,,,,,,,SS-2B-3B
Dillon Gee,28,22,22,0,137.1,38,14,24,0,1,1.000,,,2,3,2.49,1.73,,,7,3,30%,28%,0,P
Gonzalez Germen,26,25,0,0,30.1,4,2,2,0,1,1.000,,,0,0,1.19,0.16,,,1,0,0%,28%,0,P
Erik Goeddel,25,6,0,0,6.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Curtis Granderson,33,151,149,126,1328.1,315,305,8,2,1,.994,-8,-7,-3,-3,2.12,1.87,,,,,,,,RF-CF-LF
Dilson Herrera,20,17,17,16,147.0,81,29,49,3,16,.963,-1,-11,1,8,4.78,4.59,,,,,,,,2B
Juan Lagares,25,112,105,100,945.0,304,293,6,5,0,.984,12,15,28,35,2.85,2.67,,,,,,,,CF
John Lannan,29,5,0,0,4.0,1,0,1,0,0,1.000,,,0,0,2.25,0.20,,,0,0,,,0,P
