
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Travis d'Arnaud,25,108,421,385,48,93,22,3,13,41,1,0,32,64,.242,.302,.416,.718,104,160,15,2,1,1,5
2,1B,Lucas Duda*,28,153,596,514,74,130,27,0,30,92,3,2,69,135,.253,.349,.481,.830,136,247,9,9,0,4,8
3,2B,Daniel Murphy*,29,143,642,596,79,172,37,2,9,57,13,5,39,86,.289,.332,.403,.734,110,240,15,2,0,5,3
4,SS,Ruben Tejada,24,119,419,355,30,84,11,0,5,34,1,2,50,73,.237,.342,.310,.652,89,110,8,8,4,2,11
5,3B,David Wright,31,134,586,535,54,144,30,1,8,63,8,5,42,113,.269,.324,.374,.698,100,200,22,4,0,5,5
6,LF,Eric Young#,29,100,316,280,48,64,10,5,1,17,30,6,24,60,.229,.299,.311,.610,76,87,2,5,5,2,1
7,CF,Juan Lagares,25,116,452,416,46,117,24,3,4,47,13,4,20,87,.281,.321,.382,.703,101,159,6,7,3,6,1
8,RF,Curtis Granderson*,33,155,654,564,73,128,27,2,20,66,8,2,79,141,.227,.326,.388,.714,104,219,1,6,0,5,1
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,OF,Chris Young,30,88,287,254,31,52,12,0,8,28,7,3,25,54,.205,.283,.346,.630,80,88,3,4,1,3,2
10,MI,Wilmer Flores,22,78,274,259,28,65,13,1,6,29,1,0,12,31,.251,.286,.378,.664,89,98,6,1,1,1,2
11,UT,Eric Campbell,27,85,211,190,16,50,9,0,3,16,3,0,17,55,.263,.322,.358,.680,95,68,5,1,0,3,0
12,C,Anthony Recker,30,58,189,174,18,35,9,0,7,27,1,1,10,64,.201,.246,.374,.620,75,65,2,1,2,2,0
13,OF,Matt den Dekker*,26,53,174,152,23,38,11,0,0,7,7,4,21,34,.250,.345,.322,.667,93,49,1,1,0,0,0
14,RF,Bobby Abreu*,40,78,155,133,12,33,9,0,1,14,1,0,20,21,.248,.342,.338,.680,97,45,3,0,0,2,0
15,OF,Kirk Nieuwenhuis*,26,61,130,112,16,29,14,1,3,16,4,0,16,39,.259,.346,.482,.828,135,54,1,0,0,2,3
16,2B,Dilson Herrera,20,18,66,59,6,13,0,1,3,11,0,0,7,17,.220,.303,.407,.710,102,24,3,0,0,0,0
17,UT,Andrew Brown,29,19,49,44,6,8,1,0,2,7,0,0,3,15,.182,.245,.341,.586,66,15,2,1,0,1,0
18,1B,Josh Satin,29,25,43,35,2,3,2,0,0,3,0,0,6,14,.086,.256,.143,.399,19,5,2,2,0,0,0
19,C,Juan Centeno*,24,10,33,30,1,6,0,0,0,2,0,0,3,5,.200,.273,.200,.473,39,6,2,0,0,0,0
20,MI,Omar Quintanilla*,32,15,31,29,2,6,1,0,0,3,0,0,2,5,.207,.258,.241,.499,45,7,1,0,0,0,0
21,1B,Ike Davis*,27,12,30,24,4,5,1,0,1,5,0,0,6,4,.208,.367,.375,.742,114,9,0,0,0,0,0
22,C,Taylor Teagarden,30,9,30,28,1,4,0,0,1,5,0,0,2,7,.143,.200,.250,.450,28,7,1,0,0,0,0
23,SS,Wilfredo Tovar,22,2,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
24,P,Bartolo Colon,41,31,69,62,3,2,1,0,0,0,0,0,0,33,.032,.032,.048,.081,-77,3,0,0,7,0,0
25,P,Jon Niese*,27,31,65,55,3,5,1,0,0,4,0,0,6,29,.091,.180,.109,.289,-14,6,0,0,4,0,0
26,P,Zack Wheeler*,24,34,63,50,1,4,1,0,0,3,0,0,1,24,.080,.098,.100,.198,-43,5,0,0,12,0,0
27,P,Jacob deGrom*,26,23,53,46,3,10,2,0,0,2,0,0,1,13,.217,.234,.261,.495,42,12,2,0,6,0,0
28,P,Dillon Gee,28,22,43,38,1,1,0,0,0,1,0,0,2,17,.026,.075,.026,.101,-69,1,0,0,3,0,0
29,P,Jenrry Mejia,24,63,18,17,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,0,0,0,1,0,0
30,P,Daisuke Matsuzaka,33,34,17,11,0,2,0,0,0,1,0,0,1,6,.182,.250,.182,.432,27,2,0,0,5,0,0
31,P,Rafael Montero,23,10,13,11,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,2,0,0
32,P,Carlos Torres,31,73,7,5,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,2,0,0
33,P,Jeurys Familia,24,76,3,3,0,2,0,0,0,1,0,0,0,0,.667,.667,.667,1.333,285,2,0,0,0,0,0
34,P,Josh Edgin,27,47,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
35,P,Buddy Carlyle*,36,27,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,477,1,0,0,0,0,0
36,P,Gonzalez Germen,26,25,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
37,P,Scott Rice*,32,32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Bobby Parnell,29,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Kyle Farnsworth,38,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,John Lannan*,29,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Dana Eveland*,30,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Jose Valverde,36,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Erik Goeddel,25,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Dario Alvarez*,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Vic Black,26,41,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,28.4,162,6145,5472,629,1306,275,19,125,602,101,34,516,1264,.239,.308,.364,.673,93,1994,112,54,59,44,42
,,Rank in 15 NL teams,,,,10,8,13,4,15,9,,6,8,4,8,12,9,12,11,,12,,7,,4,
,,Non-Pitcher Totals,28.4,162,5791,5171,618,1279,270,19,125,590,101,34,505,1124,.247,.318,.379,.698,100,1962,110,54,17,44,42
,,Pitcher Totals,29.2,162,354,301,11,27,5,0,0,12,0,0,11,140,.090,.122,.106,.228,-34,32,2,0,42,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
