
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Henderson Alvarez,24,30,30,3,187.0,56,18,36,2,5,.964,,,6,7,2.60,1.80,,,8,4,33%,28%,0,P
Jeff Baker,33,65,41,28,395.0,347,284,60,3,32,.991,-5,-16,-4,-12,7.84,5.21,,,,,,,,1B-2B-3B
Justin Bour,26,15,15,10,106.0,126,116,10,0,13,1.000,1,7,0,0,10.70,7.00,,,,,,,,1B-DH
Arquimedes Caminero,27,6,0,0,6.2,2,2,0,0,0,1.000,,,0,0,2.70,0.33,,,1,1,50%,28%,0,P
Carter Capps,23,17,0,0,20.1,0,0,0,0,0,,,,-1,-9,0.00,0.00,,,6,0,0%,28%,0,P
Steve Cishek,28,67,0,0,65.1,9,2,5,2,0,.778,,,-2,-6,0.96,0.10,,,5,4,44%,28%,1,P
Jarred Cosart,24,10,10,0,64.0,16,7,9,0,2,1.000,,,-2,-6,2.25,1.60,,,2,1,33%,28%,0,P
Anthony DeSclafani,24,13,5,0,33.0,3,1,2,0,0,1.000,,,-2,-12,0.82,0.23,,,6,0,0%,28%,0,P
Derek Dietrich,24,44,43,32,361.1,203,58,134,11,24,.946,-6,-21,-9,-30,4.78,4.27,,,,,,,,2B-3B
Mike Dunn,29,75,0,0,57.0,9,2,6,1,0,.889,,,-1,-3,1.26,0.11,,,3,0,0%,28%,0,P
Sam Dyson,26,31,0,0,42.0,13,7,4,2,0,.846,,,-4,-19,2.36,0.35,,,6,1,14%,28%,0,P
Nathan Eovaldi,24,33,33,0,199.2,53,21,31,1,2,.981,,,4,4,2.34,1.58,,,1,4,80%,28%,2,P
Jose Fernandez,21,8,8,0,51.2,7,4,3,0,0,1.000,,,2,8,1.22,0.88,,,1,2,67%,28%,0,P
Brian Flynn,24,2,1,0,7.0,1,1,0,0,0,1.000,,,0,0,1.29,0.50,,,1,0,0%,28%,0,P
Rafael Furcal,36,8,8,7,71.0,32,13,19,0,8,1.000,-1,-25,0,0,4.06,4.00,,,,,,,,2B
Kevin Gregg,36,12,0,0,9.0,0,0,0,0,0,,,,-1,-20,0.00,0.00,,,3,0,0%,28%,0,P
