
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Jarrod Saltalamacchia#,29,114,435,373,43,82,20,0,11,44,0,1,55,143,.220,.320,.362,.681,91,135,11,2,0,5,4
2,1B,Garrett Jones*,33,146,547,496,59,122,33,2,15,53,0,1,46,116,.246,.309,.411,.720,100,204,10,1,0,4,4
3,2B,Donovan Solano,26,111,340,310,26,78,11,1,3,28,1,2,19,61,.252,.300,.323,.623,75,100,5,3,7,1,0
4,SS,Adeiny Hechavarria,25,146,574,536,53,148,20,10,1,34,7,5,26,86,.276,.308,.356,.664,85,191,21,1,4,6,5
5,3B,Casey McGehee,31,160,691,616,56,177,29,1,4,76,4,2,67,102,.287,.355,.357,.712,100,220,31,1,0,7,3
6,LF,Christian Yelich*,22,144,660,582,94,165,30,6,9,54,21,7,70,137,.284,.362,.402,.764,114,234,9,3,3,2,3
7,CF,Marcell Ozuna,23,153,612,565,72,152,26,5,23,85,3,1,41,164,.269,.317,.455,.772,113,257,12,1,0,5,1
8,RF,Giancarlo Stanton,24,145,638,539,89,155,31,1,37,105,13,1,94,170,.288,.395,.555,.950,163,299,16,3,0,2,24
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,1B,Jeff Baker,33,90,225,208,27,55,10,4,3,28,1,0,13,51,.264,.307,.394,.701,95,82,8,1,0,3,1
10,LF,Reed Johnson,37,113,201,187,24,44,15,0,2,25,0,1,1,37,.235,.266,.348,.614,70,65,4,8,2,3,0
11,C,Jeff Mathis,31,64,195,175,12,35,7,0,2,12,0,0,15,64,.200,.263,.274,.537,51,48,2,0,5,0,2
12,MI,Ed Lucas,32,69,189,179,19,45,5,0,1,9,1,0,8,48,.251,.283,.296,.580,63,53,4,0,2,0,0
13,2B,Derek Dietrich*,24,49,183,158,31,36,6,2,5,17,1,0,13,38,.228,.326,.386,.712,99,61,1,10,2,0,0
14,2B,Jordany Valdespin*,26,52,113,98,8,21,2,1,3,10,1,0,9,16,.214,.280,.347,.627,75,34,1,0,6,0,0
15,UT,Justin Bour*,26,39,83,74,10,21,3,0,1,11,0,0,9,19,.284,.361,.365,.726,104,27,0,0,0,0,1
16,CF,Jake Marisnick,23,14,51,48,3,8,0,0,0,0,5,0,3,19,.167,.216,.167,.382,9,8,0,0,0,0,1
