
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Jeff Bianchi,27,21,15,13,161.1,74,23,48,3,7,.959,-0,-3,1,8,3.96,3.09,,,,,,,,SS-3B-2B
Ryan Braun,30,134,134,119,1168.0,270,263,5,2,2,.993,10,10,-7,-7,2.07,1.97,,,,,,,,RF-CF-DH
Jonathan Broxton,30,11,0,0,10.1,2,0,2,0,0,1.000,,,-1,-17,1.74,0.18,,,0,0,,,0,P
Matt Clark,27,9,7,2,54.0,55,51,3,1,5,.982,-0,-8,0,0,9.00,6.00,,,,,,,,1B
Khris Davis,26,134,131,112,1156.1,257,252,2,3,2,.988,13,14,5,5,1.98,1.90,,,,,,,,LF
Zach Duke,31,74,0,0,58.2,12,2,10,0,1,1.000,,,2,7,1.84,0.16,,,1,1,50%,28%,0,P
Marco Estrada,30,39,18,0,150.2,27,6,21,0,0,1.000,,,3,4,1.61,0.69,,,15,7,32%,28%,1,P
Irving Falu,31,5,1,1,15.0,6,1,4,1,1,.833,-0,-8,0,0,3.00,1.00,,,,,,,,SS-3B
Mike Fiers,29,14,10,0,71.2,15,5,9,1,1,.933,,,1,3,1.76,1.00,,,5,2,29%,28%,1,P
Alfredo Figaro,29,6,0,0,8.2,2,1,1,0,0,1.000,,,0,0,2.08,0.33,,,1,0,0%,28%,0,P
Yovani Gallardo,28,32,32,0,192.1,40,14,26,0,2,1.000,,,-1,-1,1.87,1.25,,,9,4,31%,28%,4,P
Matt Garza,30,27,27,1,163.1,29,11,15,3,0,.897,,,-1,-1,1.43,0.96,,,6,3,33%,28%,0,P
Scooter Gennett,24,119,110,89,967.0,478,201,268,9,61,.981,-11,-14,-5,-6,4.37,3.91,,,,,,,,2B-RF
Caleb Gindl,25,6,6,4,48.1,11,11,0,0,0,1.000,-1,-36,0,0,2.05,1.83,,,,,,,,RF
Carlos Gomez,28,145,145,133,1269.2,367,355,7,5,2,.986,-7,-6,2,2,2.57,2.48,,,,,,,,CF-DH
Hector Gomez,26,13,4,2,54.0,23,4,18,1,3,.957,2,37,1,22,3.67,1.57,,,,,,,,SS-3B-2B
Tom Gorzelanny,31,23,0,0,21.0,6,2,3,1,0,.833,,,0,0,2.14,0.22,,,2,0,0%,28%,0,P
Jim Henderson,31,14,0,0,11.1,4,1,3,0,1,1.000,,,0,0,3.18,0.29,,,2,0,0%,28%,0,P
Elian Herrera,29,56,27,22,301.1,112,60,48,4,8,.964,-1,-4,-2,-8,3.23,1.77,,,,,,,,SS-RF-CF-LF-2B-3B
Jeremy Jeffress,26,29,0,0,28.2,5,0,5,0,1,1.000,,,0,0,1.57,0.17,,,0,0,,,0,P
Brandon Kintzler,29,64,0,0,58.1,22,9,13,0,1,1.000,,,3,11,3.39,0.34,,,6,3,33%,28%,0,P
Kyle Lohse,35,31,31,2,198.1,35,10,24,1,2,.971,,,2,2,1.54,1.10,,,10,5,33%,28%,1,P
Jonathan Lucroy,28,149,150,128,1311.2,1205,1126,74,5,14,.996,2,2,11,10,8.23,7.69,5,33,83,29,26%,28%,3,C-1B-DH
Martin Maldonado,27,45,30,25,287.1,287,256,24,7,2,.976,0,2,2,9,8.77,6.22,2,11,13,6,32%,28%,2,C-1B-P
Jimmy Nelson,25,14,12,0,69.1,9,2,6,1,1,.889,,,-4,-11,1.04,0.57,,,7,0,0%,28%,0,P
Lyle Overbay,37,84,64,52,590.2,592,553,34,5,41,.992,3,7,-1,-0,8.94,6.99,,,0,0,,,0,1B-P
Matt Pagnozzi,31,1,0,0,1.0,2,2,0,0,0,1.000,0,0,0,0,18.00,2.00,0,0,0,0,,,0,C
