
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Jonathan Lucroy,28,153,655,585,73,176,53,2,13,69,4,4,66,71,.301,.373,.465,.837,131,272,13,2,0,2,3
2,1B,Mark Reynolds,30,130,433,378,47,74,9,0,22,45,5,1,47,122,.196,.287,.394,.681,87,149,8,3,1,4,3
3,2B,Scooter Gennett*,24,137,474,440,55,127,31,3,9,54,6,3,22,67,.289,.320,.434,.754,107,191,11,0,8,4,5
4,SS,Jean Segura,24,146,557,513,61,126,14,6,5,31,20,9,28,70,.246,.289,.326,.614,70,167,13,4,10,2,5
5,3B,Aramis Ramirez,36,133,531,494,47,141,23,1,15,66,3,0,21,75,.285,.330,.427,.757,108,211,18,13,0,3,2
6,LF,Khris Davis,26,144,549,501,70,122,37,2,22,69,4,1,32,122,.244,.299,.457,.756,106,229,13,10,0,6,0
7,CF,Carlos Gomez,28,148,644,574,95,163,34,4,23,73,34,12,47,141,.284,.356,.477,.833,129,274,10,19,1,3,0
8,RF,Ryan Braun,30,135,580,530,68,141,30,6,19,81,11,5,41,113,.266,.324,.453,.777,113,240,17,6,0,3,3
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,1B,Lyle Overbay*,37,121,296,258,24,60,14,0,4,35,2,0,36,60,.233,.328,.333,.661,84,86,8,1,0,1,2
10,2B,Rickie Weeks,31,121,286,252,36,69,19,1,8,29,3,4,25,73,.274,.357,.452,.809,123,114,7,8,0,1,0
11,UT,Elian Herrera#,29,69,140,135,14,37,7,1,0,5,4,1,3,36,.274,.288,.341,.629,74,46,1,0,1,1,1
12,OF,Logan Schafer*,27,65,136,116,13,21,9,1,0,8,2,1,15,27,.181,.278,.276,.554,55,32,0,1,3,1,3
13,LF,Gerardo Parra*,27,46,134,123,13,33,4,1,3,10,4,2,8,28,.268,.318,.390,.708,96,48,4,1,2,0,2
14,C,Martin Maldonado,27,52,126,111,14,26,5,0,4,16,0,0,11,32,.234,.320,.387,.707,95,43,4,3,1,0,1
15,IF,Jeff Bianchi,27,29,74,70,4,12,1,0,0,6,0,0,3,17,.171,.203,.186,.388,9,13,1,0,0,1,0
16,1B,Matt Clark*,27,16,31,27,4,5,0,0,3,7,0,0,2,8,.185,.226,.519,.744,99,14,1,0,0,2,2
17,RF,Caleb Gindl*,25,8,23,19,0,3,0,0,0,0,0,0,4,5,.158,.304,.158,.462,33,3,0,0,0,0,0
18,IF,Hector Gomez,26,15,21,20,2,3,1,0,0,1,0,0,1,9,.150,.190,.200,.390,9,4,0,0,0,0,0
19,IF,Irving Falu#,31,11,12,10,0,0,0,0,0,1,0,0,1,1,.000,.083,.000,.083,-74,0,1,0,0,1,0
