
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Wily Peralta,25,17,11,.607,3.53,32,32,0,0,0,0,198.2,198,88,78,23,61,0,154,7,0,7,838,107,4.11,1.304,9.0,1.0,2.8,7.0,2.52
2,SP,Kyle Lohse,35,13,9,.591,3.54,31,31,0,2,2,0,198.1,183,87,78,22,45,0,141,8,0,1,817,107,3.95,1.150,8.3,1.0,2.0,6.4,3.13
3,SP,Yovani Gallardo,28,8,11,.421,3.51,32,32,0,0,0,0,192.1,195,86,75,21,54,2,146,4,0,8,817,108,3.94,1.295,9.1,1.0,2.5,6.8,2.70
4,SP,Matt Garza,30,8,8,.500,3.64,27,27,0,1,1,0,163.1,143,77,66,12,50,2,126,4,1,3,680,104,3.54,1.182,7.9,0.7,2.8,6.9,2.52
5,SP,Jimmy Nelson,25,2,9,.182,4.93,14,12,1,0,0,0,69.1,82,42,38,6,19,0,57,8,0,4,311,77,3.78,1.457,10.6,0.8,2.5,7.4,3.00
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
6,CL,Francisco Rodriguez,32,5,5,.500,3.04,69,0,66,0,0,44,68.0,49,23,23,14,18,1,73,1,0,0,268,125,4.50,0.985,6.5,1.9,2.4,9.7,4.06
7,RP,Will Smith*,24,1,3,.250,3.70,78,0,6,0,0,1,65.2,62,31,27,6,31,6,86,3,0,7,286,103,3.25,1.416,8.5,0.8,4.2,11.8,2.77
8,RP,Zach Duke*,31,5,1,.833,2.45,74,0,13,0,0,0,58.2,49,19,16,3,17,1,74,0,0,3,238,155,2.14,1.125,7.5,0.5,2.6,11.4,4.35
9,RP,Brandon Kintzler,29,3,3,.500,3.24,64,0,13,0,0,0,58.1,62,22,21,8,16,3,31,0,0,1,239,117,4.67,1.337,9.6,1.2,2.5,4.8,1.94
10,RP,Rob Wooten,28,1,4,.200,4.72,40,0,15,0,0,0,34.1,42,18,18,1,8,0,29,1,0,0,147,81,2.61,1.456,11.0,0.3,2.1,7.6,3.63
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
11,,Marco Estrada,30,7,6,.538,4.36,39,18,3,0,0,0,150.2,137,77,73,29,44,0,127,3,1,2,624,87,4.88,1.201,8.2,1.7,2.6,7.6,2.89
12,,Mike Fiers,29,6,5,.545,2.13,14,10,1,0,0,0,71.2,46,19,17,7,17,1,76,0,0,1,274,178,2.99,0.879,5.8,0.9,2.1,9.5,4.47
13,,Tyler Thornburg,25,3,1,.750,4.25,27,0,4,0,0,0,29.2,24,14,14,1,21,0,28,0,0,4,131,90,3.81,1.517,7.3,0.3,6.4,8.5,1.33
14,,Jeremy Jeffress,26,1,1,.500,1.88,29,0,9,0,0,0,28.2,27,6,6,1,7,2,25,0,0,1,114,203,2.57,1.186,8.5,0.3,2.2,7.8,3.57
15,,Tom Gorzelanny*,31,0,0,,0.86,23,0,7,0,0,0,21.0,22,3,2,1,8,0,23,2,0,0,95,449,2.99,1.429,9.4,0.4,3.4,9.9,2.88
16,,Wei-Chung Wang*,22,0,0,,10.90,14,0,10,0,0,0,17.1,30,23,21,6,8,1,13,1,0,1,92,35,7.69,2.192,15.6,3.1,4.2,6.8,1.63
17,,Jim Henderson,31,2,1,.667,7.15,14,0,3,0,0,0,11.1,14,10,9,3,4,1,17,0,0,0,50,55,4.63,1.588,11.1,2.4,3.2,13.5,4.25
18,,Jonathan Broxton,30,0,1,.000,4.35,11,0,2,0,0,0,10.1,9,5,5,1,2,0,12,0,0,0,42,90,2.65,1.065,7.8,0.9,1.7,10.5,6.00
19,,Alfredo Figaro,29,0,1,.000,7.27,6,0,4,0,0,0,8.2,11,7,7,2,1,0,8,0,0,1,38,54,4.63,1.385,11.4,2.1,1.0,8.3,8.00
20,,Martin Maldonado,27,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,,3.13,1.000,9.0,0.0,0.0,0.0,
21,,Lyle Overbay*,37,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.13,0.000,0.0,0.0,0.0,0.0,
,,Team Totals,29.0,82,80,.506,3.67,162,162,159,3,3,45,1457.2,1386,657,594,167,431,20,1246,42,2,44,6106,103,3.89,1.247,8.6,1.0,2.7,7.7,2.89
,,Rank in 15 NL teams,,6,10,,10,,,,8,12,6,6,10,10,10,14,4,,10,,,,,,,,,,,,
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
