
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Derek Norris,25,127,442,385,46,104,19,1,10,55,2,2,54,86,.270,.361,.403,.763,117,155,12,1,1,1,2
2,1B,Brandon Moss*,30,147,580,500,70,117,23,2,25,81,1,0,67,153,.234,.334,.438,.772,118,219,6,10,0,3,7
3,2B,Eric Sogard*,28,117,329,291,38,65,10,0,1,22,11,4,31,37,.223,.298,.268,.567,63,78,6,1,4,2,0
4,SS,Jed Lowrie#,30,136,566,502,59,125,29,3,6,50,0,0,51,79,.249,.321,.355,.676,92,178,14,5,2,6,5
5,3B,Josh Donaldson,28,158,695,608,93,155,31,2,29,98,8,0,76,130,.255,.342,.456,.798,125,277,16,7,0,4,5
6,LF,Yoenis Cespedes,28,101,432,399,62,102,26,3,17,67,3,2,28,80,.256,.303,.464,.767,114,185,8,1,0,4,3
7,CF,Coco Crisp#,34,126,536,463,68,114,21,3,9,47,19,5,66,66,.246,.336,.363,.699,99,168,3,0,1,6,2
8,RF,Josh Reddick*,27,109,396,363,53,96,16,7,12,54,1,1,28,63,.264,.316,.446,.763,114,162,3,1,0,3,0
9,DH,Alberto Callaspo#,31,127,451,404,37,90,15,0,4,39,0,1,40,50,.223,.290,.290,.580,66,117,18,1,0,6,1
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
10,UT,John Jaso*,30,99,344,307,42,81,18,3,9,40,2,0,28,60,.264,.337,.430,.767,116,132,5,7,0,2,1
11,1B,Stephen Vogt*,29,84,287,269,26,75,10,2,9,35,1,0,16,39,.279,.321,.431,.752,111,116,2,1,0,1,2
12,OF,Craig Gentry,30,94,258,232,38,59,6,1,0,12,20,2,17,44,.254,.319,.289,.608,75,67,2,5,2,0,2
13,2B,Nick Punto#,36,73,224,198,21,41,7,2,2,14,3,1,25,56,.207,.296,.293,.589,68,58,5,0,1,0,0
14,OF,Sam Fuld*,32,60,207,187,25,39,6,4,3,19,9,1,17,34,.209,.275,.332,.606,71,62,2,0,3,0,1
15,1B,Nate Freiman,27,36,93,87,12,19,5,0,5,15,0,0,5,23,.218,.269,.448,.717,99,39,6,1,0,0,1
16,DH,Adam Dunn*,34,25,76,66,6,14,1,0,2,10,0,0,6,27,.212,.316,.318,.634,81,21,0,4,0,0,0
17,UT,Jonny Gomes,33,34,75,64,6,15,1,0,0,5,0,0,9,18,.234,.320,.250,.570,65,16,1,0,0,2,2
18,1B,Daric Barton*,28,30,64,57,7,9,1,0,0,5,0,0,5,14,.158,.234,.175,.410,19,10,0,1,0,1,0
19,UT,Kyle Blanks,27,21,56,45,9,15,1,0,2,7,0,0,8,13,.333,.446,.489,.935,166,22,3,2,0,1,0
20,UT,Andy Parrino#,28,21,51,46,4,7,3,0,1,3,0,0,3,14,.152,.216,.283,.498,40,13,1,1,0,1,0
21,C,Geovany Soto,31,14,49,42,3,11,4,0,0,8,0,0,6,8,.262,.354,.357,.711,103,15,3,0,1,0,0
22,UT,Billy Burns#,24,13,6,6,4,1,0,0,0,0,3,1,0,0,.167,.167,.167,.333,-5,1,0,0,0,0,0
23,,Bryan Anderson*,27,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
24,P,Scott Kazmir*,30,32,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
25,P,Jason Hammel,31,13,4,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,2,0,0
26,P,Sonny Gray,24,33,4,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,2,0,0
27,P,Tommy Milone*,27,17,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
28,P,Brad Mills,29,3,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,0,0,0
29,P,Jesse Chavez,30,32,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0
30,P,Jon Lester*,30,11,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
31,P,Jim Johnson,31,38,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
32,P,Jeff Francis*,33,9,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
33,P,Sean Doolittle*,27,62,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
34,P,Eric O'Flaherty*,29,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Joe Savery*,28,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Drew Pomeranz,25,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Fernando Abad*,28,69,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Dan Straily,25,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Jeff Samardzija,29,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Fernando Rodriguez,30,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Dan Otero,29,72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Luke Gregerson*,30,72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Ryan Cook,27,54,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Josh Lindblom,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Evan Scribner,28,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,29.7,162,6245,5545,729,1354,253,33,146,686,83,20,586,1104,.244,.320,.381,.700,98,2111,118,49,19,43,34
