
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Mike Adams,35,22,0,0,18.2,5,0,5,0,1,1.000,,,0,0,2.41,0.23,,,4,0,0%,28%,0,P
Aaron Altherr,23,1,1,1,9.0,3,3,0,0,0,1.000,1,92,1,133,3.00,3.00,,,,,,,,LF
Cody Asche,24,112,105,90,924.2,281,59,206,16,18,.943,-9,-12,-3,-4,2.58,2.37,,,,,,,,3B
Phillippe Aumont,25,5,0,0,5.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,1,0,0%,28%,0,P
Antonio Bastardo,28,67,0,0,64.0,3,1,1,1,0,.667,,,-2,-6,0.28,0.03,,,3,0,0%,28%,0,P
Andres Blanco,30,20,11,8,105.2,43,6,36,1,5,.977,-1,-8,1,11,3.58,2.00,,,,,,,,3B-SS-2B
Reid Brignac,28,24,16,14,165.2,37,11,26,0,2,1.000,-3,-18,-5,-36,2.01,1.42,,,,,,,,3B-2B-SS
Domonic Brown,26,127,118,99,1041.1,188,182,4,2,2,.989,-0,-0,-8,-9,1.61,1.45,,,,,,,,LF-DH
David Buchanan,25,20,20,0,117.2,28,11,14,3,0,.893,,,0,0,1.91,1.25,,,4,1,20%,28%,1,P
A.J. Burnett,37,34,34,1,213.2,35,9,25,1,1,.971,,,-5,-5,1.43,1.00,,,33,9,21%,28%,3,P
Marlon Byrd,36,149,148,143,1337.1,341,329,6,6,1,.982,-2,-1,6,5,2.25,2.23,,,,,,,,RF-DH
Shawn Camp,38,3,0,0,3.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Roberto Hernandez,33,23,20,0,121.0,30,10,20,0,1,1.000,,,0,0,2.23,1.30,,,18,2,10%,28%,1,P
Ronny Cedeno,31,3,2,1,17.0,9,4,5,0,1,1.000,0,3,0,0,4.76,3.00,,,,,,,,3B-SS
Justin De Fratus,26,54,0,0,52.2,5,1,2,2,0,.600,,,-2,-7,0.51,0.06,,,6,0,0%,28%,0,P
Jake Diekman,27,73,0,0,71.0,12,3,9,0,0,1.000,,,-3,-8,1.52,0.16,,,5,3,38%,28%,1,P
Maikel Franco,21,16,14,13,129.1,62,31,30,1,5,.984,5,47,1,9,4.24,3.59,,,,,,,,3B-1B
Freddy Galvis,24,41,32,27,295.0,145,42,102,1,19,.993,-1,-3,-4,-16,4.39,3.35,,,,,,,,SS-3B-2B
Luis Garcia,27,13,0,0,14.0,4,2,2,0,0,1.000,,,0,0,2.57,0.31,,,0,0,,,0,P
Ken Giles,23,44,0,0,45.2,4,1,3,0,1,1.000,,,0,0,0.79,0.09,,,0,3,100%,28%,0,P
Miguel Gonzalez,27,6,0,0,5.1,1,0,1,0,0,1.000,,,0,0,1.69,0.17,,,1,0,0%,28%,0,P
Tony Gwynn,31,42,18,10,189.1,49,47,2,0,1,1.000,-5,-29,-5,-32,2.33,1.11,,,,,,,,CF-LF-RF
Cole Hamels,30,30,30,0,204.2,32,6,26,0,1,1.000,,,2,2,1.41,1.07,,,19,9,32%,28%,5,P
Cesar Hernandez,24,29,22,18,203.2,73,33,37,3,5,.959,-7,-38,-6,-35,3.09,2.41,,,,,,,,3B-2B-SS
Koyie Hill,35,10,6,6,57.0,45,42,3,0,0,1.000,-1,-21,0,0,7.11,4.50,0,4,7,1,13%,28%,0,C
Mario Hollands,25,50,0,0,47.0,8,5,3,0,1,1.000,,,-2,-8,1.53,0.16,,,4,2,33%,28%,0,P
Ryan Howard,34,141,146,121,1256.1,1313,1224,80,9,103,.993,-1,-1,-10,-10,9.34,8.93,,,,,,,,1B-DH
Cesar Jimenez,29,16,0,0,16.0,2,0,1,1,0,.500,,,0,0,0.56,0.06,,,0,2,100%,28%,0,P
Kyle Kendrick,29,32,32,0,199.0,49,18,29,2,1,.959,,,5,5,2.13,1.47,,,5,7,58%,28%,1,P
Cliff Lee,35,13,13,1,81.1,12,4,8,0,0,1.000,,,0,0,1.33,0.92,,,4,2,33%,28%,1,P
Brad Lincoln,29,2,0,0,2.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Jeff Manship,29,20,0,0,23.0,5,2,3,0,2,1.000,,,-1,-8,1.96,0.25,,,1,1,50%,28%,0,P
Ethan Martin,25,2,0,0,4.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
John Mayberry,30,45,29,23,273.2,116,109,6,1,2,.991,1,4,-3,-14,3.78,2.50,,,,,,,,LF-CF-1B-RF
Hector Neris,25,1,0,0,1.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Wil Nieves,36,35,34,29,293.1,273,246,26,1,4,.996,1,4,5,21,8.35,7.77,3,9,23,10,30%,28%,0,C-1B
Jayson Nix,31,14,10,8,94.0,41,12,27,2,3,.951,1,16,3,40,3.73,2.60,,,,,,,,3B-SS-2B
Sean O'Sullivan,26,3,2,0,12.2,2,0,2,0,1,1.000,,,0,0,1.42,0.67,,,1,0,0%,28%,0,P
Jonathan Papelbon,33,66,0,0,66.1,6,3,3,0,0,1.000,,,-2,-6,0.81,0.09,,,4,2,33%,28%,0,P
Jonathan Pettibone,23,2,2,0,9.0,1,0,1,0,0,1.000,,,0,0,1.00,0.50,,,0,0,,,0,P
Ben Revere,26,141,132,121,1199.0,329,323,2,4,2,.988,-6,-6,-18,-18,2.44,2.30,,,,,,,,CF
Jimmy Rollins,35,131,131,123,1170.2,563,158,398,7,64,.988,11,11,4,4,4.27,4.18,,,,,,,,SS-DH
B.J. Rosenberg,28,13,0,0,12.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,1,100%,28%,0,P
Darin Ruf,27,32,25,15,218.2,133,126,7,0,9,1.000,1,7,1,5,5.47,3.69,,,,,,,,1B-LF-3B
Carlos Ruiz,35,109,104,104,960.0,925,852,68,5,9,.995,3,4,8,10,8.62,8.44,4,28,74,28,27%,28%,0,C
Cameron Rupp,25,18,18,14,158.1,150,130,18,2,2,.987,1,8,1,8,8.41,8.22,1,8,11,7,39%,28%,0,C
Grady Sizemore,31,42,36,28,323.2,63,62,0,1,0,.984,-2,-8,-1,-4,1.72,1.32,,,,,,,,LF-RF-CF
Chase Utley,35,147,148,136,1324.0,728,294,423,11,87,.985,2,2,3,3,4.87,4.81,,,,,,,,2B-1B-DH
Jerome Williams,32,9,9,0,57.1,7,4,3,0,1,1.000,,,0,0,1.10,0.78,,,2,2,50%,28%,0,P
Team Totals,30.2,162,1458,1154,13215.0,6161,4405,1673,83,133,.987,-11,-1,,,4.14,2.94,8,49,115,46,29%,28%,13,
Rank in 15 NL teams,,,,,,,,,2,,2,,,,,,,,,,,,,,
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
