
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Carlos Ruiz,35,110,445,381,43,96,25,1,6,31,4,2,46,60,.252,.347,.370,.717,103,141,11,12,1,5,1
2,1B,Ryan Howard*,34,153,648,569,65,127,18,1,23,95,0,0,67,190,.223,.310,.380,.690,94,216,10,7,0,5,7
3,2B,Chase Utley*,35,155,664,589,74,159,36,6,11,78,10,1,53,85,.270,.339,.407,.746,110,240,8,13,0,9,12
4,SS,Jimmy Rollins#,35,138,609,538,78,131,22,4,17,55,28,6,64,100,.243,.323,.394,.717,102,212,6,1,3,3,2
5,3B,Cody Asche*,24,121,434,397,43,100,25,0,10,46,0,1,33,102,.252,.309,.390,.699,96,155,6,0,3,1,4
6,LF,Domonic Brown*,26,144,512,473,47,111,22,1,10,63,7,1,34,91,.235,.285,.349,.634,78,165,9,1,0,4,4
7,CF,Ben Revere*,26,151,626,601,71,184,13,7,2,28,49,8,13,49,.306,.325,.361,.686,94,217,11,4,7,1,1
8,RF,Marlon Byrd,36,154,637,591,71,156,28,2,25,85,3,2,35,185,.264,.312,.445,.757,111,263,6,8,0,3,7
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,OF,Grady Sizemore*,31,60,176,162,21,41,9,2,3,12,1,1,14,35,.253,.313,.389,.701,97,63,4,0,0,0,0
10,UT,John Mayberry,30,63,138,122,11,26,7,0,6,21,0,0,15,30,.213,.304,.418,.722,102,51,1,1,0,0,0
11,C,Wil Nieves,36,36,128,122,9,31,8,0,1,7,1,0,1,34,.254,.270,.344,.614,72,42,2,2,2,1,0
12,SS,Freddy Galvis#,24,43,128,119,14,21,3,1,4,12,1,0,8,30,.176,.227,.319,.546,52,38,0,0,0,1,0
13,CF,Tony Gwynn*,31,80,127,105,14,16,2,1,0,3,3,0,15,23,.152,.264,.190,.455,31,20,0,1,6,0,1
14,IF,Cesar Hernandez#,24,66,125,114,13,27,2,0,1,4,1,1,9,33,.237,.290,.281,.571,62,32,1,0,1,1,1
15,UT,Darin Ruf,27,52,117,102,13,24,8,0,3,8,0,0,8,32,.235,.310,.402,.712,99,41,2,4,1,2,0
16,3B,Reid Brignac*,28,37,91,81,4,18,5,1,1,10,1,1,9,33,.222,.300,.346,.646,82,28,2,0,1,0,1
17,C,Cameron Rupp,25,18,64,60,4,11,4,0,0,6,0,0,4,20,.183,.234,.250,.484,37,15,5,0,0,0,0
18,CI,Maikel Franco,21,16,58,56,5,10,2,0,0,5,0,0,1,13,.179,.190,.214,.404,14,12,1,0,0,1,0
19,IF,Andres Blanco#,30,25,53,47,4,13,5,0,1,3,0,0,2,6,.277,.306,.447,.753,109,21,4,0,4,0,1
20,IF,Jayson Nix,31,18,43,39,1,6,0,0,1,2,0,2,2,18,.154,.214,.231,.445,26,9,1,1,0,0,0
21,C,Koyie Hill#,35,10,22,21,2,5,1,0,0,1,0,0,1,5,.238,.273,.286,.558,58,6,0,0,0,0,0
22,IF,Ronny Cedeno,31,7,9,9,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
23,LF,Aaron Altherr,23,2,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
24,P,Kyle Kendrick,29,32,71,66,2,9,1,0,0,1,0,0,1,31,.136,.149,.152,.301,-15,10,2,0,4,0,0
25,P,Cole Hamels*,30,30,69,62,1,13,2,0,0,0,0,0,0,28,.210,.210,.242,.452,27,15,0,0,7,0,0
26,P,A.J. Burnett,37,34,65,60,5,8,2,0,0,1,0,0,3,23,.133,.175,.167,.341,-3,10,2,0,2,0,0
27,P,Roberto Hernandez,33,23,43,36,0,2,0,0,0,1,0,0,0,17,.056,.056,.056,.111,-68,2,0,0,7,0,0
28,P,David Buchanan,25,20,39,30,2,3,1,0,0,2,0,0,4,10,.100,.206,.133,.339,-2,4,0,0,5,0,0
29,P,Cliff Lee*,35,13,25,24,2,6,0,0,0,1,0,0,0,9,.250,.250,.250,.500,42,6,0,0,1,0,0
30,P,Jerome Williams,32,9,16,12,0,2,0,0,0,3,0,0,0,4,.167,.167,.167,.333,-5,2,0,0,4,0,0
31,P,Sean O'Sullivan,26,3,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
32,P,Jeff Manship,29,20,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
33,P,Jonathan Pettibone*,23,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
34,P,Cesar Jimenez*,29,16,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
35,P,Antonio Bastardo,28,67,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,0,0,0
36,P,Justin De Fratus#,26,54,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
37,P,Phillippe Aumont*,25,5,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
38,P,Ken Giles,23,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Brad Lincoln*,29,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Luis Garcia,27,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Mike Adams,35,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Hector Neris,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Shawn Camp,38,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Ethan Martin,25,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Mario Hollands*,25,50,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Jake Diekman*,27,73,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Miguel Gonzalez,27,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,B.J. Rosenberg,28,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Jonathan Papelbon,33,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,31.1,162,6198,5603,619,1356,251,27,125,584,109,26,443,1306,.242,.302,.363,.665,87,2036,94,55,59,37,42
,,Rank in 15 NL teams,,,,2,9,10,13,10,9,,3,3,9,12,10,11,13,12,,10,,6,,10,
,,Non-Pitcher Totals,31.1,162,5859,5303,607,1313,245,27,125,575,109,26,434,1178,.248,.309,.375,.684,92,1987,90,55,29,37,42
,,Pitcher Totals,31.1,162,339,300,12,43,6,0,0,9,0,0,9,128,.143,.168,.163,.332,-6,49,4,0,30,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
