
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Abraham Almonte,25,25,24,15,206.0,73,67,4,2,1,.973,9,51,4,23,3.10,2.29,,,,,,,,CF-LF
Yonder Alonso,27,78,72,64,632.0,615,569,44,2,45,.997,3,5,9,17,8.73,7.66,,,,,,,,1B-3B
R.J. Alvarez,23,10,0,0,8.0,2,0,2,0,0,1.000,,,1,28,2.25,0.20,,,1,0,0%,28%,0,P
Alexi Amarista,25,138,119,102,1084.0,460,178,273,9,44,.980,-2,-2,10,11,3.74,3.15,,,,,,,,SS-3B-2B-CF-LF
Hector Ambriz,30,1,0,0,2.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Joaquin Benoit,36,53,0,0,54.1,5,0,5,0,0,1.000,,,-1,-3,0.83,0.09,,,1,1,50%,28%,0,P
Kyle Blanks,27,4,2,1,21.2,28,24,4,0,4,1.000,-0,-8,0,0,11.63,7.00,,,,,,,,1B-LF
Blaine Boyer,32,32,0,0,40.1,6,0,6,0,0,1.000,,,0,0,1.34,0.19,,,3,2,40%,28%,0,P
Billy Buckner,30,1,1,0,5.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Everth Cabrera,27,90,90,89,804.0,393,126,254,13,47,.967,0,1,3,5,4.25,4.22,,,,,,,,SS
Leonel Campos,26,6,0,0,7.0,1,0,1,0,0,1.000,,,0,0,1.29,0.17,,,1,0,0%,28%,0,P
Andrew Cashner,27,20,19,2,123.2,24,4,19,1,1,.958,0,0,4,40,1.67,1.15,,,8,3,27%,28%,0,P-LF
Brooks Conrad,34,10,9,5,69.0,32,17,15,0,5,1.000,-1,-11,-2,-35,4.17,3.20,,,,,,,,2B
Chris Denorfia,33,73,53,29,506.2,141,138,2,1,0,.993,7,16,1,2,2.49,1.49,,,,,,,,RF-LF-CF
Odrisamer Despaigne,27,16,16,0,96.1,27,7,17,3,0,.889,,,0,0,2.24,1.50,,,11,4,27%,28%,1,P
Robbie Erlin,23,13,11,0,61.1,8,3,5,0,0,1.000,,,-1,-3,1.17,0.62,,,2,0,0%,28%,0,P
Irving Falu,31,11,5,5,57.2,25,14,11,0,4,1.000,-0,-7,2,42,3.90,2.27,,,,,,,,2B
Jeff Francoeur,30,7,6,4,51.0,14,13,0,1,0,.929,-2,-47,1,24,2.29,1.86,,,,,,,,RF
Frank Garces,24,15,0,0,9.0,1,0,1,0,0,1.000,,,0,0,1.00,0.07,,,0,0,,,0,P
Jake Goebbert,26,32,23,14,209.2,191,176,13,2,6,.990,-2,-10,0,0,8.11,5.73,,,,,,,,1B-LF
Yasmani Grandal,25,108,101,90,898.2,821,761,53,7,22,.991,-11,-14,-8,-11,8.15,7.14,12,28,49,7,13%,28%,1,C-1B-DH
Jedd Gyorko,25,109,106,104,951.1,476,184,281,11,60,.977,-5,-6,-9,-11,4.40,4.27,,,,,,,,2B
Jesse Hahn,24,14,12,0,73.1,15,0,15,0,0,1.000,,,0,0,1.84,1.07,,,3,1,25%,28%,1,P
Chase Headley,30,76,75,70,647.0,173,43,124,6,14,.965,5,9,7,13,2.32,2.20,,,,,,,,3B
Nick Hundley,30,14,9,9,88.0,79,74,5,0,2,1.000,-1,-14,0,0,8.08,5.64,2,1,9,0,0%,28%,0,C
Ian Kennedy,29,33,33,0,201.0,30,12,18,0,1,1.000,,,0,0,1.34,0.91,,,15,8,35%,28%,2,P
Jason Lane,37,3,1,0,10.1,2,0,2,0,0,1.000,,,0,0,1.74,0.67,,,0,0,,,0,P
Rymer Liriano,23,34,29,27,256.1,63,57,2,4,0,.937,-0,-1,-2,-9,2.07,1.74,,,,,,,,RF
Cameron Maybin,27,86,73,63,631.0,164,161,1,2,1,.988,5,10,4,7,2.31,1.88,,,,,,,,CF
Tommy Medica,26,64,58,33,452.1,346,319,26,1,29,.997,2,5,1,3,6.86,4.79,,,,,,,,1B-LF-DH
Adam Moore,30,1,1,1,9.0,8,8,0,0,0,1.000,0,0,0,0,8.00,8.00,0,0,0,0,,,0,C
Xavier Nady,35,13,6,4,60.0,11,11,0,0,0,1.000,-0,-7,0,0,1.65,0.79,,,,,,,,RF-LF-1B
Chris Nelson,28,24,17,14,156.0,52,14,36,2,3,.962,3,26,2,15,2.88,2.08,,,,,,,,3B-2B-1B
Troy Patton,28,8,0,0,7.1,0,0,0,0,0,,,,-1,-25,0.00,0.00,,,0,0,,,0,P
Jace Peterson,24,24,18,13,157.0,78,23,51,4,4,.949,2,13,0,0,4.24,3.08,,,,,,,,2B-3B
Kevin Quackenbush,25,56,0,0,54.1,8,3,5,0,0,1.000,,,0,0,1.33,0.14,,,2,1,33%,28%,0,P
Carlos Quentin,31,32,36,12,229.0,43,42,1,0,1,1.000,2,11,-3,-16,1.69,1.16,,,,,,,,LF-DH
Rene Rivera,30,92,85,72,743.1,766,691,66,9,7,.988,4,6,10,16,9.17,8.23,7,28,58,33,36%,28%,1,C-1B
Donn Roach,24,16,1,0,30.1,8,2,6,0,1,1.000,,,0,0,2.37,0.50,,,4,2,33%,28%,0,P
Tyson Ross,27,31,31,2,195.2,56,16,37,3,3,.946,,,-2,-2,2.44,1.71,,,31,10,24%,28%,2,P
Seth Smith,31,124,119,78,1034.1,225,219,5,1,1,.996,6,7,6,7,1.95,1.53,,,,,,,,LF-RF-DH
Yangervis Solarte,26,55,54,43,481.0,122,49,67,6,13,.951,-3,-8,-4,-10,2.17,1.78,,,,,,,,3B-2B-LF-SS
Cory Spangenberg,23,15,14,9,117.1,34,10,19,5,0,.853,-3,-31,-1,-10,2.22,1.81,,,,,,,,3B-LF-2B
Tim Stauffer,32,44,3,0,64.1,12,7,5,0,2,1.000,,,-1,-3,1.68,0.27,,,1,2,67%,28%,0,P
Huston Street,30,33,0,0,33.0,7,3,4,0,0,1.000,,,-1,-5,1.91,0.21,,,4,0,0%,28%,0,P
Eric Stults,34,32,32,0,176.0,40,10,28,2,2,.950,,,2,2,1.94,1.19,,,15,3,17%,28%,1,P
Dale Thayer,33,70,0,0,65.1,8,2,6,0,0,1.000,,,-3,-9,1.10,0.11,,,9,2,18%,28%,0,P
Alex Torres,26,70,0,0,54.0,13,3,8,2,1,.846,,,1,4,1.83,0.16,,,4,1,20%,28%,1,P
