
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Tony Abreu,29,2,0,0,6.2,3,2,1,0,0,1.000,0,38,0,0,4.05,1.50,,,,,,,,2B-3B
Ehire Adrianza,24,34,20,12,198.0,104,32,70,2,12,.981,3,17,-1,-5,4.64,2.91,,,,,,,,2B-SS-3B
Jeremy Affeldt,35,62,0,0,55.1,20,0,20,0,2,1.000,,,4,15,3.25,0.32,,,6,0,0%,28%,0,P
Joaquin Arias,29,81,40,25,417.0,220,132,85,3,26,.986,-1,-4,-1,-3,4.68,2.49,,,,,,,,3B-1B-SS-2B-DH
Brandon Belt,26,59,56,49,488.2,558,499,55,4,48,.993,5,11,3,7,10.20,9.23,,,,,,,,1B-RF
Gregor Blanco,30,127,92,78,890.2,226,219,6,1,0,.996,8,11,-3,-4,2.27,1.64,,,,,,,,CF-LF-RF
Brett Bochy,26,3,0,0,3.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Gary Brown,25,6,1,1,21.0,7,7,0,0,0,1.000,1,49,1,51,3.00,1.17,,,,,,,,CF
Madison Bumgarner,24,33,33,4,217.1,36,8,26,2,2,.944,,,1,1,1.41,1.03,,,7,10,59%,28%,6,P
Matt Cain,29,15,15,0,90.1,26,12,12,2,1,.923,,,0,0,2.39,1.60,,,8,5,38%,28%,1,P
Tyler Colvin,28,44,31,25,310.0,55,52,2,1,1,.982,-1,-3,-2,-8,1.57,1.17,,,,,,,,LF-CF
Erik Cordier,28,7,0,0,6.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,1,100%,28%,0,P
Brandon Crawford,27,149,142,137,1273.0,634,185,428,21,85,.967,13,12,8,8,4.33,4.11,,,,,,,,SS
Chris Dominguez,27,5,4,3,36.0,12,12,0,0,0,1.000,1,35,-1,-33,3.00,2.00,,,,,,,,LF-3B
Matt Duffy,23,17,10,8,104.0,57,24,31,2,8,.965,-3,-30,-1,-10,4.76,3.06,,,,,,,,SS-2B-3B
Jake Dunning,25,1,0,0,0.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Adam Duvall,25,22,18,10,150.1,158,149,8,1,13,.994,-0,-4,2,16,9.40,6.83,,,,,,,,1B-3B-DH
Santiago Casilla,33,54,0,0,58.1,13,3,9,1,2,.923,,,3,11,1.85,0.22,,,1,0,0%,28%,0,P
J.C. Gutierrez,30,61,0,0,63.2,9,5,4,0,0,1.000,,,-3,-9,1.27,0.15,,,7,1,13%,28%,0,P
Chris Heston,26,3,1,0,5.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Brandon Hicks,28,62,59,52,533.0,293,108,180,5,47,.983,8,17,5,11,4.86,4.57,,,,,,,,2B-LF-1B
Tim Hudson,38,31,31,1,189.1,36,13,21,2,1,.944,,,-2,-2,1.62,1.10,,,15,3,17%,28%,1,P
David Huff,29,16,0,0,20.0,3,1,1,1,0,.667,,,0,0,0.90,0.13,,,2,0,0%,28%,0,P
Travis Ishikawa,30,35,14,8,151.0,144,135,9,0,16,1.000,1,6,1,8,8.58,3.69,,,,,,,,1B-LF
Mike Kickham,25,2,0,0,2.0,1,0,1,0,0,1.000,,,0,0,4.50,0.50,,,1,0,0%,28%,0,P
George Kontos,29,24,0,0,32.1,4,1,3,0,0,1.000,,,0,0,1.11,0.17,,,4,3,43%,28%,1,P
Tim Lincecum,30,33,26,1,155.2,24,11,12,1,1,.958,,,-2,-2,1.33,0.70,,,22,6,21%,28%,0,P
Javier Lopez,36,65,0,0,37.2,18,10,7,1,0,.944,,,-2,-10,4.06,0.26,,,1,0,0%,28%,0,P
Jean Machi,32,71,0,0,66.1,22,2,18,2,4,.909,,,3,9,2.71,0.28,,,3,3,50%,28%,2,P
Mike Morse,32,123,125,57,915.1,445,414,26,5,41,.989,-16,-21,-9,-12,4.33,3.36,,,,,,,,LF-1B-DH
Angel Pagan,32,91,91,75,775.1,213,209,3,1,1,.995,7,10,-5,-8,2.46,2.33,,,,,,,,CF
Joe Panik,23,70,66,61,579.0,324,131,185,8,53,.975,2,4,-2,-4,4.91,4.51,,,,,,,,2B
Jake Peavy,33,12,12,0,78.2,19,8,10,1,1,.947,,,2,5,2.06,1.50,,,1,3,75%,28%,1,P
Hunter Pence,31,161,161,155,1426.0,322,308,9,5,0,.984,-13,-11,-2,-2,2.00,1.96,,,,,,,,RF-CF
Juan Perez,27,59,21,14,280.0,68,65,2,1,1,.985,3,12,-3,-13,2.15,1.08,,,,,,,,LF-CF-RF
Yusmeiro Petit,29,39,12,1,117.0,14,7,5,2,0,.857,,,-5,-8,0.92,0.31,,,15,4,21%,28%,0,P
Buster Posey,27,142,141,108,1190.1,1112,1033,73,6,28,.995,9,10,-2,-2,8.36,7.47,5,23,59,25,30%,28%,1,C-1B-DH
Guillermo Quiroz,32,2,0,0,6.2,7,6,1,0,0,1.000,0,0,0,0,9.45,3.50,0,0,0,0,,,0,C
Sergio Romo,31,64,0,0,58.0,11,3,7,1,0,.909,,,1,4,1.55,0.16,,,2,1,33%,28%,0,P
Hector Sanchez,24,45,34,31,325.2,299,267,29,3,1,.990,-1,-3,1,4,8.18,6.43,4,16,31,14,31%,28%,0,C-1B
Pablo Sandoval,27,152,153,112,1265.2,382,89,282,11,27,.971,8,7,4,4,2.64,2.41,,,,,,,,3B-DH
Marco Scutaro,38,3,3,2,22.0,9,4,5,0,0,1.000,-1,-67,-1,-55,3.68,3.00,,,,,,,,2B
Hunter Strickland,25,9,0,0,7.0,1,1,0,0,0,1.000,,,0,0,1.29,0.11,,,0,1,100%,28%,0,P
Andrew Susac,24,29,20,20,195.1,180,160,20,0,1,1.000,2,12,1,7,8.29,6.21,2,10,17,8,32%,28%,0,C
Dan Uggla,34,4,4,3,31.1,25,9,14,2,2,.920,1,27,0,0,6.61,5.75,,,,,,,,2B
Ryan Vogelsong,36,32,32,1,184.2,32,11,19,2,1,.938,,,2,2,1.46,0.94,,,12,6,33%,28%,1,P
Team Totals,29.2,162,1458,1054,13041.0,6146,4347,1699,100,155,.984,35,3,,,4.17,2.77,11,49,107,47,31%,28%,14,
Rank in 15 NL teams,,,,,,,,,7,,5,,,,,,,,,,,,,,
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
