
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Buster Posey,27,147,605,547,72,170,28,2,22,89,0,1,47,69,.311,.364,.490,.854,145,268,16,3,0,8,5
2,1B,Brandon Belt*,26,61,235,214,30,52,8,0,12,27,3,1,18,64,.243,.306,.449,.755,116,96,4,2,0,1,2
3,2B,Joe Panik*,23,73,287,269,31,82,10,2,1,18,0,0,16,33,.305,.343,.368,.711,106,99,4,0,1,1,0
4,SS,Brandon Crawford*,27,153,564,491,54,121,20,10,10,69,5,3,59,129,.246,.324,.389,.713,106,191,4,2,2,10,10
5,3B,Pablo Sandoval#,27,157,638,588,68,164,26,3,16,73,0,0,39,85,.279,.324,.415,.739,113,244,16,4,0,7,6
6,LF,Mike Morse,32,131,482,438,48,122,32,3,16,61,0,0,31,121,.279,.336,.475,.811,132,208,19,9,0,4,0
7,CF,Angel Pagan#,32,96,413,383,56,115,21,2,3,27,16,6,25,53,.300,.342,.389,.731,112,149,5,1,1,3,1
8,RF,Hunter Pence,31,162,708,650,106,180,29,10,20,74,13,6,52,130,.277,.332,.445,.777,123,289,13,3,0,3,3
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,OF,Gregor Blanco*,30,146,444,393,51,102,18,6,5,38,16,5,41,77,.260,.333,.374,.707,105,147,4,3,6,1,1
10,2B,Brandon Hicks,28,71,242,204,27,33,6,1,8,22,0,1,32,77,.162,.280,.319,.599,73,65,5,2,3,1,3
11,IF,Joaquin Arias,29,107,204,193,18,49,9,0,0,15,1,0,8,23,.254,.281,.301,.581,69,58,1,0,1,2,2
12,C,Hector Sanchez#,24,66,177,163,8,32,8,0,3,28,0,1,8,55,.196,.237,.301,.538,55,49,2,2,0,4,1
13,LF,Tyler Colvin*,28,57,149,139,16,31,10,3,2,18,1,0,8,45,.223,.268,.381,.650,86,53,3,1,0,1,0
14,OF,Juan Perez,27,61,109,100,13,17,7,0,1,3,0,1,5,25,.170,.224,.270,.494,43,27,3,2,2,0,0
15,2B,Ehire Adrianza#,24,53,106,97,10,23,6,0,0,5,1,1,5,22,.237,.279,.299,.578,68,29,2,1,2,1,1
16,C,Andrew Susac,24,35,95,88,13,24,8,0,3,19,0,0,7,28,.273,.326,.466,.792,127,41,0,0,0,0,0
17,1B,Travis Ishikawa*,30,47,81,73,7,20,3,0,2,15,0,0,6,23,.274,.333,.397,.731,111,29,1,1,0,1,1
18,1B,Adam Duvall,25,28,77,73,8,14,2,0,3,5,0,0,3,20,.192,.234,.342,.576,65,25,0,1,0,0,0
19,IF,Matt Duffy,23,34,64,60,5,16,2,0,0,8,0,1,1,14,.267,.302,.300,.602,75,18,1,2,1,0,0
20,UT,Chris Dominguez,27,8,18,17,1,1,0,0,1,2,0,0,1,4,.059,.111,.235,.346,-3,4,2,0,0,0,1
21,2B,Marco Scutaro,38,5,13,11,1,1,0,0,0,0,0,0,1,3,.091,.167,.091,.258,-23,1,1,0,1,0,0
22,2B,Dan Uggla,34,4,12,11,1,0,0,0,0,0,0,0,1,6,.000,.083,.000,.083,-73,0,0,0,0,0,0
23,CF,Gary Brown,25,7,7,7,1,3,0,0,0,1,0,0,0,0,.429,.429,.429,.857,150,3,0,0,0,0,0
24,IF,Tony Abreu#,29,3,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0
25,C,Guillermo Quiroz,32,2,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
26,P,Madison Bumgarner,24,34,78,66,10,17,2,0,4,15,0,0,2,29,.258,.286,.470,.755,115,31,0,1,8,1,0
27,P,Ryan Vogelsong,36,32,66,61,3,7,2,0,0,2,0,0,2,20,.115,.156,.148,.304,-11,9,1,1,2,0,0
28,P,Tim Hudson,38,31,62,53,0,2,0,0,0,1,0,0,2,20,.038,.089,.038,.127,-61,2,4,1,6,0,0
29,P,Tim Lincecum*,30,34,53,44,2,3,0,0,0,1,0,0,4,26,.068,.146,.068,.214,-35,3,1,0,5,0,0
30,P,Matt Cain,29,15,30,27,1,4,0,0,0,0,0,0,2,13,.148,.233,.148,.381,14,4,0,1,0,0,0
31,P,Yusmeiro Petit,29,39,27,25,2,1,0,0,0,0,0,0,1,13,.040,.077,.040,.117,-65,1,0,0,1,0,0
32,P,Jake Peavy,33,12,24,23,1,0,0,0,0,0,0,0,0,14,.000,.000,.000,.000,-100,0,0,0,1,0,0
33,P,David Huff#,29,16,3,3,1,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,94,1,0,0,0,0,0
34,P,Jean Machi,32,71,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0
35,P,George Kontos,29,24,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0
36,P,Chris Heston,26,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
37,P,Santiago Casilla,33,54,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
38,P,J.C. Gutierrez,30,61,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
39,P,Mike Kickham*,25,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Jeremy Affeldt*,35,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Jake Dunning,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Brett Bochy,26,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Hunter Strickland,25,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Sergio Romo,31,64,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Javier Lopez*,36,65,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
