
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Madison Bumgarner*,24,18,10,.643,2.98,33,33,0,4,2,0,217.1,194,81,72,21,43,3,219,6,1,4,873,114,3.05,1.090,8.0,0.9,1.8,9.1,5.09
2,SP,Tim Hudson,38,9,13,.409,3.57,31,31,0,1,0,0,189.1,199,86,75,15,34,3,120,7,0,2,789,96,3.54,1.231,9.5,0.7,1.6,5.7,3.53
3,SP,Ryan Vogelsong,36,8,13,.381,4.00,32,32,0,1,0,0,184.2,178,86,82,18,58,2,151,9,0,2,780,85,3.85,1.278,8.7,0.9,2.8,7.4,2.60
4,SP,Tim Lincecum,30,12,9,.571,4.74,33,26,3,1,1,1,155.2,154,86,82,19,63,0,134,5,1,15,673,72,4.31,1.394,8.9,1.1,3.6,7.7,2.13
5,SP,Matt Cain,29,2,7,.222,4.18,15,15,0,0,0,0,90.1,81,47,42,13,32,2,70,2,0,2,374,82,4.58,1.251,8.1,1.3,3.2,7.0,2.19
6,SP,Jake Peavy,33,6,4,.600,2.17,12,12,0,0,0,0,78.2,65,24,19,3,17,1,58,6,1,3,314,158,3.03,1.042,7.4,0.3,1.9,6.6,3.41
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
7,CL,Sergio Romo,31,6,4,.600,3.72,64,0,35,0,0,23,58.0,43,24,24,9,12,2,59,4,0,2,230,92,3.94,0.948,6.7,1.4,1.9,9.2,4.92
8,RP,Jean Machi,32,7,1,.875,2.58,71,0,13,0,0,2,66.1,45,19,19,5,18,3,51,1,1,5,249,133,3.43,0.950,6.1,0.7,2.4,6.9,2.83
9,RP,J.C. Gutierrez,30,1,2,.333,3.96,61,0,14,0,0,0,63.2,60,30,28,7,16,2,44,2,0,1,268,87,4.03,1.194,8.5,1.0,2.3,6.2,2.75
10,RP,Jeremy Affeldt*,35,4,2,.667,2.28,62,0,9,0,0,0,55.1,47,14,14,1,14,1,41,4,1,4,225,151,2.86,1.102,7.6,0.2,2.3,6.7,2.93
11,RP,Javier Lopez*,36,1,1,.500,3.11,65,0,14,0,0,0,37.2,31,14,13,2,19,6,22,2,0,1,167,111,4.33,1.327,7.4,0.5,4.5,5.3,1.16
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
12,,Yusmeiro Petit,29,5,5,.500,3.69,39,12,14,1,0,0,117.0,97,51,48,12,22,5,133,1,0,0,461,93,2.78,1.017,7.5,0.9,1.7,10.2,6.05
13,,Santiago Casilla,33,3,3,.500,1.70,54,0,31,0,0,19,58.1,35,13,11,3,15,2,45,3,1,3,218,202,3.18,0.857,5.4,0.5,2.3,6.9,3.00
14,,George Kontos,29,4,0,1.000,2.78,24,0,7,0,0,0,32.1,24,10,10,1,11,3,27,0,0,1,125,124,2.88,1.082,6.7,0.3,3.1,7.5,2.45
15,,David Huff*,29,1,0,1.000,6.30,16,0,3,0,0,0,20.0,27,15,14,2,6,0,11,1,0,0,92,55,4.38,1.650,12.2,0.9,2.7,5.0,1.83
16,,Hunter Strickland,25,1,0,1.000,0.00,9,0,5,0,0,1,7.0,5,0,0,0,0,0,9,0,0,0,25,,0.56,0.714,6.4,0.0,0.0,11.6,
17,,Erik Cordier,28,0,0,,1.50,7,0,2,0,0,0,6.0,5,4,1,0,2,0,9,3,0,1,28,244,2.63,1.167,7.5,0.0,3.0,13.5,4.50
18,,Chris Heston,26,0,0,,5.06,3,1,2,0,0,0,5.1,6,3,3,0,3,0,4,0,0,1,24,73,3.32,1.688,10.1,0.0,5.1,6.8,1.33
19,,Brett Bochy,26,0,0,,5.40,3,0,2,0,0,0,3.1,1,2,2,1,2,0,3,1,0,0,14,72,7.93,0.900,2.7,2.7,5.4,8.1,1.50
20,,Mike Kickham*,25,0,0,,22.50,2,0,0,0,0,0,2.0,8,5,5,1,1,0,1,0,0,0,16,19,10.13,4.500,36.0,4.5,4.5,4.5,1.00
21,,Jake Dunning,25,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0,0,2,2,,7.63,1.500,0.0,0.0,13.5,0.0,0.00
,,Team Totals,31.4,88,74,.543,3.50,162,162,154,8,3,46,1449.0,1305,614,564,133,389,35,1211,57,6,49,5947,98,3.58,1.169,8.1,0.8,2.4,7.5,3.11
,,Rank in 15 NL teams,,4,11,,7,,,,1,7,5,10,3,6,6,8,2,,13,,,,,,,,,,,,
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
