
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Dustin Ackley,26,133,131,117,1130.0,251,245,4,2,2,.992,6,7,7,7,1.98,1.77,,,,,,,,LF-DH
Abraham Almonte,25,26,25,25,223.2,65,58,2,5,0,.923,2,13,2,10,2.41,2.22,,,,,,,,CF-DH
Blake Beavan,25,1,1,0,4.0,1,0,1,0,0,1.000,,,0,0,2.25,1.00,,,0,1,100%,27%,0,P
Joe Beimel,37,56,0,0,45.0,14,2,11,1,1,.929,,,2,9,2.60,0.23,,,3,1,25%,26%,2,P
Willie Bloomquist,36,39,32,23,292.1,128,77,51,0,13,1.000,-2,-9,-3,-12,3.94,2.78,,,,,,,,SS-2B-1B-3B-LF-RF-DH
John Buck,33,20,24,19,167.0,147,135,11,1,2,.993,-2,-11,-2,-14,7.87,5.84,1,11,11,3,21%,27%,0,C-1B-DH
Robinson Cano,31,150,157,135,1304.0,697,261,427,9,103,.987,7,6,0,0,4.75,4.35,,,,,,,,2B-DH
Endy Chavez,36,60,57,35,452.1,80,79,1,0,0,1.000,-5,-14,-3,-8,1.59,1.01,,,,,,,,RF-LF-CF-DH
Chris Denorfia,33,28,22,16,184.1,43,41,1,1,0,.977,-1,-9,-1,-7,2.05,1.40,,,,,,,,RF-LF-DH
Roenis Elias,25,29,29,1,163.2,24,2,22,0,2,1.000,,,2,3,1.32,0.83,,,3,2,40%,27%,1,P
Danny Farquhar,27,66,0,0,71.0,17,6,11,0,1,1.000,,,1,3,2.15,0.26,,,1,3,75%,26%,1,P
Nick Franklin,23,14,13,10,101.0,47,14,33,0,7,1.000,3,32,2,25,4.19,2.76,,,,,,,,SS-2B-RF-3B-DH
Charlie Furbush,28,67,0,0,42.1,3,0,3,0,0,1.000,,,-3,-14,0.64,0.04,,,2,0,0%,26%,0,P
Cole Gillespie,30,25,22,13,175.0,47,45,0,2,0,.957,2,17,0,0,2.31,1.45,,,,,,,,LF-RF-CF-DH
Corey Hart,32,9,62,5,71.0,29,28,0,1,1,.966,-3,-56,-1,-17,3.55,0.43,,,,,,,,RF-1B-LF-DH
Felix Hernandez,28,34,34,0,236.0,37,11,25,1,2,.973,,,-2,-2,1.37,1.06,,,20,5,20%,27%,1,P
Hisashi Iwakuma,33,28,28,0,179.0,42,17,24,1,1,.976,,,2,2,2.06,1.46,,,0,8,100%,27%,0,P
Austin Jackson,27,54,54,45,457.0,135,131,2,2,1,.985,4,9,4,10,2.62,2.46,,,,,,,,CF
James Jones,25,98,72,65,698.1,161,158,1,2,0,.988,-3,-5,-11,-19,2.05,1.54,,,,,,,,CF-RF-LF-DH
Dominic Leone,22,57,0,0,66.1,8,3,5,0,0,1.000,,,0,0,1.09,0.14,,,6,5,45%,27%,1,P
Lucas Luetge,27,12,0,0,9.0,1,0,1,0,0,1.000,,,0,0,1.00,0.08,,,0,0,,,0,P
Brandon Maurer,23,38,7,0,69.2,7,2,5,0,0,1.000,,,-1,-3,0.90,0.18,,,3,0,0%,27%,0,P
Yoervis Medina,25,66,0,0,57.0,8,1,6,1,0,.875,,,-1,-3,1.11,0.11,,,5,0,0%,27%,0,P
Brad Miller,24,119,107,95,974.1,451,150,282,19,51,.958,-4,-5,-5,-6,3.99,3.51,,,,,,,,SS-2B-3B-DH
Jesus Montero,24,1,5,0,6.0,8,8,0,0,0,1.000,0,30,0,0,12.00,1.60,,,,,,,,1B-DH
Kendrys Morales,31,14,59,8,109.2,122,117,4,1,15,.992,-3,-28,-1,-11,9.93,2.05,,,,,,,,1B-DH
Logan Morrison,26,88,91,72,732.0,707,657,47,3,48,.996,-1,-2,2,3,8.66,7.11,,,,,,,,1B-RF-LF-DH
Hector Noesi,27,2,0,0,1.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
James Paxton,25,13,13,0,74.0,11,1,7,3,1,.727,,,-5,-13,0.97,0.62,,,7,2,22%,27%,0,P
Stephen Pryor,24,1,0,0,1.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Humberto Quintero,34,3,0,0,7.0,4,4,0,0,0,1.000,0,0,0,0,5.14,1.33,0,0,0,0,,,0,C
Erasmo Ramirez,24,17,14,0,75.1,10,2,8,0,0,1.000,,,-1,-2,1.19,0.59,,,6,2,25%,27%,0,P
Fernando Rodney,37,69,0,0,66.1,10,3,6,1,0,.900,,,-2,-6,1.22,0.13,,,6,1,14%,27%,0,P
Stefen Romero,25,49,45,14,318.1,69,67,1,1,0,.986,-2,-7,-2,-8,1.92,1.01,,,,,,,,RF-LF-DH
Michael Saunders,27,71,62,47,556.2,128,127,1,0,0,1.000,11,24,5,11,2.07,1.52,,,,,,,,RF-CF-LF-DH
Kyle Seager,26,157,158,154,1402.0,422,87,327,8,36,.981,23,20,10,9,2.66,2.62,,,,,,,,3B-DH
Carson Smith,24,9,0,0,8.1,1,0,1,0,0,1.000,,,0,0,1.08,0.11,,,0,1,100%,27%,0,P
Justin Smoak,27,79,66,65,608.0,621,588,31,2,60,.997,0,0,-4,-8,9.16,7.84,,,,,,,,1B
Jesus Sucre,26,21,18,12,160.0,162,151,10,1,0,.994,0,0,3,23,9.06,7.67,2,7,10,4,29%,27%,1,C
Chris Taylor,23,47,40,38,365.0,184,50,127,7,23,.962,-0,-0,4,13,4.36,3.77,,,,,,,,SS
Taijuan Walker,21,8,5,1,38.0,10,3,7,0,1,1.000,,,2,11,2.37,1.25,,,3,0,0%,27%,0,P
Tom Wilhelmsen,30,57,2,0,79.1,17,8,8,1,0,.941,,,-2,-5,1.82,0.28,,,14,0,0%,27%,0,P
Chris Young,35,30,29,0,165.0,18,7,10,1,0,.944,,,-2,-2,0.93,0.57,,,13,4,24%,27%,0,P
Mike Zunino,23,130,126,121,1121.0,1099,1010,84,5,5,.995,-5,-5,-7,-7,8.78,8.35,8,62,71,28,28%,27%,0,C-DH
Team Totals,27.6,162,1458,1136,13068.0,6046,4356,1608,82,139,.986,26,2,,,4.11,2.84,11,80,92,35,28%,27%,7,
Rank in 15 AL teams,,,,,,,,,1,,1,,,,,,,,,,,,,,
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
