
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Felix Hernandez,28,15,6,.714,2.14,34,34,0,0,0,0,236.0,170,68,56,16,46,1,248,5,0,18,912,168,2.56,0.915,6.5,0.6,1.8,9.5,5.39
2,SP,Hisashi Iwakuma,33,15,9,.625,3.52,28,28,0,0,0,0,179.0,167,70,70,20,21,2,154,2,0,2,709,102,3.25,1.050,8.4,1.0,1.1,7.7,7.33
3,SP,Chris Young,35,12,9,.571,3.65,30,29,0,0,0,0,165.0,143,70,67,26,60,3,108,3,1,5,688,98,5.02,1.230,7.8,1.4,3.3,5.9,1.80
4,SP,Roenis Elias*,25,10,12,.455,3.85,29,29,0,1,1,0,163.2,151,77,70,16,64,3,143,11,4,6,693,94,4.03,1.314,8.3,0.9,3.5,7.9,2.23
5,SP,Erasmo Ramirez,24,1,6,.143,5.26,17,14,0,0,0,0,75.1,82,44,44,13,34,2,60,6,0,3,338,69,5.38,1.540,9.8,1.6,4.1,7.2,1.76
6,SP,James Paxton*,25,6,4,.600,3.04,13,13,0,0,0,0,74.0,60,29,25,3,29,2,59,1,0,7,303,119,3.28,1.203,7.3,0.4,3.5,7.2,2.03
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
7,CL,Fernando Rodney,37,1,6,.143,2.85,69,0,64,0,0,48,66.1,61,24,21,3,28,3,76,3,0,4,286,127,2.83,1.342,8.3,0.4,3.8,10.3,2.71
8,RP,Tom Wilhelmsen,30,3,2,.600,2.27,57,2,18,0,0,1,79.1,47,22,20,6,36,6,72,2,0,4,317,159,3.74,1.046,5.3,0.7,4.1,8.2,2.00
9,RP,Danny Farquhar,27,3,1,.750,2.66,66,0,22,0,0,1,71.0,58,23,21,5,22,1,81,4,2,6,290,136,2.86,1.127,7.4,0.6,2.8,10.3,3.68
10,RP,Yoervis Medina,25,5,3,.625,2.68,66,0,19,0,0,0,57.0,48,18,17,3,28,3,60,5,0,8,247,135,3.45,1.333,7.6,0.5,4.4,9.5,2.14
11,RP,Charlie Furbush*,28,1,5,.167,3.61,67,0,13,0,0,1,42.1,40,17,17,4,9,0,51,3,0,2,177,100,2.80,1.157,8.5,0.9,1.9,10.8,5.67
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
12,,Brandon Maurer,23,1,4,.200,4.65,38,7,4,0,0,0,69.2,74,39,36,6,19,2,55,0,0,3,301,78,3.49,1.335,9.6,0.8,2.5,7.1,2.89
13,,Dominic Leone,22,8,2,.800,2.17,57,0,3,0,0,0,66.1,52,18,16,4,25,3,70,3,0,4,272,166,3.07,1.161,7.1,0.5,3.4,9.5,2.80
14,,Joe Beimel*,37,3,1,.750,2.20,56,0,8,0,0,0,45.0,39,12,11,4,14,4,25,1,0,3,184,165,4.18,1.178,7.8,0.8,2.8,5.0,1.79
15,,Taijuan Walker,21,2,3,.400,2.61,8,5,2,1,0,0,38.0,31,12,11,2,18,1,34,3,1,2,160,139,3.68,1.289,7.3,0.5,4.3,8.1,1.89
16,,Lucas Luetge*,27,0,0,,5.00,12,0,4,0,0,0,9.0,6,5,5,3,5,0,7,0,0,1,38,75,7.58,1.222,6.0,3.0,5.0,7.0,1.40
17,,Carson Smith,24,1,0,1.000,0.00,9,0,1,0,0,0,8.1,2,0,0,0,3,0,10,0,0,0,29,,1.81,0.600,2.2,0.0,3.2,10.8,3.33
18,,Blake Beavan,25,0,1,.000,4.50,1,1,0,0,0,0,4.0,6,2,2,2,0,0,1,0,0,0,16,88,9.13,1.500,13.5,4.5,0.0,2.3,
19,,Stephen Pryor,24,0,0,,0.00,1,0,0,0,0,0,1.2,1,1,0,0,2,0,1,0,0,1,8,,5.53,1.800,5.4,0.0,10.8,5.4,0.50
20,,Hector Noesi,27,0,1,.000,27.00,2,0,2,0,0,0,1.0,2,3,3,1,0,0,2,0,0,1,6,19,12.13,2.000,18.0,9.0,0.0,18.0,
,,Team Totals,28.6,87,75,.537,3.17,162,162,160,2,1,51,1452.0,1240,554,512,137,463,36,1317,52,8,80,5974,114,3.61,1.173,7.7,0.8,2.9,8.2,2.84
,,Rank in 15 AL teams,,6,10,,1,,,,14,10,3,9,1,1,1,5,6,,5,,,,,,,,,,,,
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
