
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Matt Adams,25,133,132,124,1163.0,1204,1115,80,9,111,.993,-7,-7,8,8,9.25,8.98,,,,,,,,1B
Peter Bourjos,27,104,65,57,649.1,196,194,0,2,0,.990,8,14,7,13,2.69,1.87,,,,,,,,CF
Joey Butler,28,1,0,0,4.2,1,1,0,0,0,1.000,0,85,0,0,1.93,1.00,,,,,,,,RF
Keith Butler,25,2,0,0,2.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Matt Carpenter,28,156,156,144,1372.2,395,91,288,16,23,.959,-0,-0,-2,-2,2.48,2.38,,,,,,,,3B-RF-DH
Randy Choate,38,61,0,0,36.0,9,1,7,1,0,.889,,,-1,-5,2.00,0.13,,,3,1,25%,28%,0,P
Allen Craig,29,96,94,72,815.1,333,315,18,0,13,1.000,-0,-0,0,0,3.68,3.20,,,,,,,,RF-1B-LF
Tony Cruz,27,49,35,30,332.0,296,279,16,1,2,.997,0,1,-4,-14,8.00,5.90,4,12,18,6,25%,28%,0,C-1B-3B
Daniel Descalso,27,55,30,25,302.2,153,64,85,4,21,.974,-1,-3,-3,-11,4.43,2.53,,,0,0,,,0,2B-SS-3B-1B-P
Mark Ellis,37,55,46,38,410.1,213,85,127,1,27,.995,-2,-5,6,18,4.65,3.79,,,,,,,,2B-1B-3B
Eric Fornataro,26,8,0,0,9.2,3,1,1,1,0,.667,,,-2,-39,1.86,0.25,,,0,0,,,0,P
Sam Freeman,27,44,0,0,38.0,13,4,9,0,0,1.000,,,3,16,3.08,0.30,,,1,1,50%,28%,0,P
Greg Garcia,24,5,2,1,25.0,13,5,8,0,2,1.000,-1,-41,-1,-48,4.68,2.60,,,,,,,,2B-SS
Jaime Garcia,27,7,7,0,43.2,8,1,7,0,1,1.000,,,2,10,1.65,1.14,,,0,0,,,0,P
Marco Gonzales,22,10,5,0,34.2,4,1,3,0,1,1.000,,,1,6,1.04,0.40,,,0,2,100%,28%,1,P
Nick Greenwood,26,19,1,0,36.0,17,6,11,0,1,1.000,,,3,17,4.25,0.89,,,1,0,0%,28%,0,P
Randal Grichuk,22,35,22,17,218.1,58,54,2,2,0,.966,3,15,4,21,2.31,1.47,,,,,,,,RF-LF-CF
Matt Holliday,34,150,156,118,1280.2,252,240,5,7,1,.972,0,0,0,0,1.72,1.57,,,,,,,,LF-DH
Jon Jay,29,125,109,70,987.1,251,247,2,2,0,.992,8,10,6,7,2.27,1.58,,,,,,,,CF-RF-LF
Joe Kelly,26,7,7,0,35.0,5,2,3,0,0,1.000,,,-1,-5,1.29,0.71,,,4,1,20%,28%,0,P
George Kottaras,31,3,1,0,11.0,8,8,0,0,0,1.000,-1,-109,-1,-98,6.55,2.67,0,2,1,0,0%,28%,0,C
Pete Kozma,26,13,6,5,63.0,44,19,25,0,7,1.000,2,38,-1,-17,6.29,3.14,,,,,,,,2B-SS
John Lackey,35,10,10,0,60.2,14,6,5,3,0,.786,,,-2,-6,1.63,1.10,,,2,2,50%,28%,0,P
Lance Lynn,27,33,33,2,203.2,37,8,28,1,0,.973,,,3,3,1.59,1.09,,,1,3,75%,28%,0,P
Tyler Lyons,26,11,4,0,36.2,10,1,7,2,0,.800,,,1,6,1.96,0.73,,,1,1,50%,28%,1,P
Seth Maness,25,73,0,0,80.1,32,9,21,2,4,.938,,,5,13,3.36,0.41,,,1,3,75%,28%,0,P
Carlos Martinez,22,57,7,0,89.1,35,11,23,1,2,.971,,,3,7,3.43,0.60,,,5,3,38%,28%,0,P
Justin Masterson,29,9,6,0,30.2,6,4,2,0,0,1.000,,,-1,-6,1.76,0.67,,,4,0,0%,28%,0,P
Shelby Miller,23,32,31,1,183.0,27,15,11,1,0,.963,,,0,0,1.28,0.81,,,14,6,30%,28%,1,P
Yadier Molina,31,108,109,95,940.2,879,820,57,2,10,.998,13,16,8,10,8.39,7.97,3,22,23,21,48%,28%,4,C-1B-DH
Jason Motte,32,29,0,0,25.0,4,1,3,0,0,1.000,,,0,0,1.44,0.14,,,1,0,0%,28%,1,P
Pat Neshek,33,71,0,0,67.1,10,2,8,0,0,1.000,,,1,3,1.34,0.14,,,2,1,33%,28%,0,P
Jhonny Peralta,32,152,152,135,1325.1,621,191,418,12,98,.981,13,12,17,15,4.14,3.98,,,,,,,,SS-DH
Tommy Pham,26,2,0,0,4.0,2,2,0,0,0,1.000,0,54,0,0,4.50,0.67,,,,,,,,LF-RF
A.J. Pierzynski,37,23,20,20,181.0,163,155,6,2,1,.988,-2,-13,-5,-32,8.01,7.00,0,8,12,2,14%,28%,0,C
Shane Robinson,29,20,7,7,83.1,21,20,1,0,0,1.000,1,13,1,14,2.27,1.00,,,,,,,,RF-LF-CF
Jorge Rondon,26,1,0,0,1.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Trevor Rosenthal,24,72,0,0,70.1,12,3,8,1,1,.917,,,-1,-3,1.41,0.15,,,2,0,0%,28%,0,P
Xavier Scruggs,26,5,3,2,33.0,33,29,3,1,4,.970,-1,-22,0,0,8.73,6.40,,,,,,,,1B
Kevin Siegrist,24,37,0,0,30.1,1,1,0,0,0,1.000,,,-1,-6,0.30,0.03,,,6,1,14%,28%,0,P
Oscar Taveras,22,63,61,39,500.0,111,107,3,1,1,.991,-2,-5,-5,-12,1.98,1.69,,,,,,,,RF-CF
Sam Tuivailala,21,2,0,0,1.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Michael Wacha,22,19,19,0,107.0,25,12,13,0,1,1.000,,,2,4,2.10,1.32,,,0,2,100%,28%,1,P
Adam Wainwright,32,32,32,5,227.0,51,20,30,1,2,.980,,,5,4,1.98,1.56,,,6,2,25%,28%,0,P
Kolten Wong,23,107,100,87,887.0,481,196,273,12,70,.975,-2,-2,9,12,4.76,4.38,,,,,,,,2B
Team Totals,28.4,162,1458,1094,13038.0,6051,4346,1617,88,145,.985,29,3,,,4.12,2.82,7,44,54,29,35%,28%,9,
Rank in 15 NL teams,,,,,,,,,4,,3,,,,,,,,,,,,,,
