
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Yadier Molina,31,110,445,404,40,114,21,0,7,38,1,1,28,55,.282,.333,.386,.719,100,156,14,6,1,6,4
2,1B,Matt Adams*,25,142,563,527,55,152,34,5,15,68,3,2,26,114,.288,.321,.457,.779,114,241,9,3,0,7,5
3,2B,Kolten Wong*,23,113,433,402,52,100,14,3,12,42,20,4,21,71,.249,.292,.388,.680,88,156,12,4,5,1,3
4,SS,Jhonny Peralta,32,157,628,560,61,147,38,0,21,75,3,2,58,112,.263,.336,.443,.779,115,248,19,6,0,4,2
5,3B,Matt Carpenter*,28,158,709,595,99,162,33,2,8,59,5,3,95,111,.272,.375,.375,.750,110,223,3,8,2,9,2
6,LF,Matt Holliday,34,156,667,574,83,156,37,0,20,90,4,1,74,100,.272,.370,.441,.811,125,253,20,17,0,2,4
7,CF,Jon Jay*,29,140,468,413,52,125,16,3,3,46,6,3,28,78,.303,.372,.378,.750,110,156,17,20,3,4,3
8,RF,Allen Craig,29,97,398,367,34,87,17,1,7,44,1,1,26,77,.237,.291,.346,.638,77,127,11,3,0,2,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,CF,Peter Bourjos,27,119,294,264,32,61,9,5,4,24,9,3,20,78,.231,.294,.348,.643,78,92,5,4,5,1,1
10,RF,Oscar Taveras*,22,80,248,234,18,56,8,0,3,22,0,1,12,37,.239,.278,.312,.590,64,73,10,1,0,1,0
11,2B,Mark Ellis,37,73,202,178,15,32,6,0,0,12,4,1,14,38,.180,.253,.213,.466,32,38,0,4,4,2,3
12,IF,Daniel Descalso*,27,104,184,161,20,39,11,0,0,10,1,3,20,33,.242,.333,.311,.644,81,50,2,2,1,0,0
13,C,Tony Cruz,27,50,150,135,11,27,5,0,1,17,0,3,13,28,.200,.270,.259,.530,49,35,6,0,2,0,1
14,RF,Randal Grichuk,22,47,116,110,11,27,6,1,3,8,0,2,5,31,.245,.278,.400,.678,86,44,4,0,1,0,0
15,C,A.J. Pierzynski*,37,30,88,82,6,20,2,0,1,6,0,1,5,14,.244,.295,.305,.600,68,25,2,1,0,0,0
16,OF,Shane Robinson,29,47,66,60,3,9,1,1,0,4,0,1,6,10,.150,.227,.200,.427,21,12,3,0,0,0,0
17,MI,Pete Kozma,26,14,26,23,4,7,3,0,0,0,0,0,3,4,.304,.385,.435,.819,128,10,0,0,0,0,0
18,1B,Xavier Scruggs,26,9,18,15,0,3,1,0,0,2,0,0,2,7,.200,.333,.267,.600,70,4,0,1,0,0,0
19,2B,Greg Garcia*,24,14,18,14,2,2,1,0,0,1,0,0,1,6,.143,.333,.214,.548,57,3,0,3,0,0,0
20,RF,Joey Butler,28,6,6,5,0,0,0,0,0,0,0,0,1,3,.000,.167,.000,.167,-48,0,0,0,0,0,0
21,C,George Kottaras*,31,4,6,5,0,1,0,0,0,1,0,0,1,2,.200,.333,.200,.533,53,1,0,0,0,0,0
22,OF,Tommy Pham,26,6,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
23,,Audry Perez,25,1,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
24,P,Adam Wainwright,32,32,82,72,4,13,3,0,0,6,0,0,3,22,.181,.213,.222,.436,22,16,0,0,7,0,0
25,P,Lance Lynn,27,33,69,60,5,4,1,0,0,1,0,0,4,34,.067,.138,.083,.222,-36,5,1,1,4,0,0
26,P,Shelby Miller,23,32,63,48,6,9,5,0,0,4,0,0,2,25,.188,.220,.292,.512,41,14,1,0,13,0,0
27,P,Michael Wacha,22,19,32,29,1,1,0,0,0,2,0,0,0,18,.034,.034,.034,.069,-81,1,0,0,3,0,0
28,P,John Lackey,35,10,19,15,1,2,0,0,0,0,0,0,0,5,.133,.133,.133,.267,-25,2,0,0,4,0,0
29,P,Jaime Garcia*,27,8,16,12,2,3,0,0,0,0,0,0,0,2,.250,.308,.250,.558,58,3,0,1,3,0,0
30,P,Joe Kelly,26,7,14,12,0,2,1,0,0,0,0,0,0,1,.167,.231,.250,.481,34,3,0,1,1,0,0
31,P,Carlos Martinez,22,57,13,12,0,3,0,0,0,2,0,0,0,4,.250,.250,.250,.500,40,3,0,0,1,0,0
32,P,Marco Gonzales*,22,10,12,10,1,3,2,0,0,0,0,0,0,2,.300,.300,.500,.800,118,5,0,0,2,0,0
33,P,Justin Masterson,29,9,9,8,1,2,0,0,0,1,0,0,0,3,.250,.250,.250,.500,40,2,0,0,1,0,0
34,P,Tyler Lyons#,26,11,9,7,0,0,0,0,0,0,0,0,2,5,.000,.222,.000,.222,-31,0,1,0,0,0,0
35,P,Nick Greenwood,26,19,6,5,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0
36,P,Seth Maness,25,73,5,5,0,2,0,0,0,0,0,0,0,0,.400,.400,.400,.800,124,2,0,0,0,0,0
37,P,Trevor Rosenthal,24,72,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
38,P,Pat Neshek#,33,71,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Randy Choate*,38,61,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Jason Motte,32,29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Keith Butler,25,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Sam Freeman,27,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Kevin Siegrist*,24,37,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Eric Fornataro,26,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Sam Tuivailala,21,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Jorge Rondon,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,28.8,162,6086,5426,619,1371,275,21,105,585,57,32,471,1133,.253,.320,.369,.689,92,2003,140,86,64,39,28
,,Rank in 15 NL teams,,,,13,9,8,4,13,15,,14,5,7,1,5,5,10,8,,11,,1,,8,
,,Non-Pitcher Totals,28.9,162,5736,5130,598,1327,263,21,105,569,57,32,460,1011,.259,.327,.380,.707,97,1947,137,83,24,39,28
,,Pitcher Totals,26.9,162,350,296,21,44,12,0,0,16,0,0,11,122,.149,.187,.189,.376,5,56,3,3,40,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
