
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Adam Wainwright,32,20,9,.690,2.38,32,32,0,5,3,0,227.0,184,64,60,10,50,5,179,7,1,4,898,154,2.88,1.031,7.3,0.4,2.0,7.1,3.58
2,SP,Lance Lynn,27,15,10,.600,2.74,33,33,0,2,1,0,203.2,185,72,62,13,72,1,181,7,0,7,866,134,3.35,1.262,8.2,0.6,3.2,8.0,2.51
3,SP,Shelby Miller,23,10,9,.526,3.74,32,31,0,1,1,0,183.0,160,78,76,22,73,4,127,2,0,4,764,98,4.54,1.273,7.9,1.1,3.6,6.2,1.74
4,SP,Michael Wacha,22,5,6,.455,3.20,19,19,0,0,0,0,107.0,95,41,38,6,33,0,94,5,0,2,447,115,3.17,1.196,8.0,0.5,2.8,7.9,2.85
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
5,CL,Trevor Rosenthal,24,2,6,.250,3.20,72,0,59,0,0,45,70.1,57,25,25,2,42,5,87,4,1,1,308,115,2.99,1.408,7.3,0.3,5.4,11.1,2.07
6,RP,Carlos Martinez,22,2,4,.333,4.03,57,7,13,0,0,1,89.1,90,41,40,4,36,8,84,4,1,8,386,91,3.18,1.410,9.1,0.4,3.6,8.5,2.33
7,RP,Seth Maness,25,6,4,.600,2.91,73,0,17,0,0,3,80.1,77,29,26,7,11,3,55,2,1,2,317,126,3.38,1.095,8.6,0.8,1.2,6.2,5.00
8,RP,Pat Neshek,33,7,2,.778,1.87,71,0,17,0,0,6,67.1,44,14,14,4,9,2,68,2,0,1,255,197,2.37,0.787,5.9,0.5,1.2,9.1,7.56
9,RP,Randy Choate*,38,2,2,.500,4.50,61,0,6,0,0,0,36.0,27,18,18,2,13,2,32,5,0,0,148,82,3.58,1.111,6.8,0.5,3.3,8.0,2.46
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
10,,John Lackey,35,3,3,.500,4.30,10,10,0,0,0,0,60.2,69,34,29,9,15,1,48,1,1,1,261,86,4.27,1.385,10.2,1.3,2.2,7.1,3.20
11,,Jaime Garcia*,27,3,1,.750,4.12,7,7,0,0,0,0,43.2,39,20,20,6,7,0,39,3,0,1,177,90,3.82,1.053,8.0,1.2,1.4,8.0,5.57
12,,Sam Freeman*,27,2,0,1.000,2.61,44,0,9,0,0,0,38.0,34,13,11,2,19,0,35,4,0,3,169,142,3.79,1.395,8.1,0.5,4.5,8.3,1.84
13,,Tyler Lyons*,26,0,4,.000,4.42,11,4,1,0,0,0,36.2,33,23,18,4,11,2,36,2,0,0,155,84,3.65,1.200,8.1,1.0,2.7,8.8,3.27
14,,Nick Greenwood*,26,2,1,.667,4.75,19,1,8,0,0,0,36.0,36,19,19,5,5,1,17,1,0,0,145,78,4.49,1.139,9.0,1.3,1.3,4.3,3.40
15,,Joe Kelly,26,2,2,.500,4.37,7,7,0,0,0,0,35.0,41,19,17,3,10,0,25,3,0,3,156,85,3.93,1.457,10.5,0.8,2.6,6.4,2.50
16,,Marco Gonzales*,22,4,2,.667,4.15,10,5,0,0,0,0,34.2,32,16,16,4,21,1,31,1,0,0,156,89,4.75,1.529,8.3,1.0,5.5,8.0,1.48
17,,Justin Masterson,29,3,3,.500,7.04,9,6,1,0,0,0,30.2,35,24,24,6,13,0,23,4,0,5,140,53,5.84,1.565,10.3,1.8,3.8,6.8,1.77
18,,Kevin Siegrist*,24,1,4,.200,6.82,37,0,5,0,0,0,30.1,32,23,23,5,16,0,37,2,0,1,140,54,4.62,1.582,9.5,1.5,4.7,11.0,2.31
19,,Jason Motte,32,1,0,1.000,4.68,29,0,10,0,0,0,25.0,29,14,13,7,9,0,17,0,0,1,110,80,6.49,1.520,10.4,2.5,3.2,6.1,1.89
20,,Eric Fornataro,26,0,0,,4.66,8,0,6,0,0,0,9.2,11,6,5,0,1,0,3,1,0,0,42,82,3.13,1.241,10.2,0.0,0.9,2.8,3.00
21,,Keith Butler,25,0,0,,27.00,2,0,1,0,0,0,2.0,6,6,6,0,1,0,2,1,0,0,14,16,4.13,3.500,27.0,0.0,4.5,9.0,2.00
