
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Robinson Chirinos,30,93,338,306,36,73,15,0,13,40,0,1,17,71,.239,.290,.415,.705,97,127,4,7,4,4,1
2,1B,Prince Fielder*,30,42,178,150,19,37,8,0,3,16,0,0,25,24,.247,.360,.360,.720,105,54,5,2,0,1,11
3,2B,Rougned Odor*,20,114,417,386,39,100,14,7,9,48,4,7,17,71,.259,.297,.402,.698,96,155,7,5,6,3,1
4,SS,Elvis Andrus,25,157,685,619,72,163,35,1,2,41,27,15,46,96,.263,.314,.333,.647,83,206,21,3,9,7,0
5,3B,Adrian Beltre,35,148,614,549,79,178,33,1,19,77,1,1,57,74,.324,.388,.492,.879,147,270,15,3,0,5,13
6,LF,Shin-Soo Choo*,31,123,529,455,58,110,19,1,13,40,3,4,58,131,.242,.340,.374,.714,102,170,9,12,0,4,3
7,CF,Leonys Martin*,26,155,583,533,68,146,13,7,7,40,31,12,39,114,.274,.325,.364,.689,95,194,4,2,7,2,3
8,RF,Alex Rios,33,131,521,492,54,138,30,8,4,54,17,9,23,93,.280,.311,.398,.709,99,196,19,1,0,5,3
9,DH,Mitch Moreland*,28,52,184,167,18,41,9,1,2,23,0,0,12,43,.246,.297,.347,.644,82,58,7,1,2,2,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
10,UT,Michael Choice,24,86,280,253,20,46,6,1,9,36,1,0,21,69,.182,.250,.320,.570,60,81,11,3,0,3,0
11,UT,J.P. Arencibia,28,63,222,203,20,36,9,0,10,35,0,0,10,62,.177,.239,.369,.608,69,75,6,7,0,2,0
12,OF,Dan Robertson,28,70,197,177,23,48,9,1,0,21,6,4,17,28,.271,.333,.333,.667,90,59,3,0,2,1,0
13,1B,Adam Rosales,31,56,181,164,20,43,7,0,4,19,4,2,13,42,.262,.328,.378,.706,99,62,5,3,0,0,0
14,UT,Donnie Murphy,31,45,128,112,11,22,3,0,4,14,0,1,11,38,.196,.268,.330,.598,68,37,2,1,1,3,0
15,MI,Luis Sardinas#,21,43,125,115,12,30,6,0,0,8,5,1,5,21,.261,.303,.313,.616,75,36,5,2,3,0,0
16,C,Chris Gimenez,31,34,118,107,13,28,10,0,0,11,0,1,11,26,.262,.331,.355,.686,94,38,3,0,0,0,1
17,LF,Jim Adduci*,29,44,114,101,13,17,3,0,1,8,3,1,10,27,.168,.239,.228,.467,33,23,2,0,1,2,0
18,UT,Ryan Rua,24,28,109,105,11,31,7,0,2,14,1,0,2,18,.295,.321,.419,.740,108,44,6,2,0,0,0
19,UT,Jake Smolinski,25,24,92,86,12,30,5,0,3,12,0,0,3,24,.349,.391,.512,.903,153,44,1,3,0,0,0
20,2B,Josh Wilson,33,24,72,67,7,16,4,0,0,8,1,0,2,14,.239,.271,.299,.570,61,20,3,1,2,0,0
21,C,Tomas Telis#,23,18,71,68,7,17,2,0,0,8,0,0,1,10,.250,.271,.279,.551,56,19,2,1,1,0,0
22,1B,Carlos Pena*,36,18,63,59,4,8,3,0,1,2,1,0,4,11,.136,.190,.237,.428,20,14,1,0,0,0,0
23,3B,Kevin Kouzmanoff,32,13,51,47,8,17,6,0,2,10,0,0,2,7,.362,.412,.617,1.029,187,29,2,2,0,0,1
24,UT,Mike Carp*,28,17,46,40,2,5,0,0,0,4,0,0,5,14,.125,.217,.125,.342,0,5,1,0,0,1,0
25,C,Geovany Soto,31,10,38,38,5,9,2,0,1,3,0,0,0,11,.237,.237,.368,.605,68,14,3,0,0,0,0
26,1B,Brad Snyder*,32,10,34,30,3,5,1,0,2,3,0,0,4,10,.167,.265,.400,.665,85,12,1,0,0,0,0
27,UT,Guilder Rodriguez#,30,7,14,12,2,2,0,0,0,1,0,0,1,5,.167,.231,.167,.397,15,2,0,0,1,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
28,P,Yu Darvish,27,22,5,5,0,1,1,0,0,0,0,0,0,2,.200,.200,.400,.600,65,2,0,0,0,0,0
29,P,Colby Lewis,34,29,5,5,0,2,0,0,0,1,0,0,0,2,.400,.400,.400,.800,128,2,0,0,0,0,0
30,P,Nick Martinez*,23,32,3,3,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
31,P,Robbie Ross*,25,27,2,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,57,0,0,0,0,0,0
32,P,Martin Perez*,23,8,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0
33,P,Miles Mikolas,25,10,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0
34,P,Nick Tepesch,25,23,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,184,1,0,0,0,0,0
35,P,Scott Baker,32,25,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
36,P,Aaron Poreda*,27,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Michael Kirkman*,27,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Jon Edwards,26,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Matt West,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Joe Saunders*,33,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Jason Frasor,36,38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Daniel McCutchen,31,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Ben Rowen,25,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Neftali Feliz,26,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Hector Noesi,27,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Seth Rosin,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Pedro Figueroa*,28,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Roman Mendez,23,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Spencer Patton,26,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Lisalverto Bonilla#,24,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
