
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,R.A. Dickey,39,14,13,.519,3.71,34,34,0,1,0,0,215.2,191,101,89,26,74,2,173,14,0,5,914,103,4.32,1.229,8.0,1.1,3.1,7.2,2.34
2,SP,Mark Buehrle*,35,13,10,.565,3.39,32,32,0,0,0,0,202.0,228,83,76,15,46,0,119,4,1,2,857,113,3.66,1.356,10.2,0.7,2.0,5.3,2.59
3,SP,Drew Hutchison,23,11,13,.458,4.48,32,32,0,1,1,0,184.2,173,92,92,23,60,1,184,7,2,4,786,85,3.85,1.262,8.4,1.1,2.9,9.0,3.07
4,SP,J.A. Happ*,31,11,11,.500,4.22,30,26,2,0,0,0,158.0,160,79,74,22,51,0,133,2,0,1,673,91,4.26,1.335,9.1,1.3,2.9,7.6,2.61
5,SP,Marcus Stroman,23,11,6,.647,3.65,26,20,1,1,1,1,130.2,125,56,53,7,28,1,111,3,1,9,534,105,2.84,1.171,8.6,0.5,1.9,7.6,3.96
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
6,CL,Casey Janssen,32,3,3,.500,3.94,50,0,42,0,0,25,45.2,47,22,20,6,7,0,28,1,0,0,192,98,4.14,1.182,9.3,1.2,1.4,5.5,4.00
7,RP,Dustin McGowan,32,5,3,.625,4.17,53,8,9,0,0,1,82.0,80,41,38,13,33,1,61,3,0,2,354,92,5.02,1.378,8.8,1.4,3.6,6.7,1.85
8,RP,Todd Redmond,29,1,4,.200,3.24,42,0,14,0,0,1,75.0,73,33,27,5,27,6,60,2,0,2,314,119,3.56,1.333,8.8,0.6,3.2,7.2,2.22
9,RP,Aaron Loup*,26,4,4,.500,3.15,71,0,15,0,0,4,68.2,50,25,24,4,30,5,56,6,0,5,283,122,3.83,1.165,6.6,0.5,3.9,7.3,1.87
10,RP,Brett Cecil*,27,2,3,.400,2.70,66,0,17,0,0,5,53.1,46,16,16,2,27,4,76,1,0,1,234,143,2.34,1.369,7.8,0.3,4.6,12.8,2.81
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
11,,Brandon Morrow,29,1,3,.250,5.67,13,6,2,0,0,0,33.1,37,21,21,2,18,0,30,0,1,1,148,68,3.73,1.650,10.0,0.5,4.9,8.1,1.67
12,,Aaron Sanchez,21,2,2,.500,1.09,24,0,6,0,0,3,33.0,14,5,4,1,9,0,27,1,0,1,121,354,2.80,0.697,3.8,0.3,2.5,7.4,3.00
13,,Chad Jenkins,26,1,1,.500,2.56,21,0,12,0,0,0,31.2,34,10,9,2,6,1,18,1,0,0,136,151,3.48,1.263,9.7,0.6,1.7,5.1,3.00
14,,Steve Delabar,30,3,0,1.000,4.91,30,0,0,0,0,0,25.2,19,14,14,3,19,0,21,3,0,2,114,79,5.59,1.481,6.7,1.1,6.7,7.4,1.11
15,,Sergio Santos,30,0,3,.000,8.57,26,0,14,0,0,5,21.0,28,22,20,5,18,2,29,0,0,4,106,45,6.04,2.190,12.0,2.1,7.7,12.4,1.61
16,,Esmil Rogers,28,0,0,,6.97,16,0,9,0,0,0,20.2,28,17,16,5,7,0,21,1,0,1,96,56,5.41,1.694,12.2,2.2,3.0,9.1,3.00
17,,Liam Hendriks,25,1,0,1.000,6.08,3,3,0,0,0,0,13.1,12,9,9,3,4,0,8,2,0,0,57,65,6.21,1.200,8.1,2.0,2.7,5.4,2.00
18,,Rob Rasmussen*,25,0,0,,3.18,10,0,4,0,0,0,11.1,8,4,4,1,7,0,13,2,0,2,50,125,4.37,1.324,6.4,0.8,5.6,10.3,1.86
19,,Neil Wagner,30,0,0,,8.10,10,0,0,0,0,0,10.0,12,9,9,1,4,0,6,1,0,0,49,49,4.73,1.600,10.8,0.9,3.6,5.4,1.50
20,,Daniel Norris*,21,0,0,,5.40,5,1,2,0,0,0,6.2,5,4,4,1,5,0,4,0,0,0,30,75,6.13,1.500,6.8,1.4,6.8,5.4,0.80
21,,Kendall Graveman,23,0,0,,3.86,5,0,1,0,0,0,4.2,4,2,2,0,0,0,4,0,0,1,18,108,1.42,0.857,7.7,0.0,0.0,7.7,
22,,Brad Mills*,29,0,0,,27.00,2,0,1,0,0,0,4.1,10,13,13,3,4,0,5,1,0,0,28,15,13.29,3.231,20.8,6.2,8.3,10.4,1.25
23,,Jeremy Jeffress,26,0,0,,10.80,3,0,3,0,0,0,3.1,8,4,4,0,3,0,4,2,0,0,21,40,5.23,3.300,21.6,0.0,8.1,10.8,1.33
24,,Bobby Korecky,34,0,0,,8.10,2,0,1,0,0,0,3.1,4,3,3,0,1,0,2,0,0,0,14,53,2.83,1.500,10.8,0.0,2.7,5.4,2.00
25,,Kyle Drabek,26,0,0,,0.00,2,0,1,0,0,0,3.0,2,0,0,0,2,0,5,0,0,0,13,,1.80,1.333,6.0,0.0,6.0,15.0,2.50
26,,Sean Nolin*,24,0,0,,9.00,1,0,1,0,0,0,1.0,1,1,1,1,0,0,0,0,0,0,4,59,16.13,1.000,9.0,9.0,0.0,0.0,
27,,Steven Tolleson,30,0,0,,0.00,2,0,2,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,4,,1.13,1.000,9.0,0.0,0.0,9.0,
,,Team Totals,29.9,83,79,.512,4.00,162,162,159,3,2,45,1443.0,1400,686,642,151,490,23,1199,57,5,43,6150,96,3.97,1.310,8.7,0.9,3.1,7.5,2.45
,,Rank in 15 AL teams,,9,7,,9,,,,7,3,6,11,9,9,9,11,12,,9,,,,,,,,,,,,
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
