
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Hiroki Kuroda,39,11,9,.550,3.71,32,32,0,0,0,0,199.0,191,91,82,20,35,0,146,7,0,13,820,104,3.60,1.136,8.6,0.9,1.6,6.6,4.17
2,SP,Masahiro Tanaka,25,13,5,.722,2.77,20,20,0,3,1,0,136.1,123,47,42,15,21,0,141,4,0,4,542,140,3.04,1.056,8.1,1.0,1.4,9.3,6.71
3,SP,David Phelps,27,5,5,.500,4.38,32,17,5,1,0,1,113.0,115,62,55,13,46,2,92,7,1,2,497,88,4.41,1.425,9.2,1.0,3.7,7.3,2.00
4,SP,Brandon McCarthy,30,7,5,.583,2.89,14,14,0,1,1,0,90.1,91,35,29,10,13,0,82,1,0,1,370,134,3.22,1.151,9.1,1.0,1.3,8.2,6.31
5,SP,Shane Greene,25,5,4,.556,3.78,15,14,0,0,0,0,78.2,81,38,33,8,29,0,81,6,0,1,345,103,3.73,1.398,9.3,0.9,3.3,9.3,2.79
6,SP,Vidal Nuno*,26,2,5,.286,5.42,17,14,1,0,0,0,78.0,86,52,47,15,26,1,60,2,0,4,339,71,5.17,1.436,9.9,1.7,3.0,6.9,2.31
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
7,CL,David Robertson,29,4,5,.444,3.08,63,0,55,0,0,39,64.1,45,23,22,7,23,2,96,1,0,0,259,126,2.68,1.057,6.3,1.0,3.2,13.4,4.17
8,RP,Dellin Betances,26,5,0,1.000,1.40,70,0,8,0,0,1,90.0,46,15,14,4,24,1,135,4,1,2,341,277,1.64,0.778,4.6,0.4,2.4,13.5,5.63
9,RP,Adam Warren,26,3,6,.333,2.97,69,0,11,0,0,3,78.2,63,27,26,4,24,1,76,3,0,4,324,130,2.89,1.106,7.2,0.5,2.7,8.7,3.17
10,RP,Shawn Kelley,30,3,6,.333,4.53,59,0,15,0,0,4,51.2,45,26,26,5,20,4,67,1,0,3,220,86,3.02,1.258,7.8,0.9,3.5,11.7,3.35
11,RP,Matt Thornton*,37,0,3,.000,2.55,46,0,6,0,0,0,24.2,23,9,7,0,6,2,20,4,0,0,107,153,2.73,1.176,8.4,0.0,2.2,7.3,3.33
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
12,,Michael Pineda,25,5,5,.500,1.89,13,13,0,0,0,0,76.1,56,18,16,5,7,0,59,0,1,3,290,206,2.71,0.825,6.6,0.6,0.8,7.0,8.43
13,,Chase Whitley,25,4,3,.571,5.23,24,12,3,0,0,0,75.2,94,44,44,10,18,0,60,4,0,2,330,74,4.14,1.480,11.2,1.2,2.1,7.1,3.33
14,,Chris Capuano*,35,2,3,.400,4.25,12,12,0,0,0,0,65.2,67,34,31,7,19,1,55,3,0,4,286,91,3.85,1.310,9.2,1.0,2.6,7.5,2.89
15,,CC Sabathia*,33,3,4,.429,5.28,8,8,0,0,0,0,46.0,58,31,27,10,10,0,48,4,0,2,209,74,4.78,1.478,11.3,2.0,2.0,9.4,4.80
16,,David Huff*,29,3,1,.750,1.85,30,0,13,0,0,0,39.0,34,10,8,3,17,2,28,0,0,1,166,211,4.00,1.308,7.8,0.7,3.9,6.5,1.65
17,,Esmil Rogers,28,2,0,1.000,4.68,18,1,4,0,0,0,25.0,22,13,13,3,10,0,23,1,1,0,106,84,4.17,1.280,7.9,1.1,3.6,8.3,2.30
18,,Preston Claiborne,26,3,0,1.000,3.00,18,0,9,0,0,0,21.0,24,9,7,1,10,3,16,0,0,0,96,131,3.66,1.619,10.3,0.4,4.3,6.9,1.60
19,,Ivan Nova,27,2,2,.500,8.27,4,4,0,0,0,0,20.2,32,19,19,6,6,0,12,2,0,1,96,48,6.91,1.839,13.9,2.6,2.6,5.2,2.00
20,,Alfredo Aceves,31,1,2,.333,6.52,10,0,5,0,0,0,19.1,23,14,14,6,4,0,16,1,1,0,85,60,6.29,1.397,10.7,2.8,1.9,7.4,4.00
21,,Matt Daley,32,0,1,.000,5.02,13,0,5,0,0,0,14.1,12,11,8,4,6,1,10,1,0,0,63,79,6.83,1.256,7.5,2.5,3.8,6.3,1.67
22,,Bryan Mitchell,23,0,1,.000,2.45,3,1,1,0,0,0,11.0,10,3,3,0,3,0,7,2,0,0,44,163,3.22,1.182,8.2,0.0,2.5,5.7,2.33
23,,Jose Ramirez,24,0,2,.000,5.40,8,0,5,0,0,0,10.0,11,6,6,2,7,0,10,2,0,0,49,74,6.43,1.800,9.9,1.8,6.3,9.0,1.43
24,,Rich Hill*,34,0,0,,1.69,14,0,2,0,0,0,5.1,6,1,1,0,3,1,9,1,0,0,25,246,2.01,1.688,10.1,0.0,5.1,15.2,3.00
25,,Bruce Billings,28,0,0,,9.00,1,0,0,0,0,0,4.0,4,4,4,2,1,0,7,0,0,0,17,47,6.88,1.250,9.0,4.5,2.3,15.8,7.00
26,,Josh Outman*,29,0,0,,0.00,9,0,0,0,0,0,3.2,2,0,0,0,0,0,2,0,0,0,12,,2.04,0.545,4.9,0.0,0.0,4.9,
27,,Jim Miller,32,0,0,,20.25,2,0,1,0,0,0,2.2,7,6,6,3,2,0,2,0,0,0,16,22,18.51,3.375,23.6,10.1,6.8,6.8,1.00
28,,Chaz Roe,27,0,0,,9.00,3,0,2,0,0,0,2.0,3,3,2,0,3,0,4,0,0,1,13,51,3.63,3.000,13.5,0.0,13.5,18.0,1.33
29,,Chris Leroux,30,0,1,.000,22.50,2,0,2,0,0,0,2.0,7,5,5,0,2,1,3,0,0,0,15,21,3.13,4.500,31.5,0.0,9.0,13.5,1.50
30,,Jeff Francis*,33,1,0,1.000,5.40,2,0,2,0,0,0,1.2,2,1,1,1,0,0,1,0,0,0,7,88,9.73,1.200,10.8,5.4,0.0,5.4,
31,,Cesar Cabral*,25,0,0,,27.00,4,0,0,0,0,0,1.0,4,3,3,0,2,0,2,3,1,1,12,20,14.13,6.000,36.0,0.0,18.0,18.0,1.00
32,,Wade LeBlanc*,29,0,0,,18.00,1,0,1,0,0,0,1.0,2,2,2,0,1,1,0,1,0,0,7,30,9.13,3.000,18.0,0.0,9.0,0.0,0.00
33,,Dean Anna,27,0,0,,18.00,1,0,1,0,0,0,1.0,3,2,2,0,0,0,0,0,0,0,6,30,3.13,3.000,27.0,0.0,0.0,0.0,
,,Team Totals,29.2,84,78,.519,3.75,162,162,157,5,2,48,1453.0,1392,664,605,164,398,23,1370,65,6,49,6114,104,3.67,1.232,8.6,1.0,2.5,8.5,3.44
,,Rank in 15 AL teams,,8,8,,8,,,,5,9,4,8,7,8,8,15,1,,3,,,,,,,,,,,,
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
