
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,25,28.0,4.58,64,98,.395,4.26,162,162,160,2,4,1,35,1444.1,1467,742,683,154,469,43,1278,51,5,50,6162,89,3.83,1.340,9.1,1.0,2.9,8.0,2.72,1087
ATL,20,27.3,3.69,79,83,.488,3.38,162,162,157,5,13,2,54,1455.0,1369,597,547,121,472,36,1301,37,1,75,6087,109,3.47,1.265,8.5,0.7,2.9,8.0,2.76,1125
BAL,20,27.7,3.66,96,66,.593,3.43,162,162,159,3,13,2,53,1461.1,1342,593,557,151,472,25,1174,59,2,42,6104,113,3.96,1.241,8.3,0.9,2.9,7.2,2.49,1127
BOS,25,29.9,4.41,71,91,.438,4.01,162,162,159,3,7,2,36,1465.2,1458,715,653,154,482,19,1213,47,5,51,6231,97,3.93,1.324,9.0,0.9,3.0,7.4,2.52,1119
CHC,27,28.0,4.36,73,89,.451,3.91,162,162,161,1,11,1,37,1463.1,1398,707,636,115,504,37,1311,55,3,64,6208,96,3.51,1.300,8.6,0.7,3.1,8.1,2.60,1111
CHW,26,27.4,4.68,73,89,.451,4.29,162,162,159,3,6,0,36,1441.0,1468,758,687,140,557,42,1152,69,3,75,6255,89,4.09,1.405,9.2,0.9,3.5,7.2,2.07,1174
CIN,25,28.0,3.78,76,86,.469,3.59,162,162,157,5,13,3,44,1446.0,1282,612,576,163,507,33,1290,69,5,45,6067,102,4.01,1.237,8.0,1.0,3.2,8.0,2.54,1117
CLE,22,27.2,4.03,85,77,.525,3.56,162,162,156,6,15,4,40,1468.1,1398,653,581,135,464,51,1450,58,2,56,6193,108,3.42,1.268,8.6,0.8,2.8,8.9,3.13,1135
COL,26,28.5,5.05,66,96,.407,4.84,162,162,161,1,4,1,24,1431.0,1528,818,770,173,531,32,1074,54,8,72,6248,87,4.43,1.439,9.6,1.1,3.3,6.8,2.02,1137
DET,30,28.5,4.35,90,72,.556,4.01,162,162,157,5,8,4,41,1454.0,1475,705,648,127,462,34,1244,42,9,43,6191,99,3.60,1.332,9.1,0.8,2.9,7.7,2.69,1124
HOU,28,27.9,4.46,70,92,.432,4.11,162,162,155,7,3,2,31,1438.2,1437,723,657,139,484,32,1137,52,7,57,6154,95,3.93,1.335,9.0,0.9,3.0,7.1,2.35,1115
KCR,23,28.9,3.85,89,73,.549,3.51,162,162,159,3,14,2,53,1450.2,1386,624,565,128,440,14,1168,56,6,58,6101,113,3.69,1.259,8.6,0.8,2.7,7.2,2.65,1125
LAA,31,28.4,3.89,98,64,.605,3.58,162,162,159,3,13,2,46,1482.2,1307,630,590,126,504,41,1342,63,4,74,6179,102,3.57,1.221,7.9,0.8,3.1,8.1,2.66,1101
LAD,25,29.9,3.81,94,68,.580,3.40,162,162,155,7,16,3,47,1464.2,1338,617,554,142,429,35,1373,41,4,64,6075,104,3.48,1.206,8.2,0.9,2.6,8.4,3.20,1064
MIA,25,26.4,4.16,77,85,.475,3.78,162,162,159,3,16,3,42,1457.2,1481,674,613,114,458,35,1190,49,4,56,6217,99,3.56,1.330,9.1,0.7,2.8,7.3,2.60,1170
MIL,21,29.0,4.06,82,80,.506,3.67,162,162,159,3,9,3,45,1457.2,1386,657,594,167,431,20,1246,42,2,44,6106,103,3.89,1.247,8.6,1.0,2.7,7.7,2.89,1076
MIN,23,29.2,4.80,70,92,.432,4.57,162,162,160,2,7,0,38,1435.0,1588,777,728,147,408,24,1031,45,6,50,6212,87,3.97,1.391,10.0,0.9,2.6,6.5,2.53,1130
