
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Jered Weaver,31,18,9,.667,3.59,34,34,0,1,0,0,213.1,193,87,85,27,65,1,169,6,0,3,888,101,4.19,1.209,8.1,1.1,2.7,7.1,2.60
2,SP,C.J. Wilson*,33,13,10,.565,4.51,31,31,0,1,1,0,175.2,169,95,88,17,85,5,151,11,0,9,761,81,4.31,1.446,8.7,0.9,4.4,7.7,1.78
3,SP,Garrett Richards,26,13,4,.765,2.61,26,26,0,1,1,0,168.2,124,51,49,5,51,1,164,7,1,22,678,139,2.60,1.038,6.6,0.3,2.7,8.8,3.22
4,SP,Matt Shoemaker,27,16,4,.800,3.04,27,20,5,0,0,0,136.0,122,49,46,14,24,0,124,4,0,5,543,120,3.26,1.074,8.1,0.9,1.6,8.2,5.17
5,SP,Hector Santiago*,26,6,9,.400,3.75,30,24,2,0,0,0,127.1,120,63,53,15,53,3,108,3,1,5,544,97,4.29,1.359,8.5,1.1,3.7,7.6,2.04
6,SP,Tyler Skaggs*,22,5,5,.500,4.30,18,18,0,0,0,0,113.0,107,59,54,9,30,1,86,4,0,7,464,85,3.55,1.212,8.5,0.7,2.4,6.8,2.87
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
7,CL,Huston Street,30,1,2,.333,1.71,28,0,23,0,0,17,26.1,24,5,5,1,7,3,23,0,0,0,108,216,2.68,1.177,8.2,0.3,2.4,7.9,3.29
8,RP,Joe Smith,30,7,2,.778,1.81,76,0,26,0,0,15,74.2,45,16,15,4,15,3,68,6,0,4,285,202,2.85,0.804,5.4,0.5,1.8,8.2,4.53
9,RP,Kevin Jepsen,29,0,2,.000,2.63,74,0,10,0,0,2,65.0,45,19,19,4,23,2,75,2,0,5,260,139,2.78,1.046,6.2,0.6,3.2,10.4,3.26
10,RP,Mike Morin,23,4,4,.500,2.90,60,0,10,0,0,0,59.0,51,22,19,3,19,6,54,3,0,3,246,126,3.08,1.186,7.8,0.5,2.9,8.2,2.84
11,RP,Fernando Salas,29,5,0,1.000,3.38,57,0,11,0,0,0,58.2,50,22,22,5,14,4,61,1,1,1,239,108,2.93,1.091,7.7,0.8,2.1,9.4,4.36
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
12,,Cory Rasmus,26,3,2,.600,2.57,30,6,7,0,0,0,56.0,42,17,16,5,17,1,57,0,0,0,225,142,3.17,1.054,6.8,0.8,2.7,9.2,3.35
13,,Jason Grilli,37,1,3,.250,3.48,40,0,6,0,0,1,33.2,29,15,13,0,10,1,36,3,0,1,142,106,2.15,1.158,7.8,0.0,2.7,9.6,3.60
14,,Ernesto Frieri,28,0,3,.000,6.39,34,0,22,0,0,11,31.0,33,22,22,8,9,1,38,1,0,0,133,58,5.00,1.355,9.6,2.3,2.6,11.0,4.22
15,,Wade LeBlanc*,29,1,1,.500,3.45,10,3,2,0,0,0,28.2,25,11,11,2,6,1,21,1,0,1,114,108,3.31,1.081,7.8,0.6,1.9,6.6,3.50
16,,Michael Kohn,28,2,1,.667,3.04,25,0,4,0,0,0,23.2,11,9,8,1,20,1,26,2,0,3,101,121,4.27,1.310,4.2,0.4,7.6,9.9,1.30
17,,Cam Bedrosian,22,0,1,.000,6.52,17,0,4,0,0,0,19.1,23,17,14,2,12,1,20,0,1,1,93,57,4.27,1.810,10.7,0.9,5.6,9.3,1.67
18,,Yoslan Herrera,33,1,1,.500,2.70,20,0,8,0,0,0,16.2,22,5,5,0,9,3,13,0,0,0,77,138,3.19,1.860,11.9,0.0,4.9,7.0,1.44
19,,Michael Roth*,24,1,0,1.000,8.76,7,0,2,0,0,0,12.1,16,12,12,2,9,2,9,3,0,0,60,43,6.70,2.027,11.7,1.5,6.6,6.6,1.00
20,,Vinnie Pestano,29,0,0,,0.93,12,0,3,0,0,0,9.2,5,1,1,1,4,0,13,0,0,1,38,407,3.03,0.931,4.7,0.9,3.7,12.1,3.25
21,,Drew Rucinski,25,0,0,,4.91,3,0,2,0,0,0,7.1,9,4,4,0,2,0,8,1,0,0,34,78,2.18,1.500,11.0,0.0,2.5,9.8,4.00
22,,Joe Thatcher*,32,1,1,.500,8.53,16,0,2,0,0,0,6.1,13,6,6,0,1,0,2,2,0,0,35,45,3.92,2.211,18.5,0.0,1.4,2.8,2.00
23,,Nick Maronde*,24,0,0,,12.79,11,0,3,0,0,0,6.1,12,9,9,0,7,0,7,1,0,1,38,30,4.71,3.000,17.1,0.0,9.9,9.9,1.00
24,,Jairo Diaz,23,0,0,,3.18,5,0,2,0,0,0,5.2,4,2,2,0,3,0,8,0,0,0,24,123,1.90,1.235,6.4,0.0,4.8,12.7,2.67
25,,David Carpenter,26,0,0,,0.00,1,0,0,0,0,0,3.0,1,0,0,0,0,0,0,2,0,0,12,,5.13,0.333,3.0,0.0,0.0,0.0,
26,,Dane De La Rosa,31,0,0,,11.57,3,0,2,0,0,0,2.1,3,3,3,0,3,1,0,0,0,1,13,37,6.99,2.571,11.6,0.0,11.6,0.0,0.00
27,,Josh Wall,27,0,0,,54.00,2,0,1,0,0,0,1.0,5,6,6,0,3,0,0,0,0,0,11,10,12.13,8.000,45.0,0.0,27.0,0.0,0.00
