
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Miguel Montero*,30,136,560,489,40,119,23,0,13,72,0,4,56,97,.243,.329,.370,.699,94,181,12,9,0,6,11
2,1B,Paul Goldschmidt,26,109,479,406,75,122,39,1,19,69,9,3,64,110,.300,.396,.542,.938,157,220,10,2,0,3,10
3,2B,Aaron Hill,32,133,541,501,52,122,26,3,10,60,4,3,28,92,.244,.287,.367,.654,80,184,16,5,0,7,0
4,SS,Didi Gregorius*,24,80,299,270,35,61,9,5,6,27,3,0,22,52,.226,.290,.363,.653,80,98,1,3,2,2,3
5,3B,Martin Prado,30,106,436,403,44,109,17,4,5,42,2,1,23,57,.270,.317,.370,.686,90,149,17,6,0,4,0
6,LF,Mark Trumbo,28,88,362,328,37,77,15,1,14,61,2,3,28,89,.235,.293,.415,.707,94,136,8,1,0,5,3
7,CF,Ender Inciarte*,23,118,447,418,54,116,18,2,4,27,19,3,25,53,.278,.318,.359,.677,88,150,3,0,4,0,0
8,RF,Gerardo Parra*,27,104,440,406,51,105,18,3,6,30,5,5,24,72,.259,.305,.362,.667,85,147,6,4,4,2,3
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,OF,David Peralta*,26,88,348,329,40,94,12,9,8,36,6,3,16,60,.286,.320,.450,.770,111,148,9,1,1,1,0
10,MI,Chris Owings,22,91,332,310,34,81,15,6,6,26,8,1,16,67,.261,.300,.406,.706,94,126,4,2,2,2,0
11,CF,A.J. Pollock,26,75,287,265,41,80,19,6,7,24,14,3,19,46,.302,.353,.498,.851,133,132,4,2,1,0,0
12,LF,Cody Ross,33,83,219,202,15,51,8,0,2,15,0,0,15,44,.252,.306,.322,.628,75,65,3,1,0,1,0
13,MI,Cliff Pennington#,30,68,201,177,21,45,5,3,2,10,6,1,20,36,.254,.340,.350,.690,92,62,1,3,1,0,0
14,3B,Jake Lamb*,23,37,133,126,15,29,4,1,4,11,1,1,6,37,.230,.263,.373,.636,74,47,4,0,0,1,0
15,C,Tuffy Gosewisch,30,41,132,129,6,29,8,0,1,7,0,0,3,24,.225,.242,.310,.553,52,40,6,0,0,0,0
16,LF,Alfredo Marte,25,44,114,106,8,18,5,1,2,9,1,0,6,34,.170,.221,.292,.514,41,31,2,1,1,0,0
17,IF,Jordan Pacheco,28,47,85,81,6,22,4,0,0,8,0,0,3,12,.272,.298,.321,.619,72,26,3,0,1,0,0
18,UT,Eric Chavez*,36,44,81,69,6,17,3,1,3,8,2,0,11,19,.246,.346,.449,.795,119,31,2,0,0,1,0
19,SS,Nick Ahmed,24,25,75,70,9,14,2,0,1,4,0,1,3,10,.200,.233,.271,.504,40,19,2,0,2,0,0
20,OF,Tony Campana*,28,26,61,60,4,9,1,1,0,3,4,1,0,10,.150,.164,.200,.364,1,12,0,1,0,0,0
21,OF,Roger Kieschnick*,27,25,41,41,2,8,1,0,1,2,0,0,0,16,.195,.195,.293,.488,33,12,0,0,0,0,0
22,UT,Nick Evans,28,18,23,22,2,6,2,0,2,7,0,0,1,10,.273,.304,.636,.941,153,14,0,0,0,0,0
23,LF,Xavier Paul*,29,14,21,20,2,2,0,0,0,0,0,0,1,8,.100,.143,.100,.243,-31,2,0,0,0,0,1
24,LF,Nolan Reimold,30,7,18,17,2,5,1,0,1,4,0,0,0,10,.294,.278,.529,.807,118,9,0,0,0,1,0
25,3B,Andy Marte,30,6,16,16,1,3,0,0,1,3,0,0,0,3,.188,.188,.375,.563,51,6,0,0,0,0,0
26,OF,Brett Jackson*,25,7,5,4,0,0,0,0,0,0,0,0,1,1,.000,.200,.000,.200,-38,0,0,0,0,0,0
27,C,Bobby Wilson,31,2,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,40,1,0,0,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
28,P,Wade Miley*,27,33,69,57,3,9,0,0,0,1,0,0,3,14,.158,.200,.158,.358,1,9,0,0,9,0,0
29,P,Josh Collmenter,28,33,58,54,2,6,2,0,0,2,0,0,3,15,.111,.158,.148,.306,-14,8,1,0,1,0,0
30,P,Chase Anderson,26,22,41,34,0,1,0,0,0,0,0,0,0,14,.029,.057,.029,.087,-75,1,0,1,6,0,0
31,P,Brandon McCarthy,30,18,32,29,0,4,0,0,0,3,0,0,0,11,.138,.138,.138,.276,-23,4,0,0,3,0,0
32,P,Bronson Arroyo,37,15,31,27,5,6,0,0,0,0,0,0,0,12,.222,.222,.222,.444,24,6,0,0,4,0,0
33,P,Trevor Cahill,26,32,29,24,0,2,1,0,0,0,0,0,1,5,.083,.120,.125,.245,-32,3,0,0,4,0,0
34,P,Vidal Nuno*,26,14,25,18,2,1,0,0,0,0,0,0,0,8,.056,.105,.056,.161,-54,1,1,1,6,0,0
35,P,Mike Bolsinger,26,10,20,19,1,2,0,0,0,1,0,0,0,7,.105,.105,.105,.211,-41,2,0,0,1,0,0
36,P,Randall Delgado,24,47,11,9,0,1,0,0,0,0,0,0,0,4,.111,.111,.111,.222,-38,1,0,0,2,0,0
37,P,Zeke Spruill#,24,6,5,5,0,1,1,0,0,0,0,0,0,1,.200,.200,.400,.600,62,2,0,0,0,0,0
38,P,Eury De La Rosa*,24,25,3,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,1,0,0
39,P,Andrew Chafin,24,3,2,2,0,1,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,179,1,0,0,0,0,0
40,P,Ryan Rowland-Smith*,31,6,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
41,P,Bo Schultz,28,4,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
42,P,Brad Ziegler,34,68,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
43,P,Addison Reed*,25,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Joe Thatcher*,32,37,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Will Harris,29,29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Daniel Hudson,27,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Oliver Perez*,32,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,J.J. Putz,37,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Matt Stites*,24,37,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Bradin Hagens,25,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Evan Marshall,24,57,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
52,P,Joe Paterson,28,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,27.6,162,6089,5552,615,1379,259,47,118,573,86,33,398,1165,.248,.302,.376,.678,87,2086,115,43,56,36,31
,,Rank in 15 NL teams,,,,4,11,7,9,1,13,,10,6,14,2,9,11,9,10,,9,,11,,13,
,,Non-Pitcher Totals,27.6,162,5760,5269,602,1345,255,47,118,565,86,33,391,1069,.255,.310,.389,.698,93,2048,113,41,19,36,31
,,Pitcher Totals,27.8,162,329,283,13,34,4,0,0,8,0,0,7,96,.120,.147,.134,.282,-21,38,2,2,37,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
