
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Luis Avilan,24,62,0,0,43.1,15,5,10,0,2,1.000,,,2,10,3.12,0.24,,,5,1,17%,28%,0,P
Pedro Beato,27,3,0,0,4.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,1,0,0%,28%,0,P
Christian Bethancourt,22,31,29,29,260.1,234,216,15,3,1,.987,1,5,-1,-4,7.99,7.45,6,9,10,5,33%,28%,0,C
Emilio Bonifacio,29,32,28,25,254.1,84,69,14,1,4,.988,1,5,-2,-10,2.94,2.31,,,,,,,,CF-RF-2B-SS-LF-DH
Ryan Buchter,27,1,0,0,1.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
David Carpenter,28,65,0,0,61.0,11,5,5,1,0,.909,,,-1,-3,1.48,0.15,,,1,1,50%,28%,0,P
Jose Constanza,30,3,0,0,5.0,2,2,0,0,0,1.000,0,67,0,0,3.60,0.67,,,,,,,,LF-RF
Ryan Doumit,33,20,22,9,144.0,56,54,1,1,1,.982,0,2,0,0,3.44,2.20,0,1,7,0,0%,28%,0,LF-RF-C-DH
Gavin Floyd,31,9,9,0,54.1,13,3,9,1,1,.923,,,-1,-3,1.99,1.33,,,3,0,0%,28%,0,P
Freddie Freeman,24,162,162,159,1449.0,1392,1271,116,5,130,.996,-2,-1,-7,-6,8.61,8.56,,,,,,,,1B
Evan Gattis,27,94,92,81,799.0,777,723,49,5,2,.994,-6,-9,-4,-6,8.70,8.04,5,50,53,13,20%,28%,1,C-DH
Philip Gosselin,25,38,30,23,277.2,115,44,68,3,17,.974,4,18,4,18,3.63,2.55,,,,,,,,2B-3B-SS-LF
David Hale,26,45,6,0,87.1,21,7,14,0,2,1.000,,,-1,-2,2.16,0.47,,,13,3,19%,28%,0,P
Aaron Harang,36,33,33,0,204.1,35,8,27,0,1,1.000,,,-1,-1,1.54,1.06,,,19,5,21%,28%,2,P
Jason Heyward,24,149,148,142,1317.0,375,365,9,1,2,.997,30,28,32,29,2.56,2.51,,,,,,,,RF
Juan Jaime,26,16,0,0,12.1,1,0,1,0,0,1.000,,,0,0,0.73,0.06,,,1,0,0%,28%,0,P
Chris Johnson,29,150,149,137,1319.2,272,57,209,6,18,.978,-8,-8,-13,-12,1.81,1.75,,,,,,,,3B-1B-DH
Craig Kimbrel,26,63,0,0,61.2,10,4,6,0,0,1.000,,,0,0,1.46,0.16,,,5,1,17%,28%,0,P
Gerald Laird,34,48,42,38,377.2,369,339,28,2,4,.995,0,0,1,3,8.75,7.65,7,15,30,11,27%,28%,0,C
Tommy La Stella,25,88,87,60,721.2,368,146,216,6,54,.984,-15,-25,-4,-7,4.51,4.07,,,,,,,,2B-DH
Mike Minor,26,25,25,0,145.1,19,4,15,0,0,1.000,,,-4,-5,1.18,0.76,,,9,1,10%,28%,1,P
Tyler Pastornicky,24,10,10,5,73.0,30,11,18,1,5,.967,-3,-49,-3,-49,3.58,2.90,,,,,,,,2B
Ramiro Pena,28,67,29,27,347.0,157,65,85,7,22,.955,-3,-9,0,0,3.89,2.14,,,,,,,,2B-SS-3B
James Russell,28,22,1,0,24.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,1,0,0%,28%,0,P
Ervin Santana,31,31,31,0,196.0,38,17,20,1,1,.974,,,2,2,1.70,1.19,,,7,6,46%,28%,1,P
Jordan Schafer,27,30,14,12,162.0,42,42,0,0,0,1.000,1,5,-1,-8,2.33,1.31,,,,,,,,CF-LF-RF-DH
Gus Schlosser,25,15,0,0,17.2,5,1,3,1,0,.800,,,1,12,2.04,0.27,,,3,0,0%,28%,0,P
Chasen Shreve,23,15,0,0,12.1,3,0,3,0,0,1.000,,,0,0,2.19,0.20,,,1,1,50%,28%,1,P
Andrelton Simmons,24,146,144,137,1277.0,642,217,411,14,99,.978,13,12,28,26,4.43,4.30,,,,,,,,SS
Shae Simmons,23,26,0,0,21.2,1,0,1,0,0,1.000,,,0,0,0.42,0.04,,,0,0,,,0,P
Julio Teheran,23,33,33,4,221.0,48,16,32,0,2,1.000,,,5,5,1.95,1.45,,,14,5,26%,28%,6,P
Joey Terdoslavich,25,4,1,1,16.0,5,5,0,0,0,1.000,0,28,0,0,2.81,1.25,,,,,,,,RF-1B
Ian Thomas,27,16,0,0,10.2,4,3,1,0,0,1.000,,,-1,-17,3.38,0.25,,,1,0,0%,28%,1,P
Dan Uggla,34,35,33,31,301.2,162,58,95,9,19,.944,-1,-5,-2,-8,4.56,4.37,,,,,,,,2B
Melvin Upton,29,139,135,134,1218.1,345,329,9,7,3,.980,11,10,-7,-7,2.50,2.43,,,,,,,,CF
Justin Upton,26,151,151,136,1319.2,284,271,5,8,0,.972,14,13,0,0,1.88,1.83,,,,,,,,LF-DH
Anthony Varvaro,29,61,0,0,54.2,5,1,4,0,0,1.000,,,-2,-7,0.82,0.08,,,1,0,0%,28%,0,P
Jordan Walden,26,58,0,0,50.0,7,4,3,0,0,1.000,,,-1,-4,1.26,0.12,,,8,1,11%,28%,0,P
Alex Wood,23,35,24,1,171.2,30,3,25,2,2,.933,,,0,0,1.47,0.80,,,7,4,36%,28%,5,P
Team Totals,26.6,162,1458,1191,13095.0,5977,4365,1527,85,143,.986,37,3,,,4.05,2.89,18,75,100,29,22%,28%,18,
