
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Evan Gattis,27,108,401,369,41,97,17,1,22,52,0,0,22,97,.263,.317,.493,.810,123,182,9,8,0,2,3
2,1B,Freddie Freeman*,24,162,708,607,93,175,43,4,18,78,3,4,90,145,.288,.386,.461,.847,136,280,18,8,0,3,4
3,2B,Tommy La Stella*,25,93,360,319,22,80,16,1,1,31,2,1,36,40,.251,.328,.317,.644,82,101,8,1,3,1,2
4,SS,Andrelton Simmons,24,146,576,540,44,132,18,4,7,46,4,5,32,60,.244,.286,.331,.617,72,179,25,0,2,2,4
5,3B,Chris Johnson,29,153,611,582,43,153,27,0,10,58,6,0,23,159,.263,.292,.361,.653,82,210,23,2,2,2,2
6,LF,Justin Upton,26,154,641,566,77,153,34,2,29,102,8,4,60,171,.270,.342,.491,.833,130,278,10,6,0,8,1
7,CF,Melvin Upton,29,141,582,519,67,108,19,5,12,35,20,7,57,173,.208,.287,.333,.620,73,173,6,1,3,2,5
8,RF,Jason Heyward*,24,149,649,573,74,155,26,3,11,58,20,4,67,98,.271,.351,.384,.735,106,220,2,6,0,3,3
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,C,Gerald Laird,34,53,167,152,12,31,8,0,0,10,0,0,14,33,.204,.275,.257,.532,50,39,6,1,0,0,2
10,UT,Ryan Doumit#,33,100,166,157,11,31,4,0,5,17,1,0,7,49,.197,.235,.318,.553,53,50,1,1,0,1,1
11,MI,Ramiro Pena#,28,81,165,147,9,36,6,0,3,9,1,0,13,38,.245,.304,.347,.651,82,51,0,0,4,1,3
12,2B,Dan Uggla,34,48,145,130,13,21,3,0,2,10,0,0,10,40,.162,.241,.231,.472,33,30,3,4,0,1,0
13,IF,Philip Gosselin,25,46,136,128,17,34,4,0,1,3,2,2,5,27,.266,.304,.320,.624,75,41,1,2,1,0,0
14,CF,Emilio Bonifacio#,29,41,128,118,12,25,3,1,1,6,12,2,10,36,.212,.273,.280,.553,55,33,1,0,0,0,0
15,C,Christian Bethancourt,22,31,117,113,7,28,3,0,0,9,1,1,3,26,.248,.274,.274,.548,54,31,3,1,0,0,0
16,UT,Jordan Schafer*,27,63,93,80,9,13,4,0,0,2,15,2,10,20,.163,.256,.213,.468,33,17,1,0,3,0,1
17,2B,Tyler Pastornicky,24,28,47,40,4,8,0,1,0,2,0,1,6,11,.200,.304,.250,.554,58,10,0,0,1,0,0
18,UT,Joey Terdoslavich#,25,9,11,10,1,3,2,0,0,2,0,0,0,3,.300,.364,.500,.864,139,5,0,1,0,0,0
19,OF,Jose Constanza*,30,12,4,4,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
