
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Welington Castillo,27,110,417,380,28,90,19,0,13,46,0,0,26,102,.237,.296,.389,.686,90,148,7,7,2,2,0
2,1B,Anthony Rizzo*,24,140,616,524,89,150,28,1,32,78,5,4,73,116,.286,.386,.527,.913,153,276,8,15,0,4,7
3,2B,Darwin Barney,28,72,217,204,18,47,10,2,2,16,1,0,9,31,.230,.265,.328,.594,65,67,1,1,2,1,2
4,SS,Starlin Castro,24,134,569,528,58,154,33,1,14,65,4,4,35,100,.292,.339,.438,.777,116,231,18,4,0,2,4
5,3B,Luis Valbuena*,28,149,547,478,68,119,33,4,16,51,1,2,65,113,.249,.341,.435,.776,116,208,8,2,1,1,4
6,LF,Chris Coghlan*,29,125,432,385,50,109,28,5,9,41,7,4,39,81,.283,.352,.452,.804,123,174,5,3,3,2,2
7,CF,Arismendy Alcantara#,22,70,300,278,31,57,11,2,10,29,8,5,17,93,.205,.254,.367,.621,71,102,3,2,1,2,0
8,RF,Nate Schierholtz*,30,99,341,313,29,60,10,3,6,33,4,4,18,76,.192,.240,.300,.541,50,94,6,4,0,6,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,OF,Junior Lake,24,108,326,308,30,65,10,3,9,25,7,3,14,110,.211,.246,.351,.597,65,108,3,1,1,2,0
10,UT,Emilio Bonifacio#,29,69,298,276,35,77,14,3,2,18,14,6,16,49,.279,.318,.373,.692,93,103,1,0,6,0,2
11,3B,Mike Olt,25,89,258,225,23,36,8,0,12,33,0,1,25,100,.160,.248,.356,.604,67,80,3,3,0,5,0
12,OF,Justin Ruggiano,32,81,250,224,29,63,13,1,6,28,2,4,18,70,.281,.337,.429,.766,113,96,2,3,1,4,0
13,MI,Javier Baez,21,52,229,213,25,36,6,0,9,20,5,1,15,95,.169,.227,.324,.551,52,69,5,1,0,0,0
14,OF,Ryan Sweeney*,29,77,226,207,22,52,9,0,3,20,0,0,15,33,.251,.304,.338,.642,80,70,4,1,2,1,2
15,C,John Baker*,33,68,208,182,9,35,7,0,0,15,0,0,19,58,.192,.273,.231,.504,43,42,3,2,3,2,3
16,IF,Chris Valaika,28,44,131,121,10,28,4,0,3,13,1,0,7,35,.231,.282,.339,.621,73,41,5,2,0,1,1
17,OF,Ryan Kalish*,26,57,130,121,13,30,4,4,0,5,3,2,8,28,.248,.295,.347,.642,79,42,3,0,1,0,1
18,RF,Jorge Soler,22,24,97,89,11,26,8,1,5,20,1,0,6,24,.292,.330,.573,.903,147,51,3,0,0,2,0
19,2B,Logan Watkins*,24,31,68,65,10,16,3,0,1,6,1,0,1,16,.246,.269,.338,.607,69,22,0,1,1,0,1
20,UT,Matt Szczur,24,33,66,62,6,14,2,0,2,5,0,0,4,11,.226,.273,.355,.628,74,22,1,0,0,0,0
21,C,Eli Whiteside,34,8,26,25,0,3,1,0,0,2,1,0,0,8,.120,.115,.160,.275,-24,4,0,0,0,1,0
22,C,Rafael Lopez*,26,7,14,11,0,2,0,0,0,1,0,0,2,4,.182,.286,.182,.468,35,2,0,0,0,1,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
23,P,Travis Wood,27,41,66,56,9,13,2,0,3,10,0,0,1,17,.232,.271,.429,.700,92,24,1,2,7,0,0
24,P,Jake Arrieta,28,26,47,39,3,7,2,1,0,3,0,0,2,16,.179,.220,.282,.502,39,11,1,0,6,0,0
25,P,Edwin Jackson,30,29,44,40,2,7,2,0,0,0,0,0,0,21,.175,.175,.225,.400,11,9,0,0,4,0,0
26,P,Jason Hammel,31,17,39,35,2,5,0,0,0,3,0,0,1,14,.143,.167,.143,.310,-12,5,1,0,3,0,0
27,P,Jeff Samardzija,29,17,38,34,3,6,3,0,0,3,0,0,0,10,.176,.167,.265,.431,18,9,1,0,2,2,0
28,P,Kyle Hendricks,24,14,30,24,1,3,0,0,0,1,0,0,3,11,.125,.222,.125,.347,1,3,0,0,3,0,0
29,P,Tsuyoshi Wada*,33,13,24,20,0,1,0,0,0,0,0,0,1,10,.050,.095,.050,.145,-58,1,0,0,3,0,0
30,P,Carlos Villanueva,30,42,13,10,0,0,0,0,0,0,0,0,0,6,.000,.000,.000,.000,-100,0,1,0,3,0,0
31,P,Jacob Turner,23,8,10,10,0,1,0,0,0,0,0,0,0,7,.100,.100,.100,.200,-44,1,0,0,0,0,0
32,P,Felix Doubront*,26,4,8,7,0,1,0,0,0,0,0,0,1,5,.143,.250,.143,.393,14,1,0,0,0,0,0
33,P,Eric Jokisch,24,4,5,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,2,0,0
34,P,Dallas Beeler,25,2,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,41,1,0,0,0,0,0
35,P,Chris Rusin*,27,4,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
36,P,Justin Grimm,25,73,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
37,P,Dan Straily,25,7,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,56,0,0,0,0,0,0
38,P,Brian Schlitter,28,61,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,463,1,0,0,0,0,0
39,P,Neil Ramirez,25,50,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Wesley Wright,29,58,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,James Russell*,28,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Zac Rosscup,26,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Arodys Vizcaino,23,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Kyuji Fujikawa*,33,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Blake Parker,29,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Jose Veras,33,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Pedro Strop,29,65,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Hector Rondon,26,64,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,26.7,162,6102,5508,614,1315,270,31,157,590,65,40,442,1477,.239,.300,.385,.684,90,2118,94,54,57,41,29
,,Rank in 15 NL teams,,,,9,12,12,7,6,2,,12,10,10,15,12,13,7,9,,7,,7,,6,
,,Non-Pitcher Totals,26.7,162,5766,5219,594,1269,261,30,154,570,65,40,432,1353,.243,.305,.393,.698,94,2052,89,52,24,39,29
,,Pitcher Totals,28.2,162,336,289,20,46,9,1,3,20,0,0,10,124,.159,.191,.228,.420,17,66,5,2,33,2,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
