
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Jose Abreu,27,109,144,105,957.1,1045,970,69,6,105,.994,-2,-2,-11,-14,9.77,7.22,,,,,,,,1B-DH
Chris Bassitt,25,6,5,0,29.2,5,1,4,0,0,1.000,,,0,0,1.52,0.83,,,3,1,25%,26%,0,P
Gordon Beckham,27,100,100,98,883.2,524,202,312,10,74,.981,-3,-4,3,4,5.24,5.14,,,,,,,,2B
Ronald Belisario,31,62,0,0,66.1,11,2,9,0,0,1.000,,,-1,-3,1.49,0.18,,,5,0,0%,27%,0,P
Scott Carroll,29,26,19,0,129.1,19,8,11,0,1,1.000,,,0,0,1.32,0.73,,,7,4,36%,27%,0,P
Maikel Cleto,25,28,0,0,29.1,5,1,4,0,0,1.000,,,0,0,1.53,0.18,,,3,1,25%,26%,0,P
John Danks,29,32,32,0,193.2,29,4,24,1,0,.966,,,1,1,1.30,0.88,,,12,3,20%,27%,2,P
Jordan Danks,27,47,31,28,306.2,95,93,1,1,0,.989,1,5,-3,-12,2.76,1.88,,,,,,,,CF-LF-RF-DH
Alejandro De Aza,30,120,109,95,977.0,238,231,5,2,1,.992,-2,-2,-0,-0,2.17,1.84,,,,,,,,LF-CF-RF-DH
Scott Downs,38,38,0,0,23.2,4,1,2,1,0,.750,,,-1,-8,1.14,0.08,,,2,1,33%,27%,0,P
Adam Dunn,34,29,102,23,237.0,228,219,7,2,24,.991,-3,-17,-8,-41,8.58,2.15,,,0,0,,,0,1B-LF-RF-P-DH
Adam Eaton,25,123,121,111,1043.2,325,312,9,4,1,.988,4,4,12,14,2.77,2.65,,,,,,,,CF
Tyler Flowers,28,124,120,105,1052.0,941,863,70,8,6,.991,-4,-5,3,4,7.98,7.52,9,51,62,26,30%,27%,0,C
Frank Francisco,34,4,0,0,3.2,0,0,0,0,0,,,,-1,-49,0.00,0.00,,,4,0,0%,26%,0,P
Avisail Garcia,23,46,46,43,401.0,90,84,4,2,0,.978,-3,-10,-10,-30,1.98,1.91,,,,,,,,RF
Leury Garcia,23,53,34,27,341.0,121,48,67,6,17,.950,-6,-22,3,10,3.04,1.83,,,0,0,,,0,2B-3B-CF-SS-LF-RF-P-DH
Conor Gillaspie,26,127,120,114,1063.2,307,79,216,12,26,.961,-12,-14,-12,-14,2.50,2.32,,,,,,,,3B
Javy Guerra,28,42,0,0,46.1,10,6,3,1,0,.900,,,-2,-8,1.75,0.21,,,2,0,0%,26%,0,P
Erik Johnson,24,5,5,0,23.2,5,3,2,0,0,1.000,,,1,9,1.90,1.00,,,4,3,43%,27%,0,P
Nate Jones,28,2,0,0,0.0,0,0,0,0,0,,,,0,,,0.00,,,0,0,,,0,P
Paul Konerko,38,23,49,16,183.1,177,168,9,0,25,1.000,1,7,0,0,8.69,3.00,,,,,,,,1B-DH
Charles Leesman,27,1,1,0,2.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,1,100%,27%,0,P
Matt Lindstrom,34,35,0,0,34.0,6,1,4,1,1,.833,,,-4,-23,1.32,0.14,,,4,0,0%,26%,0,P
Adrian Nieto,24,46,32,29,299.2,216,201,14,1,0,.995,-5,-20,-5,-20,6.46,4.57,6,21,25,4,14%,27%,0,C-DH
Hector Noesi,27,28,27,1,166.0,27,5,21,1,4,.963,,,2,3,1.41,0.93,,,7,2,22%,27%,0,P
Felipe Paulino,30,4,4,0,18.1,1,1,0,0,0,1.000,,,-1,-10,0.49,0.25,,,3,0,0%,27%,0,P
Jake Petricka,26,67,0,0,73.0,13,6,7,0,1,1.000,,,1,3,1.60,0.19,,,2,4,67%,26%,1,P
