
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Jose Quintana*,25,9,11,.450,3.32,32,32,0,0,0,0,200.1,197,87,74,10,52,3,178,2,0,7,830,114,2.81,1.243,8.9,0.4,2.3,8.0,3.42
2,SP,John Danks*,29,11,11,.500,4.74,32,32,0,0,0,0,193.2,205,106,102,25,74,1,129,9,0,7,855,80,4.76,1.441,9.5,1.2,3.4,6.0,1.74
3,SP,Chris Sale*,25,12,4,.750,2.17,26,26,0,2,0,0,174.0,129,48,42,13,39,2,208,11,0,3,685,174,2.57,0.966,6.7,0.7,2.0,10.8,5.33
4,SP,Hector Noesi,27,8,11,.421,4.39,28,27,0,1,0,0,166.0,167,88,81,27,54,1,117,2,1,8,699,86,4.85,1.331,9.1,1.5,2.9,6.3,2.17
5,SP,Scott Carroll,29,5,10,.333,4.80,26,19,5,0,0,0,129.1,147,81,69,13,45,1,64,12,1,5,573,79,4.77,1.485,10.2,0.9,3.1,4.5,1.42
6,SP,Andre Rienzo,25,4,5,.444,6.82,18,11,3,0,0,0,64.2,82,54,49,12,33,0,51,5,1,6,312,56,5.73,1.778,11.4,1.7,4.6,7.1,1.55
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
7,CL,Jake Petricka,26,1,6,.143,2.96,67,0,33,0,0,14,73.0,67,24,24,3,33,4,55,2,0,2,307,128,3.60,1.370,8.3,0.4,4.1,6.8,1.67
8,RP,Daniel Webb,24,6,5,.545,3.99,57,0,26,0,0,0,67.2,59,31,30,6,42,5,58,2,0,13,296,95,4.52,1.493,7.8,0.8,5.6,7.7,1.38
9,RP,Ronald Belisario,31,4,8,.333,5.56,62,0,19,0,0,8,66.1,78,46,41,4,18,7,47,5,0,2,292,68,3.54,1.447,10.6,0.5,2.4,6.4,2.61
