
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Dylan Axelrod,28,5,4,0,18.1,4,1,3,0,0,1.000,,,0,0,1.96,0.80,,,2,0,0%,28%,0,P
Homer Bailey,28,23,23,1,145.2,30,13,17,0,2,1.000,,,2,3,1.85,1.30,,,4,4,50%,28%,1,P
Tucker Barnhart,23,20,14,12,132.0,124,110,14,0,2,1.000,1,9,4,37,8.45,6.20,3,9,4,8,67%,28%,0,C
Trevor Bell,27,2,0,0,0.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Roger Bernadina,30,27,12,8,125.0,33,33,0,0,0,1.000,-0,-1,1,10,2.38,1.06,,,,,,,,CF-RF-LF-1B
Jason Bourgeois,32,10,7,6,65.0,14,12,1,1,0,.929,-0,-4,3,54,1.80,1.18,,,,,,,,LF-CF-RF
Jonathan Broxton,30,51,0,0,48.1,12,2,10,0,1,1.000,,,1,5,2.23,0.24,,,3,0,0%,28%,0,P
Jay Bruce,27,133,131,128,1162.1,260,245,8,7,2,.973,3,3,-8,-8,1.96,1.89,,,,,,,,RF-1B
Aroldis Chapman,26,54,0,0,54.0,3,1,2,0,0,1.000,,,0,0,0.50,0.06,,,6,4,40%,28%,0,P
Nick Christiani,26,10,0,0,13.0,2,1,0,1,0,.500,,,0,0,0.69,0.10,,,2,0,0%,28%,0,P
Tony Cingrani,24,13,11,0,63.1,4,0,3,1,0,.750,,,0,0,0.43,0.23,,,2,1,33%,28%,2,P
Carlos Contreras,23,17,0,0,19.1,2,2,0,0,0,1.000,,,0,0,0.93,0.12,,,2,0,0%,28%,0,P
Daniel Corcino,23,5,3,0,18.2,7,4,3,0,0,1.000,,,1,12,3.38,1.40,,,0,1,100%,28%,0,P
Zack Cozart,28,147,143,138,1274.1,614,204,400,10,73,.984,15,14,19,18,4.27,4.11,,,,,,,,SS
Johnny Cueto,28,34,34,4,243.2,63,21,39,3,0,.952,,,6,5,2.22,1.76,,,6,6,50%,28%,4,P
Ryan Dennick,27,8,0,0,4.2,1,0,1,0,0,1.000,,,0,0,1.93,0.13,,,0,0,,,0,P
Jumbo Diaz,30,36,0,0,34.2,2,1,1,0,0,1.000,,,0,0,0.52,0.06,,,1,0,0%,28%,0,P
Jake Elmore,27,5,3,3,26.0,14,7,7,0,1,1.000,0,9,-1,-42,4.85,2.80,,,,,,,,SS-2B
Jeff Francis,33,1,1,0,5.0,1,0,1,0,0,1.000,,,0,0,1.80,1.00,,,0,0,,,0,P
Todd Frazier,28,156,155,141,1381.2,627,382,231,14,37,.978,7,6,8,7,3.99,3.67,,,,,,,,3B-1B
Billy Hamilton,23,144,136,130,1199.1,354,342,10,2,3,.994,14,14,14,14,2.64,2.43,,,,,,,,CF-DH
Jack Hannahan,34,13,9,6,74.2,65,58,6,1,7,.985,2,30,0,0,7.71,4.57,,,,,,,,1B-DH
Chris Heisey,29,77,55,43,544.0,131,131,0,0,0,1.000,11,24,8,18,2.17,1.58,,,,,,,,LF-CF-RF
David Holmberg,22,7,5,0,30.0,7,2,5,0,1,1.000,,,-1,-6,2.10,1.00,,,1,1,50%,28%,0,P
J.J. Hoover,26,54,0,0,62.2,7,5,2,0,0,1.000,,,-2,-6,1.01,0.13,,,0,1,100%,28%,0,P
Mat Latos,26,16,16,0,102.1,22,10,12,0,1,1.000,,,0,0,1.93,1.38,,,7,2,22%,28%,0,P
Mike Leake,26,33,33,0,214.1,60,26,30,4,1,.933,,,3,3,2.35,1.70,,,12,4,25%,28%,2,P
Sam LeCure,30,62,0,0,56.2,5,3,2,0,0,1.000,,,0,0,0.79,0.08,,,6,2,25%,28%,0,P
Ryan Ludwick,35,92,96,52,751.2,136,135,1,0,0,1.000,3,5,-6,-10,1.63,1.40,,,,,,,,LF-DH
Donald Lutz,25,12,11,8,82.2,52,47,4,1,4,.981,-0,-2,0,0,5.55,3.92,,,,,,,,1B-LF-RF-DH
Sean Marshall,31,15,0,0,14.0,7,1,6,0,1,1.000,,,1,16,4.50,0.47,,,0,0,,,0,P
Devin Mesoraco,26,109,105,99,936.2,890,832,55,3,5,.997,3,4,2,3,8.52,8.06,9,26,51,18,26%,28%,0,C-DH
Kristopher Negron,28,42,36,30,328.1,139,45,93,1,13,.993,3,10,6,22,3.78,3.07,,,,,,,,3B-2B-SS-LF
Logan Ondrusek,29,40,0,0,41.0,7,5,2,0,0,1.000,,,-1,-4,1.54,0.18,,,0,1,100%,28%,0,P
Manny Parra,31,53,0,0,36.2,11,5,6,0,1,1.000,,,1,6,2.70,0.21,,,1,2,67%,28%,0,P
Curtis Partch,27,6,0,0,7.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,1,0,0%,28%,0,P
Brayan Pena,32,95,90,73,774.0,772,726,43,3,38,.996,4,6,-1,-1,8.94,7.69,1,10,16,12,43%,28%,0,1B-C-DH
Brandon Phillips,33,121,121,109,1054.1,525,216,307,2,68,.996,0,0,6,7,4.46,4.32,,,,,,,,2B
Yorman Rodriguez,21,8,7,6,60.0,12,12,0,0,0,1.000,2,44,-0,-2,1.80,1.50,,,,,,,,RF-LF-CF
Ramon Santiago,34,63,49,38,468.1,199,64,130,5,18,.975,3,8,-2,-5,3.73,2.81,,,,,,,,3B-SS-2B-LF
Skip Schumaker,34,67,61,50,549.2,145,99,42,4,8,.972,-6,-14,-7,-16,2.31,1.91,,,0,0,,,0,LF-2B-RF-CF-P
Alfredo Simon,33,32,32,0,196.1,43,15,26,2,0,.953,,,4,4,1.88,1.28,,,15,8,35%,28%,1,P
Neftali Soto,25,9,4,2,40.0,23,21,2,0,0,1.000,0,1,1,30,5.18,2.30,,,,,,,,1B-3B-DH
Pedro Villarreal,26,12,0,0,14.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,1,100%,28%,0,P
Joey Votto,30,61,61,58,539.0,569,499,63,7,39,.988,-2,-5,5,11,9.38,9.21,,,,,,,,1B
Team Totals,28.8,162,1458,1145,13014.0,5998,4338,1588,72,120,.988,61,6,,,4.10,2.92,13,45,71,38,35%,28%,10,
Rank in 15 NL teams,,,,,,,,,1,,1,,,,,,,,,,,,,,
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
