
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Devin Mesoraco,26,114,440,384,54,105,25,0,25,80,1,3,41,103,.273,.359,.534,.893,148,205,5,12,0,3,4
2,1B,Joey Votto*,30,62,272,220,32,56,16,0,6,23,1,1,47,49,.255,.390,.409,.799,126,90,5,3,0,2,2
3,2B,Brandon Phillips,33,121,499,462,44,123,25,0,8,51,2,3,23,74,.266,.306,.372,.678,90,172,13,6,2,6,1
4,SS,Zack Cozart,28,147,543,506,48,112,18,5,4,38,7,0,25,79,.221,.268,.300,.568,60,152,13,7,5,0,3
5,3B,Todd Frazier,28,157,660,597,88,163,22,1,29,80,20,8,52,139,.273,.336,.459,.795,122,274,9,7,0,4,2
6,LF,Ryan Ludwick,35,112,400,357,28,87,20,0,9,45,0,2,31,94,.244,.308,.375,.683,92,134,6,4,1,4,1
7,CF,Billy Hamilton#,23,152,611,563,72,141,25,8,6,48,56,23,34,117,.250,.292,.355,.648,82,200,1,1,9,4,0
8,RF,Jay Bruce*,27,137,545,493,71,107,21,1,18,66,12,3,44,149,.217,.281,.373,.654,83,184,8,2,1,5,5
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,UT,Brayan Pena#,32,115,372,348,23,88,18,1,5,26,2,3,20,42,.253,.291,.353,.645,81,123,8,0,1,3,2
10,LF,Chris Heisey,29,119,299,275,34,61,15,2,8,22,9,2,15,64,.222,.265,.378,.643,79,104,3,2,5,2,0
11,LF,Skip Schumaker*,34,83,271,247,22,58,12,0,2,22,2,1,18,50,.235,.287,.308,.595,68,76,3,1,3,2,0
12,IF,Ramon Santiago#,34,75,214,179,20,44,8,0,2,17,2,1,24,38,.246,.343,.324,.667,90,58,1,3,7,1,0
13,IF,Kristopher Negron,28,49,158,144,19,39,10,1,6,17,5,0,12,40,.271,.331,.479,.810,126,69,2,1,1,0,0
14,UT,Roger Bernadina*,30,44,71,59,3,9,3,0,0,5,2,1,10,16,.153,.286,.203,.489,41,12,2,1,1,0,0
15,C,Tucker Barnhart#,23,21,60,54,3,10,0,0,1,1,0,0,4,10,.185,.241,.241,.482,37,13,0,0,2,0,1
16,UT,Donald Lutz*,25,28,54,51,2,9,4,0,0,1,0,0,3,19,.176,.222,.255,.477,34,13,0,0,0,0,1
17,UT,Jack Hannahan*,34,26,50,48,3,9,3,0,0,2,0,0,2,17,.188,.220,.250,.470,32,12,2,0,0,0,0
18,OF,Jason Bourgeois,32,18,34,33,5,8,0,1,0,1,0,0,1,6,.242,.265,.303,.568,60,10,1,0,0,0,0
19,UT,Neftali Soto,25,21,31,30,1,3,1,0,0,1,1,0,0,8,.100,.097,.133,.230,-36,4,2,0,0,1,0
20,OF,Yorman Rodriguez,21,11,29,27,3,6,0,0,0,2,0,1,1,12,.222,.276,.222,.498,43,6,0,1,0,0,0
21,MI,Jake Elmore,27,5,12,11,0,2,0,0,0,0,0,0,1,4,.182,.250,.182,.432,25,2,0,0,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
22,P,Johnny Cueto,28,34,82,68,3,9,0,0,0,3,0,0,2,20,.132,.157,.132,.289,-17,9,1,0,12,0,0
23,P,Mike Leake,26,40,74,68,9,12,5,0,2,5,0,0,0,34,.176,.188,.338,.527,45,23,1,1,5,0,0
24,P,Alfredo Simon,33,32,67,59,2,7,3,0,0,2,0,0,1,21,.119,.133,.169,.303,-15,10,0,0,7,0,0
25,P,Homer Bailey,28,23,51,41,3,6,0,0,0,3,0,0,2,18,.146,.186,.146,.332,-4,6,1,0,8,0,0
26,P,Mat Latos,26,16,32,30,2,3,0,0,0,1,0,0,1,12,.100,.129,.100,.229,-34,3,1,0,1,0,0
27,P,Tony Cingrani*,24,13,22,21,0,3,0,0,0,0,0,0,0,5,.143,.143,.143,.286,-19,3,0,0,1,0,0
28,P,David Holmberg,22,7,7,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,2,0,0
29,P,Daniel Corcino,23,5,5,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,89,1,0,0,2,0,0
30,P,Dylan Axelrod,28,5,4,4,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0
31,P,Logan Ondrusek,29,40,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0
32,P,Pedro Villarreal,26,12,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,184,1,0,0,0,0,0
33,P,J.J. Hoover,26,54,1,0,1,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,0,0,0
34,P,Jeff Francis*,33,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
35,P,Nick Christiani,26,10,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
36,P,Carlos Contreras,23,17,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
37,P,Ryan Dennick*,27,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Jumbo Diaz,30,36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Sam LeCure,30,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Aroldis Chapman*,26,54,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Trevor Bell*,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Curtis Partch,27,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Sean Marshall*,31,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Manny Parra*,31,53,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Jonathan Broxton,30,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,29.1,162,5978,5395,595,1282,254,20,131,562,122,52,415,1252,.238,.296,.365,.661,86,1969,88,52,76,37,22
,,Rank in 15 NL teams,,,,14,13,14,11,14,8,,2,15,13,7,14,14,11,14,,13,,9,,10,
,,Non-Pitcher Totals,29.1,162,5625,5088,575,1240,246,20,129,548,122,52,408,1130,.244,.304,.376,.680,91,1913,84,51,38,37,22
