
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Austin Adams,27,6,0,0,7.0,3,1,2,0,0,1.000,,,0,0,3.86,0.50,,,0,0,,,0,P
Jesus Aguilar,24,13,11,4,74.0,77,71,4,2,4,.974,0,3,-1,-16,9.12,4.17,,,,,,,,1B-3B-DH
Cody Allen,25,76,0,0,69.2,4,2,2,0,0,1.000,,,0,0,0.52,0.05,,,4,1,20%,27%,0,P
Scott Atchison,38,70,0,0,72.0,19,5,13,1,1,.947,,,1,3,2.25,0.26,,,4,2,33%,26%,0,P
Mike Aviles,33,109,88,69,836.2,303,122,173,8,28,.974,1,1,-1,-1,3.17,2.52,,,,,,,,2B-3B-LF-SS-RF-CF
John Axford,31,49,0,0,43.2,4,0,4,0,0,1.000,,,0,0,0.82,0.08,,,6,0,0%,26%,0,P
Trevor Bauer,23,26,26,0,153.0,22,9,12,1,4,.955,,,-1,-1,1.24,0.81,,,19,7,27%,27%,2,P
Michael Bourn,31,105,104,96,925.2,242,235,5,2,1,.992,-6,-8,-6,-8,2.33,2.29,,,,,,,,CF
Michael Brantley,27,147,154,132,1304.1,284,271,12,1,2,.996,-19,-18,-3,-3,1.95,1.76,,,,,,,,LF-CF-DH
Asdrubal Cabrera,28,92,94,89,820.2,383,115,254,14,57,.963,5,7,-7,-10,4.05,3.88,,,,,,,,SS-DH
Carlos Carrasco,27,40,14,1,134.0,26,10,14,2,2,.923,,,1,2,1.61,0.60,,,9,4,31%,27%,1,P
Lonnie Chisenhall,25,122,127,103,1031.0,313,112,183,18,14,.942,-16,-19,-16,-19,2.58,2.09,,,,,,,,3B-1B-DH
Kyle Crockett,22,44,0,0,30.0,3,2,1,0,0,1.000,,,-2,-13,0.90,0.07,,,1,0,0%,27%,0,P
Chris Dickerson,32,34,27,18,235.1,55,50,3,2,0,.964,1,4,0,0,2.03,1.33,,,,,,,,LF-RF-CF-DH
Jason Giambi,43,20,18,,,,,,,,,,,,,,0.00,,,,,,,,DH
Chris Gimenez,31,8,3,2,30.1,20,18,2,0,4,1.000,-1,-57,0,0,5.93,2.50,0,2,0,0,,,0,1B-C-3B
Yan Gomes,26,126,129,112,1082.0,1139,1052,73,14,9,.988,2,2,2,2,9.36,8.40,6,39,66,31,32%,27%,2,C-DH
Nick Hagadone,28,35,0,0,23.1,3,0,3,0,0,1.000,,,0,0,1.16,0.09,,,2,1,33%,27%,1,P
Tyler Holt,25,35,17,10,189.1,43,43,0,0,0,1.000,4,25,4,25,2.04,1.13,,,,,,,,RF-CF-LF
T.J. House,24,19,18,0,102.0,20,4,14,2,1,.900,,,-2,-4,1.59,0.95,,,6,2,25%,27%,2,P
Elliot Johnson,30,6,5,4,45.0,18,9,7,2,2,.889,-2,-63,-1,-27,3.20,2.67,,,,,,,,RF-2B-3B
Jason Kipnis,27,123,126,113,1075.0,534,181,347,6,63,.989,6,7,-11,-12,4.42,4.13,,,,,,,,2B-DH
Corey Kluber,28,34,34,3,235.2,31,14,17,0,1,1.000,,,0,0,1.18,0.91,,,8,9,53%,27%,0,P
George Kottaras,31,9,6,6,59.0,64,61,3,0,1,1.000,-1,-20,-1,-18,9.76,7.11,0,3,7,1,13%,27%,0,C
C.C. Lee,27,37,0,0,28.0,8,3,4,1,0,.875,,,0,0,2.25,0.19,,,5,3,38%,27%,0,P
Mark Lowe,31,7,0,0,7.0,1,0,0,1,0,.000,,,-1,-26,0.00,0.00,,,1,1,50%,26%,0,P
Justin Masterson,29,19,19,0,98.0,25,4,20,1,5,.960,,,3,6,2.20,1.26,,,1,2,67%,27%,0,P
Zach McAllister,26,22,15,0,86.0,10,5,3,2,0,.800,,,-4,-9,0.84,0.36,,,9,3,25%,27%,0,P
Nyjer Morgan,33,14,12,9,103.0,23,23,0,0,0,1.000,-4,-50,-5,-59,2.01,1.64,,,,,,,,CF-LF
David Murphy,32,122,113,101,1002.0,214,205,6,3,1,.986,-3,-4,-17,-20,1.90,1.70,,,,,,,,RF-LF-DH
Josh Outman,29,31,0,0,24.2,6,2,4,0,0,1.000,,,1,9,2.19,0.19,,,1,0,0%,27%,0,P
Roberto Perez,25,29,25,20,232.1,244,217,24,3,2,.988,1,5,6,32,9.34,8.31,1,7,14,8,36%,27%,1,C
Vinnie Pestano,29,13,0,0,9.0,2,1,1,0,0,1.000,,,0,0,2.00,0.15,,,0,1,100%,27%,0,P
Bryan Price,27,3,0,0,2.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Ryan Raburn,33,44,52,16,282.1,52,45,5,2,1,.962,-9,-36,-3,-13,1.59,0.69,,,,,,,,RF-LF-1B-DH
Jose Ramirez,21,67,61,58,571.2,273,90,179,4,40,.985,-0,-1,6,13,4.23,3.96,,,,,,,,SS-2B-DH
Marc Rzepczynski,28,73,0,0,46.0,9,3,5,1,0,.889,,,-3,-13,1.57,0.11,,,2,1,33%,27%,1,P
Danny Salazar,24,20,20,1,110.0,9,3,6,0,1,1.000,,,1,2,0.74,0.45,,,3,2,40%,27%,1,P
Carlos Santana,28,129,151,121,1169.2,1081,961,109,11,75,.990,1,1,-8,-8,8.23,6.99,2,5,8,4,33%,27%,0,1B-3B-C-DH
