
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Yan Gomes,26,135,518,485,61,135,25,3,21,74,0,0,24,120,.278,.313,.472,.785,119,229,13,3,0,6,3
2,1B,Carlos Santana#,28,152,660,541,68,125,25,0,27,85,5,2,113,124,.231,.365,.427,.792,124,231,13,3,0,3,5
3,2B,Jason Kipnis*,27,129,555,500,61,120,25,1,6,41,22,3,50,100,.240,.310,.330,.640,82,165,15,2,1,2,2
4,SS,Asdrubal Cabrera#,28,97,416,378,54,93,22,2,9,40,7,2,27,79,.246,.305,.386,.692,95,146,11,7,0,4,1
5,3B,Lonnie Chisenhall*,25,142,533,478,62,134,29,1,13,59,3,1,39,99,.280,.343,.427,.770,117,204,8,8,4,3,3
6,LF,Michael Brantley*,27,156,676,611,94,200,45,2,20,97,23,1,52,56,.327,.385,.506,.890,151,309,16,8,0,5,4
7,CF,Michael Bourn*,31,106,487,444,57,114,17,10,3,28,10,6,35,114,.257,.314,.360,.674,91,160,5,3,3,2,1
8,RF,David Murphy*,32,129,462,416,40,109,25,1,8,58,2,3,36,61,.262,.319,.385,.703,99,160,6,2,1,7,2
9,DH,Nick Swisher#,33,97,401,360,33,75,20,0,8,42,0,0,36,111,.208,.278,.331,.608,72,119,7,0,1,4,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
10,UT,Mike Aviles,33,113,374,344,38,85,16,1,5,39,14,5,13,49,.247,.273,.343,.616,74,118,10,1,11,5,0
11,SS,Jose Ramirez#,21,68,266,237,27,62,10,2,2,17,10,1,13,35,.262,.300,.346,.646,83,82,3,1,13,2,0
12,UT,Ryan Raburn,33,74,212,195,18,39,7,0,4,22,0,0,13,51,.200,.250,.297,.547,55,58,8,1,0,3,1
13,UT,Chris Dickerson*,32,41,112,98,12,22,4,0,2,6,3,0,12,38,.224,.309,.327,.636,81,32,2,0,2,0,0
14,C,Roberto Perez,25,29,95,85,10,23,5,0,1,4,0,0,5,26,.271,.311,.365,.676,91,31,2,0,5,0,0
15,DH,Zach Walters#,24,30,94,88,9,15,2,0,7,12,0,0,5,32,.170,.223,.432,.655,81,38,0,1,0,0,0
16,RF,Tyler Holt,25,36,76,71,4,19,2,0,0,2,2,2,3,25,.268,.307,.296,.602,72,21,1,1,1,0,0
17,DH,Jason Giambi*,43,26,70,60,3,8,2,0,2,5,0,0,9,12,.133,.257,.267,.524,49,16,3,1,0,0,2
