
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Corey Kluber,28,18,9,.667,2.44,34,34,0,3,1,0,235.2,207,72,64,14,51,3,269,6,0,3,951,157,2.35,1.095,7.9,0.5,1.9,10.3,5.27
2,SP,Trevor Bauer,23,5,8,.385,4.18,26,26,0,0,0,0,153.0,151,76,71,16,60,4,143,11,0,6,663,92,4.01,1.379,8.9,0.9,3.5,8.4,2.38
3,SP,Danny Salazar,24,6,8,.429,4.25,20,20,0,1,1,0,110.0,117,57,52,13,35,4,120,3,0,3,474,90,3.52,1.382,9.6,1.1,2.9,9.8,3.43
4,SP,Josh Tomlin,29,6,9,.400,4.76,25,16,6,1,1,0,104.0,120,66,55,18,14,3,94,1,0,6,446,81,4.01,1.288,10.4,1.6,1.2,8.1,6.71
5,SP,T.J. House*,24,5,3,.625,3.35,19,18,1,0,0,0,102.0,113,41,38,10,22,1,80,7,0,1,429,114,3.69,1.324,10.0,0.9,1.9,7.1,3.64
6,SP,Justin Masterson,29,4,6,.400,5.51,19,19,0,0,0,0,98.0,106,66,60,6,56,2,93,11,0,9,452,70,4.08,1.653,9.7,0.6,5.1,8.5,1.66
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
7,CL,Cody Allen,25,6,4,.600,2.07,76,0,44,0,0,24,69.2,48,21,16,7,26,5,91,1,0,4,279,186,2.99,1.062,6.2,0.9,3.4,11.8,3.50
8,RP,Bryan Shaw,26,5,5,.500,2.59,80,0,16,0,0,2,76.1,61,26,22,6,22,4,64,2,1,4,313,148,3.42,1.087,7.2,0.7,2.6,7.5,2.91
9,RP,Scott Atchison,38,6,0,1.000,2.75,70,0,11,0,0,2,72.0,60,24,22,4,14,4,49,0,0,1,280,140,3.08,1.028,7.5,0.5,1.8,6.1,3.50
10,RP,Marc Rzepczynski*,28,0,3,.000,2.74,73,0,8,0,0,1,46.0,42,19,14,1,19,3,46,3,0,2,196,141,2.85,1.326,8.2,0.2,3.7,9.0,2.42
11,RP,John Axford,31,2,3,.400,3.92,49,0,24,0,0,10,43.2,34,21,19,6,30,3,51,1,0,4,196,98,4.71,1.466,7.0,1.2,6.2,10.5,1.70
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
12,,Carlos Carrasco,27,8,7,.533,2.55,40,14,12,1,1,1,134.0,103,40,38,7,29,1,140,3,0,4,529,150,2.44,0.985,6.9,0.5,1.9,9.4,4.83
13,,Zach McAllister,26,4,7,.364,5.23,22,15,2,0,0,0,86.0,96,54,50,7,28,1,74,0,0,3,377,73,3.45,1.442,10.0,0.7,2.9,7.7,2.64
14,,Kyle Crockett*,22,4,1,.800,1.80,43,0,7,0,0,0,30.0,26,6,6,2,8,2,28,3,1,0,122,215,3.23,1.133,7.8,0.6,2.4,8.4,3.50
15,,C.C. Lee,27,1,1,.500,4.50,37,0,6,0,0,0,28.0,30,15,14,3,12,1,26,3,0,3,127,86,4.27,1.500,9.6,1.0,3.9,8.4,2.17
16,,Josh Outman*,29,4,0,1.000,3.28,31,0,6,0,0,0,24.2,22,10,9,4,16,2,24,0,0,1,110,118,5.24,1.541,8.0,1.5,5.8,8.8,1.50
17,,Nick Hagadone*,28,1,0,1.000,2.70,35,0,4,0,0,0,23.1,18,7,7,3,6,2,27,0,0,0,91,144,3.26,1.029,6.9,1.2,2.3,10.4,4.50
18,,Vinnie Pestano,29,0,1,.000,5.00,13,0,2,0,0,0,9.0,13,7,5,2,1,0,13,0,0,1,40,80,3.47,1.556,13.0,2.0,1.0,13.0,13.00
19,,Austin Adams,27,0,0,,9.00,6,0,1,0,0,0,7.0,9,7,7,1,1,0,4,0,0,0,30,45,4.27,1.429,11.6,1.3,1.3,5.1,4.00
20,,Mark Lowe,31,0,1,.000,3.86,7,0,1,0,0,0,7.0,10,7,3,2,6,4,6,0,0,1,39,105,7.70,2.286,12.9,2.6,7.7,7.7,1.00
21,,Blake Wood,28,0,1,.000,7.11,7,0,3,0,0,0,6.1,4,5,5,0,7,2,7,1,0,0,30,57,4.71,1.737,5.7,0.0,9.9,9.9,1.00
22,,Bryan Price,27,0,0,,20.25,3,0,2,0,0,0,2.2,8,6,6,3,1,0,1,2,0,0,19,22,20.38,3.375,27.0,10.1,3.4,3.4,1.00
,,Team Totals,27.1,85,77,.525,3.56,162,162,156,6,4,40,1468.1,1398,653,581,135,464,51,1450,58,2,56,6193,108,3.42,1.268,8.6,0.8,2.8,8.9,3.13
,,Rank in 15 AL teams,,7,9,,5,,,,3,4,8,2,8,7,6,4,7,,1,,,,,,,,,,,,
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
