
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Al Alburquerque,28,72,0,0,57.1,9,4,5,0,1,1.000,,,-2,-7,1.41,0.13,,,8,3,27%,27%,0,P
Alex Avila,27,123,116,98,1018.2,940,883,52,5,9,.995,9,11,5,6,8.26,7.54,3,23,71,36,34%,27%,0,C-1B-DH
Miguel Cabrera,31,133,158,107,1152.2,1101,984,111,6,102,.995,5,5,-2,-2,8.55,6.80,,,,,,,,1B-3B-DH
Ezequiel Carrera,27,39,13,13,160.1,52,51,1,0,0,1.000,-0,-3,-0,-1,2.92,1.30,,,,,,,,CF-LF-DH
Nick Castellanos,22,145,141,109,1229.0,302,75,212,15,22,.950,-28,-27,-30,-29,2.10,1.98,,,,,,,,3B
Joba Chamberlain,28,69,0,0,63.0,11,8,3,0,0,1.000,,,-2,-6,1.57,0.16,,,7,2,22%,27%,0,P
Phil Coke,31,62,0,0,58.0,6,1,5,0,0,1.000,,,-2,-7,0.93,0.10,,,5,2,29%,27%,1,P
Tyler Collins,24,11,4,3,42.0,14,14,0,0,0,1.000,0,1,1,29,3.00,1.17,,,,,,,,LF-RF-CF-DH
Rajai Davis,33,125,118,89,1058.0,288,277,6,5,1,.983,-18,-21,-11,-13,2.41,1.91,,,,,,,,LF-CF-DH
Buck Farmer,23,4,2,0,9.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Alex Gonzalez,37,9,8,7,73.1,31,7,21,3,5,.903,-1,-24,-4,-64,3.44,2.80,,,,,,,,SS-3B
Blaine Hardy,27,38,0,0,39.0,14,5,9,0,0,1.000,,,2,11,3.23,0.37,,,0,0,,,1,P
Bryan Holaday,26,58,42,35,395.1,363,333,23,7,2,.981,-1,-3,-2,-6,8.10,5.93,4,17,33,14,30%,27%,2,C-DH
Torii Hunter,38,128,135,110,1114.0,228,218,5,5,1,.978,-16,-17,-18,-19,1.80,1.65,,,,,,,,RF-DH
Austin Jackson,27,100,97,96,869.0,253,247,2,4,1,.984,-23,-31,-4,-6,2.58,2.49,,,,,,,,CF
Jim Johnson,31,16,0,0,13.0,5,2,3,0,0,1.000,,,0,0,3.46,0.31,,,5,0,0%,27%,0,P
Don Kelly,34,89,36,27,411.1,170,130,38,2,13,.988,-3,-9,-2,-6,3.68,1.71,,,,,,,,3B-1B-RF-LF-CF-2B-DH
Ian Kinsler,32,160,160,142,1414.0,766,290,467,9,101,.988,14,12,20,17,4.82,4.73,,,,,,,,2B
Corey Knebel,22,8,0,0,8.2,3,1,2,0,0,1.000,,,1,25,3.12,0.38,,,1,1,50%,26%,0,P
Ian Krol,23,45,0,0,32.2,8,4,4,0,1,1.000,,,2,13,2.20,0.18,,,0,1,100%,27%,1,P
Kyle Lobstein,24,7,6,0,39.1,5,2,3,0,0,1.000,,,-2,-10,1.14,0.71,,,2,1,33%,27%,0,P
J.D. Martinez,26,111,112,75,931.2,203,198,1,4,0,.980,-4,-5,-1,-1,1.92,1.63,,,,,,,,LF-RF-DH
Victor Martinez,35,36,150,29,301.1,297,274,18,5,24,.983,-9,-37,-4,-16,8.72,1.92,1,2,3,1,25%,26%,0,1B-C-DH
James McCann,24,6,2,2,24.0,23,22,1,0,0,1.000,-1,-50,-1,-45,8.62,2.56,0,1,4,0,0%,26%,0,C-DH
Pat McCoy,25,14,0,0,14.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Melvin Mercedes,23,1,0,0,2.0,1,0,1,0,0,1.000,,,0,0,4.50,1.00,,,0,0,,,0,P
Justin Miller,27,8,0,0,12.1,2,0,2,0,0,1.000,,,0,0,1.46,0.25,,,2,0,0%,26%,0,P
Steven Moya,22,5,0,0,5.0,0,0,0,0,0,,-0,-34,0,0,0.00,0.00,,,,,,,,RF-DH
Joe Nathan,39,62,0,0,58.0,12,6,6,0,0,1.000,,,0,0,1.86,0.19,,,10,1,9%,27%,1,P
Jose Ortega,25,1,0,0,1.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,1,1,50%,26%,0,P
Hernan Perez,23,8,1,0,13.2,5,3,2,0,1,1.000,-0,-2,0,0,3.29,0.63,,,,,,,,SS-2B-3B
Rick Porcello,25,32,31,3,204.2,39,18,17,4,2,.897,,,0,0,1.54,1.09,,,7,7,50%,27%,0,P
David Price,28,11,11,1,77.2,4,1,3,0,0,1.000,,,-1,-2,0.46,0.36,,,4,1,20%,27%,0,P
Luke Putkonen,28,2,0,0,2.2,1,1,0,0,0,1.000,,,0,0,3.38,0.50,,,1,0,0%,27%,0,P
Robbie Ray,22,9,6,0,28.2,8,2,6,0,1,1.000,,,2,15,2.51,0.89,,,3,3,50%,26%,2,P
Evan Reed,28,32,0,0,32.1,6,3,2,1,0,.833,,,0,0,1.39,0.16,,,5,2,29%,27%,0,P
Andrew Romine,28,92,72,59,676.2,337,118,211,8,48,.976,-2,-3,-3,-5,4.38,3.39,,,0,0,,,0,SS-2B-P-DH
Kyle Ryan,22,6,1,0,10.1,3,2,1,0,0,1.000,,,0,0,2.61,0.50,,,0,0,,,0,P
Anibal Sanchez,30,22,21,0,126.0,29,11,18,0,2,1.000,,,-1,-1,2.07,1.32,,,13,3,19%,27%,1,P
Max Scherzer,29,33,33,1,220.1,27,9,17,1,2,.963,,,-4,-4,1.06,0.79,,,13,10,43%,27%,0,P
Chad Smith,24,10,0,0,11.2,2,0,2,0,1,1.000,,,0,0,1.54,0.20,,,0,0,,,0,P
Drew Smyly,25,21,18,0,105.1,17,4,13,0,1,1.000,,,0,0,1.45,0.81,,,11,6,35%,27%,5,P
Joakim Soria,30,13,0,0,11.0,1,0,1,0,0,1.000,,,0,0,0.82,0.08,,,0,1,100%,27%,1,P
Eugenio Suarez,22,83,71,63,631.1,314,114,190,10,49,.968,-3,-5,-4,-7,4.33,3.62,,,,,,,,SS-3B-DH
Drew VerHagen,23,1,1,0,5.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,2,100%,26%,0,P
Justin Verlander,31,32,32,0,206.0,39,10,23,6,2,.846,,,0,0,1.44,1.03,,,13,4,24%,27%,0,P
Kevin Whelan,30,1,0,0,1.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Danny Worth,28,17,12,10,113.2,62,30,31,1,14,.984,1,12,2,22,4.83,3.21,,,0,0,,,0,SS-2B-P-1B
Team Totals,29.0,162,1458,1079,13086.0,6001,4362,1538,101,153,.983,-84,-8,,,4.06,2.77,8,43,111,51,31%,27%,15,
Rank in 15 AL teams,,,,,,,,,9,,9,,,,,,,,,,,,,,
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
