
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Alex Avila*,27,124,457,390,44,85,22,0,11,47,0,3,61,151,.218,.327,.359,.686,93,140,6,3,1,2,1
2,1B,Miguel Cabrera,31,159,685,611,101,191,52,1,25,109,1,1,60,117,.313,.371,.524,.895,148,320,21,3,0,11,10
3,2B,Ian Kinsler,32,161,726,684,100,188,40,4,17,92,15,4,29,79,.275,.307,.420,.727,102,287,20,5,3,5,1
4,SS,Andrew Romine#,28,94,273,251,30,57,6,0,2,12,12,2,18,60,.227,.279,.275,.554,56,69,5,0,4,0,0
5,3B,Nick Castellanos,22,148,579,533,50,138,31,4,11,66,2,2,36,140,.259,.306,.394,.700,95,210,7,3,0,7,3
6,LF,J.D. Martinez,26,123,480,441,57,139,30,3,23,76,6,3,30,126,.315,.358,.553,.912,151,244,8,3,0,6,5
7,CF,Austin Jackson,27,100,420,374,52,102,25,5,4,33,9,4,35,85,.273,.332,.398,.730,104,149,9,2,1,8,0
8,RF,Torii Hunter,38,142,586,549,71,157,33,2,17,83,4,3,23,89,.286,.319,.446,.765,112,245,18,7,0,7,0
9,DH,Victor Martinez#,35,151,641,561,87,188,33,0,32,103,3,2,70,42,.335,.409,.565,.974,170,317,17,4,0,6,28
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
10,OF,Rajai Davis,33,134,494,461,64,130,27,2,8,51,36,11,22,75,.282,.320,.401,.721,101,185,7,5,3,3,0
11,SS,Eugenio Suarez,22,85,277,244,33,59,9,1,4,23,3,2,22,67,.242,.316,.336,.652,83,82,3,5,5,1,1
12,UT,Don Kelly*,34,95,185,163,24,40,5,1,0,7,6,1,20,29,.245,.332,.288,.620,76,47,6,1,1,0,1
13,C,Bryan Holaday,26,62,171,156,14,36,5,1,0,15,1,1,8,37,.231,.266,.276,.542,53,43,4,1,2,4,0
14,CF,Ezequiel Carrera*,27,45,73,69,12,18,4,1,0,2,7,1,3,14,.261,.301,.348,.649,82,24,2,1,0,0,1
15,SS,Danny Worth,28,20,46,42,5,7,1,0,0,5,0,1,2,12,.167,.217,.190,.408,16,8,1,1,0,1,0
16,SS,Alex Gonzalez,37,9,32,30,4,5,0,1,0,2,0,0,2,4,.167,.219,.233,.452,27,7,2,0,0,0,0
17,UT,Tyler Collins*,24,18,25,24,3,6,0,0,1,4,0,0,1,4,.250,.280,.375,.655,82,9,1,0,0,0,0
18,UT,James McCann,24,9,12,12,2,3,1,0,0,0,1,0,0,2,.250,.250,.333,.583,62,4,0,0,0,0,0
19,UT,Steven Moya*,22,11,8,8,2,3,0,0,0,0,0,0,0,2,.375,.375,.375,.750,112,3,0,0,0,0,0
20,IF,Hernan Perez,23,8,6,5,1,1,0,0,0,0,0,0,1,1,.200,.333,.200,.533,54,1,0,0,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
21,P,Justin Verlander,31,32,7,6,1,2,0,0,0,0,0,0,0,0,.333,.333,.333,.667,88,2,0,0,1,0,0
22,P,Rick Porcello,25,32,5,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,1,0,0
23,P,Anibal Sanchez,30,22,5,5,0,1,1,0,0,1,0,0,0,3,.200,.200,.400,.600,63,2,0,0,0,0,0
24,P,Max Scherzer,29,33,4,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,2,0,0
25,P,Robbie Ray*,22,9,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,182,1,0,0,0,0,0
26,P,Ian Krol*,23,45,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
27,P,Joba Chamberlain,28,69,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
28,P,Drew Smyly*,25,21,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
29,P,Jim Johnson,31,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
30,P,Corey Knebel,22,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
31,P,Evan Reed,28,32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
32,P,Joakim Soria,30,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Melvin Mercedes,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Jose Ortega,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Buck Farmer*,23,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Phil Coke*,31,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Luke Putkonen,28,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Kyle Ryan*,22,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Justin Miller,27,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Joe Nathan,39,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Drew VerHagen,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,David Price*,28,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Kevin Whelan,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Kyle Lobstein*,24,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Blaine Hardy*,27,38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Al Alburquerque,28,72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Chad Smith,24,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Pat McCoy*,25,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,29.9,162,6202,5630,757,1557,325,26,155,731,106,41,443,1144,.277,.331,.426,.757,111,2399,137,44,24,61,51
,,Rank in 15 AL teams,,,,2,2,1,1,8,4,,4,13,10,5,1,1,1,1,,1,,13,,1,
,,Non-Pitcher Totals,30.0,162,6176,5608,756,1553,324,26,155,730,106,41,443,1136,.277,.331,.427,.758,111,2394,137,44,20,61,51
,,Pitcher Totals,25.4,162,26,22,1,4,1,0,0,1,0,0,0,8,.182,.182,.227,.409,14,5,0,0,4,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
