
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Max Scherzer,29,18,5,.783,3.15,33,33,0,1,1,0,220.1,196,80,77,18,63,1,252,6,1,10,904,125,2.85,1.175,8.0,0.7,2.6,10.3,4.00
2,SP,Justin Verlander,31,15,12,.556,4.54,32,32,0,0,0,0,206.0,223,114,104,18,65,1,159,5,1,5,893,87,3.74,1.398,9.7,0.8,2.8,6.9,2.45
3,SP,Rick Porcello,25,15,13,.536,3.43,32,31,1,3,3,0,204.2,211,89,78,18,41,4,129,4,0,0,840,115,3.67,1.231,9.3,0.8,1.8,5.7,3.15
4,SP,Anibal Sanchez,30,8,5,.615,3.43,22,21,0,0,0,0,126.0,108,55,48,4,30,1,102,3,0,5,514,115,2.71,1.095,7.7,0.3,2.1,7.3,3.40
5,SP,Drew Smyly*,25,6,9,.400,3.93,21,18,0,0,0,0,105.1,111,48,46,14,31,1,89,1,0,4,445,100,4.08,1.348,9.5,1.2,2.6,7.6,2.87
6,SP,David Price*,28,4,4,.500,3.59,11,11,0,1,0,0,77.2,74,32,31,5,15,0,82,0,0,0,320,110,2.44,1.146,8.6,0.6,1.7,9.5,5.47
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
7,CL,Joe Nathan,39,5,4,.556,4.81,62,0,54,0,0,35,58.0,60,32,31,5,29,3,54,1,1,4,259,82,3.94,1.534,9.3,0.8,4.5,8.4,1.86
8,RP,Joba Chamberlain,28,2,5,.286,3.57,69,0,10,0,0,2,63.0,57,26,25,3,24,3,59,3,0,3,263,111,3.16,1.286,8.1,0.4,3.4,8.4,2.46
9,RP,Phil Coke*,31,5,2,.714,3.88,62,0,24,0,0,1,58.0,69,28,25,5,20,2,41,2,0,1,257,102,3.98,1.534,10.7,0.8,3.1,6.4,2.05
10,RP,Al Alburquerque,28,3,1,.750,2.51,72,0,15,0,0,1,57.1,46,16,16,7,21,1,63,3,2,2,236,158,3.78,1.169,7.2,1.1,3.3,9.9,3.00
11,RP,Ian Krol*,23,0,0,,4.96,45,0,5,0,0,1,32.2,42,23,18,6,13,4,28,2,1,1,154,80,5.18,1.684,11.6,1.7,3.6,7.7,2.15
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
12,,Kyle Lobstein*,24,1,2,.333,4.35,7,6,1,0,0,0,39.1,35,20,19,3,14,2,27,0,0,0,164,91,3.82,1.246,8.0,0.7,3.2,6.2,1.93
13,,Blaine Hardy*,27,2,1,.667,2.54,38,0,7,0,0,0,39.0,34,12,11,1,20,3,31,1,0,1,167,157,3.49,1.385,7.8,0.2,4.6,7.2,1.55
14,,Evan Reed,28,0,1,.000,4.18,32,0,9,0,0,0,32.1,39,19,15,2,12,1,26,3,1,1,145,95,3.72,1.577,10.9,0.6,3.3,7.2,2.17
15,,Robbie Ray*,22,1,4,.200,8.16,9,6,1,0,0,0,28.2,43,26,26,5,11,0,19,0,1,2,136,49,5.23,1.884,13.5,1.6,3.5,6.0,1.73
16,,Pat McCoy*,25,0,0,,3.86,14,0,4,0,0,0,14.0,21,6,6,0,13,3,11,0,0,0,74,105,4.35,2.429,13.5,0.0,8.4,7.1,0.85
17,,Jim Johnson,31,1,0,1.000,6.92,16,0,3,0,0,0,13.0,9,13,10,0,12,3,14,3,0,0,63,59,4.44,1.615,6.2,0.0,8.3,9.7,1.17
18,,Justin Miller,27,1,0,1.000,5.11,8,0,4,0,0,0,12.1,14,9,7,2,2,0,5,0,0,0,53,79,4.92,1.297,10.2,1.5,1.5,3.6,2.50
19,,Chad Smith,24,0,0,,5.40,10,0,5,0,0,0,11.2,15,7,7,1,3,0,9,0,0,0,50,75,3.47,1.543,11.6,0.8,2.3,6.9,3.00
20,,Joakim Soria,30,1,1,.500,4.91,13,0,5,0,0,1,11.0,13,7,6,2,2,1,6,1,0,1,49,83,5.22,1.364,10.6,1.6,1.6,4.9,3.00
21,,Kyle Ryan*,22,2,0,1.000,2.61,6,1,1,0,0,0,10.1,10,3,3,0,2,0,4,0,1,0,41,156,2.94,1.161,8.7,0.0,1.7,3.5,2.00
22,,Buck Farmer,23,0,1,.000,11.57,4,2,1,0,0,0,9.1,12,12,12,2,5,0,11,2,0,0,46,35,5.81,1.821,11.6,1.9,4.8,10.6,2.20
23,,Corey Knebel,22,0,0,,6.23,8,0,4,0,0,0,8.2,11,7,6,0,3,0,11,0,0,1,39,66,1.63,1.615,11.4,0.0,3.1,11.4,3.67
24,,Drew VerHagen,23,0,1,.000,5.40,1,1,0,0,0,0,5.0,5,3,3,0,3,0,4,0,0,0,20,79,3.33,1.600,9.0,0.0,5.4,7.2,1.33
25,,Luke Putkonen,28,0,0,,27.00,2,0,0,0,0,0,2.2,6,8,8,2,2,0,1,1,0,0,18,17,15.51,3.000,20.3,6.8,6.8,3.4,0.50
26,,Melvin Mercedes,23,0,0,,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,2,0,0,0,6,,1.13,0.000,0.0,0.0,0.0,9.0,
27,,Danny Worth,28,0,0,,4.50,2,0,2,0,0,0,2.0,4,1,1,0,0,0,2,0,0,0,10,104,1.13,2.000,18.0,0.0,0.0,9.0,
28,,Kevin Whelan,30,0,0,,13.50,1,0,0,0,0,0,1.1,3,2,2,2,2,0,1,0,0,1,9,38,25.63,3.750,20.3,13.5,13.5,6.8,0.50
29,,Jose Ortega,25,0,1,.000,27.00,1,0,0,0,0,0,1.1,0,4,4,0,4,0,1,1,0,0,9,19,12.88,3.000,0.0,0.0,27.0,6.8,0.25
30,,Andrew Romine,28,0,0,,27.00,1,0,1,0,0,0,1.0,4,3,3,2,0,0,1,0,0,1,7,20,27.13,4.000,36.0,18.0,0.0,9.0,
,,Team Totals,28.1,90,72,.556,4.01,162,162,157,5,4,41,1454.0,1475,705,648,127,462,34,1244,42,9,43,6191,99,3.60,1.332,9.1,0.8,2.9,7.7,2.69
,,Rank in 15 AL teams,,3,13,,10,,,,5,11,7,7,13,10,10,2,5,,6,,,,,,,,,,,,
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
