
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Matt Albers,31,8,0,0,10.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,1,2,67%,27%,0,P
Jose Altuve,24,156,157,146,1362.1,737,268,459,10,105,.986,2,2,-7,-6,4.80,4.63,,,,,,,,2B-DH
Anthony Bass,26,21,0,0,27.0,9,2,6,1,0,.889,,,0,0,2.67,0.38,,,1,0,0%,27%,0,P
Jake Buchanan,24,17,2,0,35.1,9,2,6,1,1,.889,,,0,0,2.04,0.47,,,1,1,50%,26%,0,P
Chris Carter,27,20,138,17,176.1,150,135,12,3,13,.980,-0,-3,0,0,7.50,1.05,,,,,,,,1B-LF-DH
Jason Castro,27,114,121,102,971.0,826,767,55,4,4,.995,-3,-4,2,3,7.62,6.58,11,33,81,23,22%,27%,1,C-DH
Kevin Chapman,26,21,0,0,21.1,4,1,3,0,0,1.000,,,0,0,1.69,0.19,,,0,0,,,0,P
Jose Cisnero,25,5,0,0,4.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,1,0,0%,27%,0,P
Paul Clemens,26,13,0,0,24.2,9,3,6,0,0,1.000,,,1,9,3.28,0.69,,,1,1,50%,26%,0,P
Carlos Corporan,30,54,48,46,431.2,387,359,25,3,4,.992,-3,-8,-1,-3,8.01,6.98,1,23,25,7,22%,27%,0,C-DH
Jarred Cosart,24,20,20,0,116.1,33,13,20,0,5,1.000,,,2,4,2.55,1.65,,,4,3,43%,27%,0,P
Sam Deduno,30,5,1,0,8.2,3,2,1,0,0,1.000,,,-1,-21,3.12,0.60,,,3,0,0%,27%,0,P
Jorge De Leon,26,8,0,0,7.1,1,0,1,0,0,1.000,,,0,0,1.23,0.13,,,1,1,50%,26%,0,P
Matt Dominguez,24,153,151,139,1302.2,398,109,278,11,22,.972,0,0,-4,-4,2.67,2.46,,,,,,,,3B-DH
Darin Downs,29,45,0,0,34.2,7,2,5,0,0,1.000,,,0,0,1.82,0.16,,,4,1,20%,27%,1,P
Kyle Farnsworth,38,16,0,0,11.2,1,0,1,0,1,1.000,,,0,0,0.77,0.06,,,2,0,0%,26%,0,P
Scott Feldman,31,29,29,2,180.1,36,18,18,0,1,1.000,,,-7,-8,1.80,1.24,,,35,7,17%,27%,0,P
Josh Fields,28,54,0,0,54.2,2,2,0,0,0,1.000,,,-3,-11,0.33,0.04,,,7,0,0%,27%,0,P
Mike Foltynewicz,22,16,0,0,18.2,2,2,0,0,0,1.000,,,-1,-10,0.96,0.13,,,1,0,0%,27%,0,P
Dexter Fowler,28,111,114,103,959.0,247,238,4,5,1,.980,-17,-21,-20,-25,2.27,2.10,,,,,,,,CF-DH
Marwin Gonzalez,25,93,76,70,708.1,336,95,233,8,41,.976,-0,-1,-2,-3,4.17,3.25,,,,,,,,SS-2B-3B-LF-1B-RF-DH
Robbie Grossman,24,102,99,86,865.0,186,177,6,3,1,.984,-8,-12,3,4,1.90,1.73,,,,,,,,LF-RF-CF-DH
Jesus Guzman,30,60,41,29,353.2,331,305,24,2,29,.994,0,0,0,0,8.37,4.98,,,,,,,,1B-LF-3B-DH
Lucas Harrell,29,3,3,0,12.1,2,1,1,0,0,1.000,,,0,0,1.46,0.67,,,1,0,0%,27%,0,P
Enrique Hernandez,22,23,23,20,196.0,62,48,12,2,4,.968,-0,-1,3,19,2.76,2.31,,,,,,,,CF-LF-SS-2B-DH
L.J. Hoes,24,48,35,31,328.1,76,70,4,2,0,.974,-6,-22,7,26,2.03,1.51,,,,,,,,LF-RF-DH
Dallas Keuchel,26,29,29,5,200.0,66,18,47,1,3,.985,,,10,10,2.92,2.24,,,1,3,75%,26%,0,P
Marc Krauss,26,55,53,21,402.2,329,294,31,4,25,.988,2,5,0,0,7.26,5.33,,,,,,,,1B-LF-RF-DH
Jake Marisnick,23,49,47,46,426.0,128,122,4,2,1,.984,7,21,12,34,2.66,2.52,,,,,,,,RF-CF-LF
David Martinez,26,3,0,0,7.0,1,1,0,0,0,1.000,,,0,0,1.29,0.33,,,0,0,,,0,P
Collin McHugh,27,25,25,0,154.2,35,12,21,2,2,.943,,,1,1,1.92,1.32,,,6,5,45%,27%,0,P
Brett Oberholtzer,24,24,24,0,143.2,23,6,16,1,2,.957,,,-2,-3,1.38,0.92,,,10,2,17%,27%,1,P
Rudy Owens,26,1,1,0,5.2,1,0,1,0,0,1.000,,,0,0,1.59,1.00,,,0,0,,,0,P
Brad Peacock,26,28,24,0,131.2,16,7,7,2,1,.875,,,-2,-3,0.96,0.50,,,10,1,9%,27%,0,P
Gregorio Petit,29,32,27,18,246.2,105,33,70,2,17,.981,-1,-4,2,10,3.76,2.71,,,,,,,,SS-3B-2B-DH
Alex Presley,28,80,67,50,572.0,118,115,3,0,0,1.000,-5,-10,1,2,1.86,1.33,,,,,,,,LF-RF-CF-DH
Chad Qualls,35,58,0,0,51.1,12,4,8,0,0,1.000,,,-1,-4,2.10,0.21,,,9,2,18%,27%,1,P
Domingo Santana,21,5,5,4,43.0,7,6,1,0,0,1.000,-5,-130,-1,-28,1.47,1.40,,,,,,,,LF-RF
Jon Singleton,22,91,86,83,770.2,840,776,53,11,75,.987,-5,-9,-5,-8,9.68,9.11,,,,,,,,1B
Tony Sipp,30,56,0,0,51.0,8,4,4,0,0,1.000,0,0,0,0,1.41,0.14,,,2,2,50%,26%,0,P-LF-RF
George Springer,24,77,78,75,679.0,176,163,6,7,2,.960,-12,-20,-2,-4,2.24,2.11,,,,,,,,RF-CF-DH
Max Stassi,23,6,4,2,36.0,28,22,5,1,0,.964,0,0,1,37,6.75,4.50,2,1,3,2,40%,27%,0,C
Nick Tropeano,23,4,4,0,21.2,5,3,2,0,1,1.000,,,0,0,2.08,1.25,,,1,1,50%,26%,0,P
Raul Valdes,36,8,0,0,3.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Jose Veras,33,34,0,0,32.2,4,3,1,0,0,1.000,,,-1,-6,1.10,0.12,,,4,0,0%,26%,0,P
Jonathan Villar,23,82,78,72,678.2,351,104,229,18,45,.949,1,1,-2,-3,4.42,3.87,,,,,,,,SS-DH
Jerome Williams,32,26,0,0,47.2,11,3,8,0,1,1.000,,,0,0,2.08,0.42,,,2,0,0%,26%,1,P
Josh Zeid,27,23,0,0,20.2,8,1,7,0,1,1.000,,,1,11,3.48,0.35,,,1,0,0%,27%,1,P
Team Totals,26.4,162,1458,1167,12948.0,6126,4316,1704,106,151,.983,-54,-5,,,4.18,2.97,14,57,109,32,23%,27%,6,
Rank in 15 AL teams,,,,,,,,,11,,9,,,,,,,,,,,,,,
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
