
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Dallas Keuchel*,26,12,9,.571,2.93,29,29,0,5,1,0,200.0,187,71,65,11,48,2,146,7,0,7,808,133,3.21,1.175,8.4,0.5,2.2,6.6,3.04
2,SP,Scott Feldman,31,8,12,.400,3.74,29,29,0,2,1,0,180.1,185,86,75,16,50,5,107,11,1,6,765,104,4.11,1.303,9.2,0.8,2.5,5.3,2.14
3,SP,Collin McHugh,27,11,9,.550,2.73,25,25,0,0,0,0,154.2,117,53,47,13,41,1,157,6,0,6,619,143,3.11,1.022,6.8,0.8,2.4,9.1,3.83
4,SP,Brett Oberholtzer*,24,5,13,.278,4.39,24,24,0,0,0,0,143.2,170,73,70,12,28,0,94,3,3,2,623,89,3.56,1.378,10.6,0.8,1.8,5.9,3.36
5,SP,Brad Peacock,26,4,9,.308,4.72,28,24,3,0,0,0,131.2,136,80,69,20,70,4,119,4,0,6,589,83,4.99,1.565,9.3,1.4,4.8,8.1,1.70
6,SP,Jarred Cosart,24,9,7,.563,4.41,20,20,0,0,0,0,116.1,119,61,57,7,51,1,75,3,0,7,507,89,4.02,1.461,9.2,0.5,3.9,5.8,1.47
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
7,CL,Chad Qualls,35,1,5,.167,3.33,58,0,41,0,0,19,51.1,54,22,19,5,5,2,43,2,0,1,213,118,3.13,1.149,9.5,0.9,0.9,7.5,8.60
8,RP,Josh Fields,28,4,6,.400,4.45,54,0,16,0,0,4,54.2,50,29,27,2,17,3,70,2,0,0,231,88,2.09,1.226,8.2,0.3,2.8,11.5,4.12
9,RP,Tony Sipp*,30,4,3,.571,3.38,56,0,13,0,0,4,50.2,28,19,19,5,17,2,63,0,0,3,198,116,2.93,0.888,5.0,0.9,3.0,11.2,3.71
10,RP,Darin Downs*,29,2,1,.667,5.45,45,0,7,0,0,0,34.2,28,22,21,2,19,2,27,3,2,2,148,72,4.23,1.356,7.3,0.5,4.9,7.0,1.42
11,RP,Jose Veras,33,4,0,1.000,3.03,34,0,7,0,0,1,32.2,25,13,11,4,16,1,37,0,0,3,139,130,3.93,1.255,6.9,1.1,4.4,10.2,2.31
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
12,,Jerome Williams,32,1,4,.200,6.04,26,0,14,0,0,0,47.2,59,33,32,7,16,1,38,3,0,2,219,65,4.64,1.573,11.1,1.3,3.0,7.2,2.38
