
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,A.J. Ellis,33,93,347,283,21,54,9,0,3,25,0,0,53,57,.191,.323,.254,.577,67,72,15,4,3,4,5
2,1B,Adrian Gonzalez*,32,159,660,591,83,163,41,0,27,116,1,1,56,112,.276,.335,.482,.817,129,285,13,2,0,11,9
3,2B,Dee Gordon*,26,148,650,609,92,176,24,12,2,34,64,19,31,107,.289,.326,.378,.704,100,230,3,4,3,3,0
4,SS,Hanley Ramirez,30,128,512,449,64,127,35,0,13,71,14,5,56,84,.283,.369,.448,.817,131,201,10,6,0,1,2
5,3B,Juan Uribe,35,103,404,386,36,120,23,0,9,54,0,1,15,77,.311,.337,.440,.777,119,170,15,1,0,2,2
6,LF,Carl Crawford*,32,105,370,343,56,103,14,3,8,46,23,6,16,55,.300,.339,.429,.767,117,147,5,6,0,4,0
7,CF,Andre Ethier*,32,130,380,341,29,85,17,6,4,42,2,2,31,74,.249,.322,.370,.691,97,126,5,6,1,1,3
8,RF,Yasiel Puig,23,148,640,558,92,165,37,9,16,69,11,7,67,124,.296,.382,.480,.863,144,268,7,12,2,1,3
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,OF,Matt Kemp,29,150,599,541,77,155,38,3,25,89,8,5,52,145,.287,.346,.506,.852,139,274,21,0,0,6,3
10,3B,Justin Turner,29,109,322,288,46,98,21,1,7,43,6,1,28,58,.340,.404,.493,.897,154,142,6,4,0,2,1
11,OF,Scott Van Slyke,27,98,246,212,32,63,13,1,11,29,4,2,28,71,.297,.386,.524,.910,156,111,3,4,0,2,0
12,C,Drew Butera,30,61,192,170,16,32,6,1,3,14,0,0,17,41,.188,.267,.288,.555,58,49,1,2,1,2,1
13,SS,Miguel Rojas,25,85,162,149,16,27,3,0,1,9,0,0,10,28,.181,.242,.221,.464,33,33,5,2,1,0,1
14,C,Tim Federowicz,26,23,78,71,2,8,3,0,1,5,0,0,3,18,.113,.158,.197,.355,0,14,3,1,2,1,0
15,IF,Chone Figgins#,36,38,76,60,8,13,3,0,0,1,4,1,14,15,.217,.373,.267,.640,86,16,0,1,1,0,0
16,MI,Darwin Barney,28,22,45,33,6,10,1,0,1,7,0,0,8,3,.303,.467,.424,.891,156,14,0,3,0,1,0
17,SS,Erisbel Arruebarrena,24,22,45,41,4,8,1,0,0,4,0,0,3,17,.195,.244,.220,.464,34,9,1,0,0,1,0
18,OF,Joc Pederson*,22,18,38,28,1,4,0,0,0,0,0,0,9,11,.143,.351,.143,.494,48,4,1,0,1,0,0
19,C,Miguel Olivo,35,8,25,23,4,5,0,1,0,2,0,0,1,12,.217,.240,.304,.544,54,7,1,0,0,1,0
20,UT,Jamie Romak,28,15,23,21,2,1,1,0,0,3,0,0,2,8,.048,.130,.095,.226,-34,2,1,0,0,0,0
21,SS,Carlos Triunfel,24,12,16,15,3,2,0,0,1,1,0,0,1,5,.133,.188,.333,.521,45,5,0,0,0,0,0
22,LF,Alex Guerrero,27,11,13,13,0,1,0,0,0,0,0,0,0,6,.077,.077,.077,.154,-56,1,0,0,0,0,0
23,1B,Clint Robinson*,29,9,10,9,3,3,0,0,0,2,0,0,1,1,.333,.400,.333,.733,112,3,0,0,0,0,0
24,OF,Roger Bernadina*,30,9,9,7,2,2,0,0,1,4,0,0,0,3,.286,.444,.714,1.159,224,5,0,2,0,0,0
25,LF,Mike Baxter*,29,4,8,7,0,0,0,0,0,0,0,0,1,2,.000,.125,.000,.125,-60,0,1,0,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
