
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Zack Greinke,30,17,8,.680,2.71,32,32,0,0,0,0,202.1,190,69,61,19,43,3,207,2,0,12,821,130,2.97,1.152,8.5,0.8,1.9,9.2,4.81
2,SP,Clayton Kershaw*,26,21,3,.875,1.77,27,27,0,6,2,0,198.1,139,42,39,9,31,0,239,2,2,7,749,199,1.81,0.857,6.3,0.4,1.4,10.8,7.71
3,SP,Dan Haren,33,13,11,.542,4.02,32,32,0,0,0,0,186.0,183,101,83,27,36,7,145,3,1,8,776,88,4.09,1.177,8.9,1.3,1.7,7.0,4.03
4,SP,Hyun-jin Ryu*,27,14,7,.667,3.38,26,26,0,0,0,0,152.0,152,60,57,8,29,2,139,3,0,2,631,104,2.62,1.191,9.0,0.5,1.7,8.2,4.79
5,SP,Josh Beckett,34,6,6,.500,2.88,20,20,0,1,1,0,115.2,96,41,37,17,39,2,107,5,0,1,475,123,4.33,1.167,7.5,1.3,3.0,8.3,2.74
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
6,CL,Kenley Jansen,26,2,3,.400,2.76,68,0,57,0,0,44,65.1,55,20,20,5,19,2,101,0,0,2,268,128,1.91,1.133,7.6,0.7,2.6,13.9,5.32
7,RP,Jamey Wright,39,5,4,.556,4.35,61,1,22,0,0,1,70.1,72,35,34,3,27,4,54,4,0,5,308,81,3.47,1.408,9.2,0.4,3.5,6.9,2.00
8,RP,Brandon League,31,2,3,.400,2.57,63,0,12,0,0,0,63.0,65,23,18,0,27,5,38,4,0,4,273,138,3.40,1.460,9.3,0.0,3.9,5.4,1.41
9,RP,J.P. Howell*,31,3,3,.500,2.39,68,0,8,0,0,0,49.0,31,14,13,2,25,1,48,1,0,3,199,149,3.30,1.143,5.7,0.4,4.6,8.8,1.92
10,RP,Brian Wilson,32,2,4,.333,4.66,61,0,6,0,0,1,48.1,49,26,25,5,29,3,54,4,0,1,223,76,4.29,1.614,9.1,0.9,5.4,10.1,1.86
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
11,,Paul Maholm*,32,1,5,.167,4.84,30,8,7,0,0,0,70.2,82,44,38,8,28,3,34,3,1,2,311,73,4.96,1.557,10.4,1.0,3.6,4.3,1.21
12,,Chris Perez,28,1,3,.250,4.27,49,0,15,0,0,1,46.1,38,23,22,6,25,0,39,5,0,4,200,83,5.07,1.360,7.4,1.2,4.9,7.6,1.56
