
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Nathan Eovaldi,24,6,14,.300,4.37,33,33,0,0,0,0,199.2,223,107,97,14,43,5,142,7,0,6,854,86,3.37,1.332,10.1,0.6,1.9,6.4,3.30
2,SP,Tom Koehler,28,10,10,.500,3.81,32,32,0,0,0,0,191.1,177,84,81,16,71,0,153,7,0,4,803,98,3.84,1.296,8.3,0.8,3.3,7.2,2.15
3,SP,Henderson Alvarez,24,12,7,.632,2.65,30,30,0,3,3,0,187.0,198,65,55,14,33,3,111,8,0,4,772,141,3.58,1.235,9.5,0.7,1.6,5.3,3.36
4,SP,Jacob Turner,23,4,7,.364,5.97,20,12,4,0,0,0,78.1,106,54,52,8,23,1,54,1,1,3,352,63,4.00,1.647,12.2,0.9,2.6,6.2,2.35
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
5,CL,Steve Cishek,28,4,5,.444,3.17,67,0,55,0,0,39,65.1,58,26,23,3,21,2,84,1,0,1,275,119,2.17,1.209,8.0,0.4,2.9,11.6,4.00
6,RP,A.J. Ramos,27,7,0,1.000,2.11,68,0,12,0,0,0,64.0,36,16,15,1,43,7,73,3,0,7,270,178,3.21,1.234,5.1,0.1,6.0,10.3,1.70
7,RP,Mike Dunn*,29,10,6,.625,3.16,75,0,15,0,0,1,57.0,47,25,20,4,22,1,67,4,0,2,245,119,3.06,1.211,7.4,0.6,3.5,10.6,3.05
8,RP,Chris Hatcher,29,0,3,.000,3.38,52,0,15,0,0,0,56.0,55,22,21,4,12,1,60,0,2,1,232,112,2.56,1.196,8.8,0.6,1.9,9.6,5.00
9,RP,Dan Jennings*,27,0,2,.000,1.34,47,0,12,0,0,0,40.1,45,11,6,3,17,1,38,0,0,2,182,282,3.48,1.537,10.0,0.7,3.8,8.5,2.24
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
10,,Brad Hand*,24,3,8,.273,4.38,32,16,5,0,0,1,111.0,112,56,54,10,39,3,67,2,0,5,474,86,4.20,1.360,9.1,0.8,3.2,5.4,1.72
11,,Jarred Cosart,24,4,4,.500,2.39,10,10,0,0,0,0,64.0,54,19,17,2,22,0,40,0,0,0,259,157,3.32,1.188,7.6,0.3,3.1,5.6,1.82
12,,Jose Fernandez,21,4,2,.667,2.44,8,8,0,0,0,0,51.2,36,19,14,4,13,1,70,0,1,2,205,154,2.18,0.948,6.3,0.7,2.3,12.2,5.38
13,,Sam Dyson,26,3,1,.750,2.14,31,0,12,0,0,0,42.0,41,14,10,1,15,4,33,3,0,1,181,176,3.16,1.333,8.8,0.2,3.2,7.1,2.20
