
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
A.J. Achter,25,7,0,0,11.0,1,0,1,0,0,1.000,,,-1,-16,0.82,0.14,,,1,1,50%,26%,0,P
Oswaldo Arcia,23,100,98,88,846.2,204,191,8,5,0,.975,-4,-6,-10,-14,2.12,1.95,,,,,,,,RF-DH
Jason Bartlett,34,2,0,0,7.0,0,0,0,0,0,,-3,-590,-2,-343,0.00,0.00,,,,,,,,LF-DH
Doug Bernier,34,5,2,0,20.0,10,3,7,0,1,1.000,-1,-86,0,0,4.50,1.67,,,,,,,,SS-2B-DH
Jared Burton,33,68,0,0,64.0,10,4,6,0,0,1.000,,,-3,-9,1.41,0.15,,,10,0,0%,27%,1,P
Chris Colabello,30,41,51,27,321.2,207,184,20,3,19,.986,-5,-18,-9,-34,5.71,3.71,,,,,,,,1B-RF-DH
Kevin Correia,33,23,23,0,129.1,27,8,15,4,1,.852,,,-2,-3,1.60,1.00,,,7,0,0%,27%,0,P
Logan Darnell,25,7,4,0,24.0,4,1,2,1,0,.750,,,0,0,1.12,0.43,,,0,0,,,0,P
Sam Deduno,30,30,8,0,92.0,27,12,12,3,2,.889,,,-3,-6,2.35,0.80,,,10,1,9%,27%,0,P
Brian Dozier,27,156,155,150,1361.0,751,261,475,15,98,.980,-12,-10,0,0,4.87,4.72,,,,,,,,2B
Brian Duensing,31,62,0,0,54.1,9,1,8,0,1,1.000,,,1,4,1.49,0.15,,,2,2,50%,26%,2,P
Eduardo Escobar,25,132,117,110,1051.1,449,159,281,9,61,.980,-3,-3,-10,-11,3.77,3.24,,,,,,,,SS-3B-2B-LF-CF-DH
Casey Fien,30,73,0,0,63.1,15,6,9,0,1,1.000,,,0,0,2.13,0.21,,,1,0,0%,27%,0,P
Pedro Florimon,27,31,26,14,224.2,114,28,84,2,18,.982,1,7,3,17,4.49,3.39,,,,,,,,SS-DH
Eric Fryer,28,24,22,18,190.1,159,152,6,1,1,.994,-2,-13,-1,-6,7.47,5.85,1,8,16,1,6%,27%,1,C-DH
Sam Fuld,32,53,49,46,438.2,158,153,3,2,1,.987,-2,-6,-2,-6,3.20,2.89,,,,,,,,CF-LF-RF
Kyle Gibson,26,31,31,0,179.1,57,30,27,0,3,1.000,,,4,5,2.86,1.84,,,7,4,36%,27%,2,P
Matt Guerrier,35,27,0,0,28.0,6,3,3,0,0,1.000,,,0,0,1.93,0.22,,,2,0,0%,26%,0,P
Chris Herrmann,26,25,15,11,159.0,34,33,0,1,0,.971,-1,-9,-3,-23,1.87,1.27,0,0,0,0,,,0,RF-LF-C
Aaron Hicks,24,65,59,49,528.0,179,173,4,2,2,.989,-2,-5,-3,-7,3.02,2.53,,,,,,,,CF-RF-LF-DH
Phil Hughes,28,32,32,1,209.2,19,10,8,1,2,.947,,,-8,-8,0.77,0.56,,,14,1,7%,27%,0,P
Kris Johnson,29,3,3,0,13.1,4,0,4,0,0,1.000,,,0,0,2.70,1.33,,,1,1,50%,26%,1,P
Jason Kubel,32,40,40,36,353.1,76,76,0,0,0,1.000,-3,-11,-9,-31,1.94,1.85,,,,,,,,LF-RF-DH
Darin Mastroianni,28,7,2,2,29.0,6,5,1,0,0,1.000,-1,-29,1,41,1.86,0.86,,,,,,,,RF-LF-CF
Joe Mauer,31,100,118,91,851.0,915,830,82,3,85,.997,2,3,4,6,9.65,7.66,,,,,,,,1B-DH
Trevor May,24,10,9,0,45.2,2,1,1,0,0,1.000,,,0,0,0.39,0.20,,,1,0,0%,27%,0,P
