
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Kurt Suzuki,30,131,503,452,37,130,34,0,3,61,0,1,34,46,.288,.345,.383,.727,104,173,9,9,1,7,0
2,1B,Joe Mauer*,31,120,518,455,60,126,27,2,4,55,3,0,60,96,.277,.361,.371,.732,106,169,12,1,0,2,12
3,2B,Brian Dozier,27,156,707,598,112,145,33,1,23,71,21,7,89,129,.242,.345,.416,.762,113,249,8,9,3,8,1
4,SS,Eduardo Escobar#,25,133,465,433,52,119,35,2,6,37,1,1,24,93,.275,.315,.406,.721,101,176,6,2,4,2,1
5,3B,Trevor Plouffe,28,136,582,520,69,134,40,2,14,80,2,1,53,109,.258,.328,.423,.751,109,220,12,4,0,5,2
6,LF,Josh Willingham,35,68,278,224,34,47,5,1,12,34,1,0,42,78,.210,.345,.402,.747,109,90,2,7,0,5,3
7,CF,Danny Santana#,23,101,430,405,70,129,27,7,7,40,20,4,19,98,.319,.353,.472,.824,129,191,3,3,2,1,0
8,RF,Oswaldo Arcia*,23,103,410,372,46,86,16,3,20,57,1,2,31,127,.231,.300,.452,.752,108,168,6,6,0,1,4
9,DH,Kennys Vargas#,23,53,234,215,26,59,10,1,9,38,0,0,12,63,.274,.316,.456,.772,114,98,5,3,0,4,2
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
10,UT,Chris Parmelee*,26,87,270,250,27,64,11,0,7,28,0,3,17,64,.256,.307,.384,.691,93,96,7,2,0,1,0
11,CF,Aaron Hicks#,24,69,225,186,22,40,8,0,1,18,4,3,36,56,.215,.341,.274,.615,76,51,2,0,2,1,0
12,UT,Chris Colabello,30,59,220,205,17,47,13,0,6,39,0,2,14,66,.229,.282,.380,.662,84,78,2,1,0,0,1
13,UT,Eduardo Nunez,27,72,213,204,26,51,7,4,4,24,9,3,5,31,.250,.271,.382,.654,81,78,7,1,3,0,0
14,UT,Josmil Pinto,25,57,197,169,25,37,8,0,7,18,0,1,24,50,.219,.315,.391,.705,97,66,7,1,0,3,0
15,CF,Sam Fuld*,32,53,195,164,15,45,10,0,1,17,12,3,26,29,.274,.370,.354,.723,105,58,0,0,3,2,1
16,LF,Jason Kubel*,32,45,176,156,12,35,6,1,1,13,1,0,19,59,.224,.313,.295,.607,72,46,1,1,0,0,1
17,DH,Kendrys Morales#,31,39,162,154,12,36,11,0,1,18,0,0,6,27,.234,.259,.325,.584,63,50,4,0,0,2,1
18,LF,Jordan Schafer*,27,41,147,130,17,37,5,1,1,13,15,5,12,28,.285,.345,.362,.707,99,47,0,0,5,0,0
19,SS,Pedro Florimon#,27,33,86,76,7,7,1,1,0,1,6,0,8,22,.092,.179,.132,.310,-11,10,2,0,2,0,0
20,C,Eric Fryer,28,28,81,75,11,16,4,0,1,5,1,0,5,15,.213,.272,.307,.578,62,23,0,1,0,0,0
21,OF,Chris Herrmann*,26,33,79,75,8,16,3,0,0,4,1,0,4,17,.213,.253,.253,.506,43,19,2,0,0,0,0
22,OF,Darin Mastroianni,28,7,12,11,3,0,0,0,0,0,1,0,1,5,.000,.083,.000,.083,-74,0,0,0,0,0,0
23,UT,Doug Bernier,34,7,9,7,2,2,0,0,0,0,0,0,1,2,.286,.444,.286,.730,111,2,0,1,0,0,0
24,SS,Jorge Polanco#,20,5,8,6,2,2,1,1,0,3,0,0,2,2,.333,.500,.833,1.333,266,5,0,0,0,0,0
25,UT,Jason Bartlett,34,3,4,3,3,0,0,0,0,0,0,0,0,3,.000,.250,.000,.250,-22,0,0,1,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
26,P,Phil Hughes,28,32,6,6,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0
27,P,Kevin Correia,33,23,5,5,0,1,1,0,0,1,0,0,0,1,.200,.200,.400,.600,63,2,0,0,0,0,0
28,P,Kyle Gibson,26,31,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,41,1,0,0,0,0,0
29,P,Sam Deduno,30,30,4,4,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0
30,P,Ricky Nolasco,31,27,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
31,P,Kris Johnson*,29,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
32,P,Michael Tonkin,24,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Glen Perkins*,31,63,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Trevor May,24,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Ryan Pressly,25,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Logan Darnell*,25,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Aaron Thompson*,27,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Caleb Thielbar,27,54,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Matt Guerrier,35,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Lester Oliveros,26,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,A.J. Achter,25,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Yohan Pino,30,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Anthony Swarzak,28,50,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Jared Burton,33,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Mike Pelfrey,30,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Brian Duensing*,31,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Tommy Milone*,27,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Casey Fien,30,73,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,27.6,162,6233,5567,715,1412,316,27,128,675,99,36,544,1329,.254,.324,.389,.713,99,2166,97,53,25,44,29
,,Rank in 15 AL teams,,,,5,5,6,2,7,11,,7,8,2,12,7,2,6,5,,7,,10,,9,
,,Non-Pitcher Totals,27.6,162,6211,5545,715,1410,315,27,128,674,99,36,544,1315,.254,.324,.390,.715,100,2163,97,53,25,44,29
,,Pitcher Totals,26.8,162,22,22,0,2,1,0,0,1,0,0,0,14,.091,.091,.136,.227,-37,3,0,0,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
