
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Fernando Abad,28,69,0,0,57.1,8,0,8,0,0,1.000,,,4,14,1.26,0.12,,,2,4,67%,26%,0,P
Daric Barton,28,30,15,14,162.0,181,166,12,3,16,.983,-2,-17,4,30,9.89,5.93,,,,,,,,1B
Kyle Blanks,27,18,13,8,111.0,102,93,8,1,11,.990,1,12,0,0,8.19,4.81,,,,,,,,1B-RF-DH
Billy Burns,24,1,1,1,8.0,3,2,0,1,0,.667,-2,-307,0,0,2.25,0.67,,,,,,,,CF-DH
Alberto Callaspo,31,81,108,46,628.1,374,212,154,8,43,.979,-0,-1,-2,-4,5.24,2.88,,,,,,,,2B-1B-3B-DH
Yoenis Cespedes,28,84,98,68,745.0,160,144,12,4,0,.975,-5,-7,6,10,1.88,1.46,,,,,,,,LF-CF-DH
Jesse Chavez,30,32,21,0,146.0,15,11,4,0,3,1.000,,,-2,-3,0.92,0.47,,,4,3,43%,27%,0,P
Ryan Cook,27,54,0,0,50.0,11,3,8,0,1,1.000,,,2,8,1.98,0.20,,,3,2,40%,27%,2,P
Coco Crisp,34,111,113,88,900.2,197,194,0,3,0,.985,-14,-19,-17,-23,1.94,1.58,,,,,,,,CF-DH
Josh Donaldson,28,150,155,141,1320.2,482,131,328,23,43,.952,22,20,20,18,3.13,2.89,,,,,,,,3B-DH
Sean Doolittle,27,61,0,0,62.2,5,1,4,0,0,1.000,,,-1,-3,0.72,0.08,,,6,1,14%,27%,0,P
Adam Dunn,34,20,17,,,,,,,,,,,,,,0.00,,,,,,,,DH
Jeff Francis,33,9,0,0,13.1,0,0,0,0,0,,,,-1,-13,0.00,0.00,,,0,0,,,0,P
Nate Freiman,27,33,24,16,217.1,221,211,7,3,24,.986,3,16,1,6,9.03,6.23,,,,,,,,1B-DH
Sam Fuld,32,54,46,38,425.0,133,129,4,0,1,1.000,9,25,6,17,2.82,2.18,,,,,,,,CF-LF-RF
Craig Gentry,30,87,58,37,560.0,162,153,8,1,2,.994,0,0,10,21,2.59,1.66,,,,,,,,CF-RF-LF-DH
Jonny Gomes,33,19,18,5,115.0,26,25,0,1,0,.962,-4,-37,-2,-21,1.96,0.89,,,,,,,,LF-DH
Sonny Gray,24,33,33,2,219.0,62,18,41,3,3,.952,,,3,3,2.42,1.79,,,7,3,30%,27%,1,P
Luke Gregerson,30,72,0,0,72.1,12,4,8,0,0,1.000,,,-1,-2,1.49,0.17,,,10,0,0%,27%,0,P
Jason Hammel,31,13,12,0,67.2,7,5,1,1,0,.857,,,-2,-6,0.80,0.46,,,4,1,20%,27%,1,P
John Jaso,30,54,79,24,391.0,349,338,10,1,0,.997,-4,-12,-5,-15,8.01,3.91,1,21,32,4,11%,27%,2,C-DH
Jim Johnson,31,38,0,0,40.1,6,2,3,1,0,.833,,,-3,-14,1.12,0.13,,,7,0,0%,27%,0,P
Scott Kazmir,30,32,32,2,190.1,23,2,18,3,1,.870,,,-1,-1,0.95,0.63,,,18,2,10%,27%,1,P
Jon Lester,30,11,11,1,76.2,8,4,4,0,0,1.000,,,0,0,0.94,0.73,,,6,2,25%,27%,0,P
Josh Lindblom,27,1,1,0,4.2,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Jed Lowrie,30,130,132,120,1146.1,503,146,344,13,71,.974,2,2,-10,-10,3.85,3.66,,,,,,,,SS-DH
Brad Mills,29,3,3,0,16.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,1,100%,27%,0,P
Tommy Milone,27,16,16,0,96.1,15,3,12,0,2,1.000,,,2,4,1.40,0.94,,,4,0,0%,26%,0,P
Brandon Moss,30,132,132,82,1109.2,644,610,27,7,49,.989,-4,-4,2,2,5.17,3.77,,,,,,,,1B-LF-RF-DH
Derek Norris,25,114,103,83,870.1,794,745,43,6,3,.992,-3,-4,-3,-4,8.15,6.35,8,32,60,12,17%,27%,0,C-DH
Eric O'Flaherty,29,21,0,0,20.0,1,0,1,0,0,1.000,,,-1,-9,0.45,0.05,,,3,1,25%,26%,0,P
Dan Otero,29,72,0,0,86.2,29,11,18,0,2,1.000,,,3,7,3.01,0.40,,,3,3,50%,26%,0,P
Andy Parrino,28,20,15,12,133.1,55,20,34,1,11,.982,3,31,4,37,3.64,2.57,,,,,,,,SS-2B-LF-3B
Drew Pomeranz,25,20,10,0,69.0,9,1,8,0,0,1.000,,,0,0,1.17,0.45,,,6,0,0%,26%,0,P
Nick Punto,36,68,48,43,484.1,282,108,167,7,50,.975,7,17,1,2,5.11,3.77,,,,,,,,2B-SS-3B-RF-DH
Josh Reddick,27,108,100,89,882.1,205,195,5,5,2,.976,0,0,13,18,2.04,1.85,,,,,,,,RF-CF
Fernando Rodriguez,30,7,0,0,9.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Jeff Samardzija,29,16,16,2,111.2,13,3,10,0,1,1.000,,,-1,-2,1.05,0.81,,,13,4,24%,27%,1,P
Joe Savery,28,3,0,0,4.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Evan Scribner,28,13,0,0,11.2,1,0,1,0,0,1.000,,,0,0,0.77,0.08,,,0,0,,,0,P
Eric Sogard,28,115,92,71,829.1,454,164,280,10,54,.978,5,7,3,4,4.82,3.79,,,,,,,,2B-SS-DH
Geovany Soto,31,14,14,13,116.2,120,103,14,3,3,.975,3,31,3,32,9.03,8.36,0,2,8,9,53%,27%,0,C
Dan Straily,25,7,7,0,38.1,3,0,3,0,0,1.000,,,-1,-5,0.70,0.43,,,4,1,20%,27%,0,P
Stephen Vogt,29,74,67,42,550.1,460,433,25,2,28,.996,1,3,-2,-4,7.49,5.33,1,4,0,3,100%,27%,0,1B-RF-C-LF-DH
Team Totals,29.2,162,1458,1048,13170.0,6135,4390,1634,111,150,.982,18,2,,,4.12,2.82,10,59,100,28,22%,27%,8,
Rank in 15 AL teams,,,,,,,,,14,,13,,,,,,,,,,,,,,
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
