
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Sonny Gray,24,14,10,.583,3.08,33,33,0,2,2,0,219.0,187,84,75,15,74,2,183,7,0,15,899,122,3.46,1.192,7.7,0.6,3.0,7.5,2.47
2,SP,Scott Kazmir*,30,15,9,.625,3.55,32,32,0,2,0,0,190.1,171,81,75,16,50,1,164,4,1,9,777,106,3.35,1.161,8.1,0.8,2.4,7.8,3.28
3,SP,Jesse Chavez,30,8,8,.500,3.45,32,21,5,0,0,0,146.0,142,64,56,17,49,3,136,5,0,7,621,109,3.89,1.308,8.8,1.0,3.0,8.4,2.78
4,SP,Jeff Samardzija,29,5,6,.455,3.14,16,16,0,2,0,0,111.2,92,42,39,13,12,0,99,4,0,4,430,120,3.30,0.931,7.4,1.0,1.0,8.0,8.25
5,SP,Tommy Milone*,27,6,3,.667,3.55,16,16,0,0,0,0,96.1,91,42,38,12,26,2,61,4,0,0,405,106,4.42,1.215,8.5,1.1,2.4,5.7,2.35
6,SP,Jason Hammel,31,2,6,.250,4.26,13,12,1,0,0,0,67.2,66,34,32,13,21,0,54,3,0,2,286,88,5.10,1.286,8.8,1.7,2.8,7.2,2.57
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
7,CL,Sean Doolittle*,27,2,4,.333,2.73,61,0,40,0,0,22,62.2,38,19,19,5,8,1,89,0,0,0,236,138,1.71,0.734,5.5,0.7,1.1,12.8,11.13
8,RP,Dan Otero,29,8,2,.800,2.28,72,0,14,0,0,1,86.2,80,24,22,4,15,7,45,2,0,1,349,165,3.28,1.096,8.3,0.4,1.6,4.7,3.00
9,RP,Luke Gregerson,30,5,5,.500,2.12,72,0,17,0,0,3,72.1,58,20,17,6,15,3,59,1,0,6,284,178,3.24,1.009,7.2,0.7,1.9,7.3,3.93
10,RP,Fernando Abad*,28,2,4,.333,1.57,69,0,17,0,0,0,57.1,34,11,10,4,15,3,51,4,0,0,216,240,3.25,0.855,5.3,0.6,2.4,8.0,3.40
11,RP,Ryan Cook,27,1,3,.250,3.42,54,0,15,0,0,1,50.0,32,19,19,3,22,1,50,2,0,3,202,110,3.35,1.080,5.8,0.5,4.0,9.0,2.27
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
12,,Jon Lester*,30,6,4,.600,2.35,11,11,0,1,1,0,76.2,66,24,20,7,16,0,71,1,0,1,305,160,3.13,1.070,7.7,0.8,1.9,8.3,4.44
13,,Drew Pomeranz*,25,5,4,.556,2.35,20,10,4,0,0,0,69.0,51,22,18,7,26,0,64,1,0,0,278,160,3.77,1.116,6.7,0.9,3.4,8.3,2.46
14,,Jim Johnson,31,4,2,.667,7.14,38,0,18,0,0,2,40.1,60,33,32,5,23,3,28,3,0,4,200,53,5.29,2.058,13.4,1.1,5.1,6.2,1.22
15,,Dan Straily,25,1,2,.333,4.93,7,7,0,0,0,0,38.1,33,21,21,9,15,1,34,1,0,2,159,77,5.66,1.252,7.7,2.1,3.5,8.0,2.27
16,,Eric O'Flaherty*,29,1,0,1.000,2.25,21,0,6,0,0,1,20.0,15,5,5,3,4,0,15,2,0,3,80,170,4.48,0.950,6.8,1.4,1.8,6.8,3.75
17,,Brad Mills*,29,1,1,.500,4.41,3,3,0,0,0,0,16.1,19,9,8,2,7,0,14,1,0,1,73,87,4.48,1.592,10.5,1.1,3.9,7.7,2.00
18,,Jeff Francis*,33,0,1,.000,6.08,9,0,7,0,0,1,13.1,11,9,9,1,3,1,10,1,0,1,55,64,3.51,1.050,7.4,0.7,2.0,6.8,3.33
19,,Evan Scribner,28,1,0,1.000,4.63,13,0,6,0,0,0,11.2,11,6,6,4,0,0,11,1,0,0,47,84,5.96,0.943,8.5,3.1,0.0,8.5,
20,,Fernando Rodriguez,30,1,0,1.000,1.00,7,0,3,0,0,0,9.0,4,1,1,0,2,0,4,0,0,0,33,391,2.91,0.667,4.0,0.0,2.0,4.0,2.00
21,,Josh Lindblom,27,0,0,,3.86,1,1,0,0,0,0,4.2,5,2,2,1,2,0,2,1,0,0,22,106,6.99,1.500,9.6,1.9,3.9,3.9,1.00
22,,Joe Savery*,28,0,0,,0.00,3,0,2,0,0,0,4.0,3,0,0,0,1,0,0,0,0,0,15,,3.88,1.000,6.8,0.0,2.3,0.0,0.00
,,Team Totals,28.1,88,74,.543,3.22,162,162,155,7,3,31,1463.1,1269,572,524,147,406,28,1244,48,1,59,5972,117,3.67,1.145,7.8,0.9,2.5,7.7,3.06
,,Rank in 15 AL teams,,5,11,,2,,,,1,6,14,5,2,2,2,9,2,,6,,,,,,,,,,,,
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
