
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,A.J. Burnett,37,8,18,.308,4.59,34,34,0,1,0,0,213.2,205,122,109,20,96,2,190,16,0,9,935,80,4.14,1.409,8.6,0.8,4.0,8.0,1.98
2,SP,Cole Hamels*,30,9,9,.500,2.46,30,30,0,0,0,0,204.2,176,60,56,14,59,3,198,8,1,6,829,149,3.07,1.148,7.7,0.6,2.6,8.7,3.36
3,SP,Kyle Kendrick,29,10,13,.435,4.61,32,32,0,0,0,0,199.0,214,108,102,25,57,4,121,11,0,5,865,80,4.57,1.362,9.7,1.1,2.6,5.5,2.12
4,SP,Roberto Hernandez,33,6,8,.429,3.87,23,20,1,0,0,0,121.0,108,57,52,11,55,7,75,7,0,4,527,95,4.61,1.347,8.0,0.8,4.1,5.6,1.36
5,SP,David Buchanan,25,6,8,.429,3.75,20,20,0,0,0,0,117.2,120,55,49,12,32,2,71,8,0,0,503,98,4.27,1.292,9.2,0.9,2.4,5.4,2.22
6,SP,Cliff Lee*,35,4,5,.444,3.65,13,13,0,1,0,0,81.1,100,40,33,7,12,0,72,1,0,1,352,101,2.96,1.377,11.1,0.8,1.3,8.0,6.00
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
7,CL,Jonathan Papelbon,33,2,3,.400,2.04,66,0,52,0,0,39,66.1,45,15,15,2,15,1,63,5,0,1,259,181,2.53,0.905,6.1,0.3,2.0,8.5,4.20
8,RP,Jake Diekman*,27,5,5,.500,3.80,73,0,19,0,0,0,71.0,66,36,30,4,35,5,100,3,0,7,313,97,2.65,1.423,8.4,0.5,4.4,12.7,2.86
9,RP,Antonio Bastardo*,28,5,7,.417,3.94,67,0,17,0,0,0,64.0,43,31,28,4,34,4,81,2,0,5,271,94,3.10,1.203,6.0,0.6,4.8,11.4,2.38
10,RP,Justin De Fratus,26,3,1,.750,2.39,54,0,17,0,0,0,52.2,45,19,14,4,12,4,49,3,0,2,219,154,3.11,1.082,7.7,0.7,2.1,8.4,4.08
11,RP,Mario Hollands*,25,2,2,.500,4.40,50,0,2,0,0,0,47.0,45,25,23,3,21,2,35,1,0,4,204,84,3.88,1.404,8.6,0.6,4.0,6.7,1.67
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
12,,Jerome Williams,32,4,2,.667,2.83,9,9,0,0,0,0,57.1,48,20,18,5,17,1,38,3,0,0,230,131,3.99,1.134,7.5,0.8,2.7,6.0,2.24
13,,Ken Giles,23,3,1,.750,1.18,44,0,11,0,0,1,45.2,25,7,6,1,11,1,64,0,0,1,166,313,1.34,0.788,4.9,0.2,2.2,12.6,5.82
14,,Jeff Manship,29,1,2,.333,6.65,20,0,7,0,0,0,23.0,24,17,17,1,14,5,16,0,0,0,105,56,4.13,1.652,9.4,0.4,5.5,6.3,1.14
