
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Pedro Alvarez,27,104,103,80,860.1,359,100,234,25,29,.930,-5,-8,-5,-7,3.49,3.12,,,,,,,,3B-1B-DH
John Axford,31,13,0,0,11.0,4,2,2,0,0,1.000,,,0,0,3.27,0.31,,,0,1,100%,28%,0,P
Clint Barmes,35,44,26,19,271.1,119,38,79,2,11,.983,2,9,3,14,3.88,2.60,,,,,,,,SS-2B-3B-1B
Gerrit Cole,23,22,22,0,138.0,33,7,24,2,1,.939,,,0,0,2.02,1.41,,,21,5,19%,28%,1,P
Brandon Cumpton,25,16,10,0,70.0,12,4,8,0,1,1.000,,,1,3,1.54,0.75,,,6,2,25%,28%,1,P
Chase d'Arnaud,27,1,0,0,0.2,0,0,0,0,0,,0,0,0,0,0.00,0.00,,,,,,,,SS
Ike Davis,27,117,95,56,808.0,952,886,57,9,79,.991,2,2,-6,-9,10.50,7.92,,,,,,,,1B-DH
Jaff Decker,24,2,0,0,3.0,0,0,0,0,0,,0,0,0,0,0.00,0.00,,,,,,,,LF
Ernesto Frieri,28,14,0,0,10.2,1,0,1,0,0,1.000,,,0,0,0.84,0.07,,,0,0,,,0,P
Jeanmar Gomez,26,44,0,0,62.0,14,5,8,1,0,.929,,,0,0,1.89,0.30,,,6,4,40%,28%,0,P
Jason Grilli,37,22,0,0,20.1,2,1,1,0,1,1.000,,,1,11,0.89,0.09,,,1,0,0%,28%,0,P
Josh Harrison,26,127,116,81,1027.0,354,151,197,6,30,.983,13,15,14,16,3.05,2.34,,,,,,,,3B-RF-LF-2B-SS
John Holdzkom,26,9,0,0,9.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,1,100%,28%,0,P
Jared Hughes,28,63,0,0,64.1,24,5,18,1,2,.958,,,3,10,3.22,0.37,,,4,6,60%,28%,1,P
Travis Ishikawa,30,11,10,5,85.0,102,95,6,1,7,.990,1,12,0,0,10.69,9.18,,,,,,,,1B
