
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Russell Martin,31,111,460,379,45,110,20,0,11,67,4,4,59,78,.290,.402,.430,.832,133,163,16,15,2,5,5
2,1B,Ike Davis*,27,131,397,336,39,79,18,0,10,46,0,4,57,74,.235,.343,.378,.721,102,127,8,0,0,4,3
3,2B,Neil Walker#,28,137,571,512,74,139,25,3,23,76,2,2,45,88,.271,.342,.467,.809,124,239,12,11,1,2,2
4,SS,Jordy Mercer,27,149,555,506,56,129,27,2,12,55,4,1,35,89,.255,.305,.387,.693,93,196,14,4,5,5,12
5,3B,Pedro Alvarez*,27,122,445,398,46,92,13,1,18,56,8,3,45,113,.231,.312,.405,.717,99,161,12,2,0,0,6
6,LF,Starling Marte,25,135,545,495,73,144,29,6,13,56,30,11,33,131,.291,.356,.453,.808,125,224,5,17,0,0,0
7,CF,Andrew McCutchen,27,146,648,548,89,172,38,6,25,83,18,3,84,115,.314,.410,.542,.952,164,297,9,10,0,6,8
8,RF,Gregory Polanco*,22,89,312,277,50,65,9,0,7,33,14,5,30,59,.235,.307,.343,.650,82,95,1,0,2,2,1
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,UT,Josh Harrison,26,143,550,520,77,164,38,7,13,52,18,7,22,81,.315,.347,.490,.837,131,255,6,4,2,2,1
10,OF,Travis Snider*,26,140,359,322,37,85,15,1,13,38,1,1,34,67,.264,.338,.438,.776,115,141,10,2,1,0,2
11,1B,Gaby Sanchez,30,123,290,262,31,60,18,1,7,33,2,0,23,58,.229,.293,.385,.679,88,101,6,2,0,3,0
12,RF,Jose Tabata,25,80,186,174,14,49,5,2,0,17,1,2,7,26,.282,.314,.333,.647,81,58,12,2,1,2,0
