
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Edinson Volquez,30,13,7,.650,3.04,32,31,0,1,0,0,192.2,166,75,65,17,71,6,140,14,0,15,809,121,4.15,1.230,7.8,0.8,3.3,6.5,1.97
2,SP,Francisco Liriano*,30,7,10,.412,3.38,29,29,0,0,0,0,162.1,130,68,61,13,81,3,175,4,0,12,691,109,3.59,1.300,7.2,0.7,4.5,9.7,2.16
3,SP,Charlie Morton,30,6,12,.333,3.72,26,26,0,0,0,0,157.1,143,76,65,9,57,2,126,19,0,8,666,99,3.72,1.271,8.2,0.5,3.3,7.2,2.21
4,SP,Gerrit Cole,23,11,5,.688,3.65,22,22,0,0,0,0,138.0,127,58,56,11,40,1,138,9,1,9,571,101,3.23,1.210,8.3,0.7,2.6,9.0,3.45
5,SP,Jeff Locke*,26,7,6,.538,3.91,21,21,0,0,0,0,131.1,127,63,57,16,40,2,89,4,0,1,548,94,4.37,1.272,8.7,1.1,2.7,6.1,2.23
6,SP,Vance Worley,26,8,4,.667,2.85,18,17,0,1,1,0,110.2,112,43,35,9,22,1,79,3,0,4,458,129,3.44,1.211,9.1,0.7,1.8,6.4,3.59
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
7,CL,Mark Melancon,29,3,5,.375,1.90,72,0,48,0,0,33,71.0,51,15,15,2,11,1,71,3,0,3,277,194,2.09,0.873,6.5,0.3,1.4,9.0,6.45
8,RP,Tony Watson*,29,10,2,.833,1.63,78,0,3,0,0,2,77.1,64,16,14,5,15,0,81,6,0,0,305,226,2.69,1.022,7.4,0.6,1.7,9.4,5.40
9,RP,Jared Hughes,28,7,5,.583,1.96,63,0,16,0,0,0,64.1,51,21,14,4,19,5,36,6,0,2,256,188,3.99,1.088,7.1,0.6,2.7,5.0,1.89
10,RP,Jeanmar Gomez,26,2,2,.500,3.19,44,0,20,0,0,1,62.0,70,24,22,6,23,7,38,2,0,2,270,115,4.37,1.500,10.2,0.9,3.3,5.5,1.65
11,RP,Justin Wilson*,26,3,4,.429,4.20,70,0,15,0,0,0,60.0,49,30,28,4,30,5,61,3,0,4,256,88,3.62,1.317,7.4,0.6,4.5,9.2,2.03
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
12,,Brandon Cumpton,25,3,4,.429,4.89,16,10,4,0,0,0,70.0,82,41,38,2,18,2,46,6,0,2,309,75,3.22,1.429,10.5,0.3,2.3,5.9,2.56
13,,Stolmy Pimentel,24,2,1,.667,5.23,20,0,11,0,0,0,32.2,34,19,19,5,16,2,38,2,0,2,148,71,4.45,1.531,9.4,1.4,4.4,10.5,2.38
14,,Wandy Rodriguez*,35,0,2,.000,6.75,6,6,0,0,0,0,26.2,37,25,20,10,8,1,20,0,1,0,125,55,7.41,1.688,12.5,3.4,2.7,6.8,2.50
15,,Bryan Morris,27,4,0,1.000,3.80,21,0,7,0,0,0,23.2,25,11,10,4,12,3,14,2,1,3,103,98,5.92,1.563,9.5,1.5,4.6,5.3,1.17
16,,Jason Grilli,37,0,2,.000,4.87,22,0,16,0,0,11,20.1,22,11,11,4,11,1,21,1,0,0,93,77,5.39,1.623,9.7,1.8,4.9,9.3,1.91
17,,John Axford,31,0,1,.000,4.09,13,0,4,0,0,0,11.0,9,5,5,0,6,0,12,1,0,1,47,93,2.86,1.364,7.4,0.0,4.9,9.8,2.00
18,,Ernesto Frieri,28,1,1,.500,10.13,14,0,8,0,0,0,10.2,14,12,12,3,5,1,10,1,0,0,51,38,6.60,1.781,11.8,2.5,4.2,8.4,2.00
19,,Vin Mazzaro,27,0,0,,3.48,5,0,1,0,0,0,10.1,8,4,4,2,5,0,7,1,0,0,46,109,6.04,1.258,7.0,1.7,4.4,6.1,1.40
20,,Casey Sadler,23,0,1,.000,7.84,6,0,2,0,0,0,10.1,12,9,9,0,5,0,7,1,0,1,49,49,3.52,1.645,10.5,0.0,4.4,6.1,1.40
21,,John Holdzkom,26,1,0,1.000,2.00,9,0,3,0,0,1,9.0,4,2,2,1,2,0,14,0,0,1,32,192,2.13,0.667,4.0,1.0,2.0,14.0,7.00
22,,Bobby LaFromboise*,28,0,0,,2.45,6,0,1,0,0,0,3.2,3,1,1,1,0,0,4,0,0,1,14,166,4.50,0.818,7.4,2.5,0.0,9.8,
23,,Travis Snider*,26,0,0,,18.00,1,0,1,0,0,0,1.0,1,2,2,0,2,0,1,0,0,0,6,29,7.13,3.000,9.0,0.0,18.0,9.0,0.50
,,Team Totals,27.8,88,74,.543,3.47,162,162,160,2,1,48,1456.1,1341,631,562,128,499,43,1228,88,3,71,6130,106,3.80,1.263,8.3,0.8,3.1,7.6,2.46
,,Rank in 15 NL teams,,4,11,,5,,,,10,13,3,8,6,9,5,7,10,,11,,,,,,,,,,,,
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
