
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Rene Rivera,30,103,329,294,27,74,18,1,11,44,0,0,27,76,.252,.319,.432,.751,117,127,6,3,3,2,3
2,1B,Yonder Alonso*,27,84,288,267,27,64,19,1,7,27,6,1,17,36,.240,.285,.397,.682,97,106,8,1,0,3,1
3,2B,Jedd Gyorko,25,111,443,400,37,84,17,1,10,51,3,2,36,100,.210,.280,.333,.612,79,133,8,4,0,3,1
4,SS,Everth Cabrera#,27,90,391,357,36,83,13,1,3,20,18,8,20,86,.232,.272,.300,.572,67,107,5,1,9,4,0
5,3B,Chase Headley#,30,77,307,279,27,64,12,1,7,32,4,1,22,73,.229,.296,.355,.651,90,99,12,5,0,1,0
6,LF,Seth Smith*,31,136,521,443,55,118,31,5,12,48,1,1,69,87,.266,.367,.440,.807,135,195,9,4,0,4,3
7,CF,Cameron Maybin,27,95,272,251,24,59,13,4,1,15,4,3,19,56,.235,.290,.331,.621,81,83,8,1,0,1,2
8,RF,Will Venable*,31,146,448,406,47,91,13,2,8,33,11,6,33,107,.224,.288,.325,.613,79,132,6,4,3,2,2
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
9,IF,Alexi Amarista*,25,148,466,423,39,101,13,2,5,40,12,1,29,69,.239,.286,.314,.600,76,133,6,1,8,5,5
10,UT,Yasmani Grandal#,25,128,443,377,47,85,19,1,15,49,3,0,58,115,.225,.327,.401,.728,112,151,7,2,0,6,1
11,RF,Chris Denorfia,33,89,268,248,25,60,10,3,1,16,8,1,18,51,.242,.293,.319,.612,79,79,4,0,2,0,0
12,UT,Tommy Medica,26,102,259,240,31,56,11,2,9,27,6,1,14,75,.233,.286,.408,.694,100,98,5,4,0,1,0
13,3B,Yangervis Solarte#,26,56,246,217,30,58,5,1,4,17,0,1,23,24,.267,.336,.355,.691,103,77,5,1,2,3,1
14,LF,Carlos Quentin,31,50,155,130,9,23,6,0,4,18,0,0,17,33,.177,.284,.315,.599,75,41,5,4,0,4,0
15,RF,Rymer Liriano,23,38,121,109,13,24,2,0,1,6,4,1,9,39,.220,.289,.266,.555,64,29,6,2,0,1,1
16,1B,Jake Goebbert*,26,51,115,101,12,22,1,3,1,10,2,1,12,32,.218,.313,.317,.630,85,32,0,2,0,0,3
17,OF,Abraham Almonte#,25,32,107,98,9,26,5,0,2,7,1,2,6,20,.265,.305,.378,.682,98,37,4,0,2,1,0
18,3B,Chris Nelson,28,27,81,73,5,17,3,0,0,7,1,2,7,14,.233,.296,.274,.570,68,20,5,0,0,1,1
19,UT,Cory Spangenberg*,23,20,65,62,7,18,2,1,2,9,4,2,2,14,.290,.313,.452,.764,120,28,1,0,1,0,0
20,C,Nick Hundley,30,33,59,59,1,16,3,0,1,3,0,0,0,13,.271,.271,.373,.644,86,22,1,0,0,0,0
21,IF,Jace Peterson*,24,27,58,53,3,6,0,0,0,0,2,0,2,18,.113,.161,.113,.274,-18,6,1,1,2,0,1
22,OF,Xavier Nady,35,22,42,37,4,5,1,0,3,4,0,0,5,9,.135,.238,.405,.644,84,15,4,0,0,0,0
23,2B,Brooks Conrad#,34,13,34,30,2,3,1,0,1,2,0,0,3,14,.100,.176,.233,.410,19,7,0,0,0,1,0
24,RF,Jeff Francoeur,30,10,28,24,2,2,0,0,0,1,0,0,3,7,.083,.179,.083,.262,-20,2,0,0,0,1,0
25,2B,Irving Falu#,31,11,23,20,0,3,0,0,0,0,1,0,3,4,.150,.261,.150,.411,24,3,1,0,0,0,1
26,C,Adam Moore,30,9,12,10,1,2,1,0,0,1,0,0,2,5,.200,.333,.300,.633,87,3,0,0,0,0,1
27,1B,Kyle Blanks,27,5,10,10,1,2,0,0,0,0,0,0,0,3,.200,.200,.200,.400,18,2,0,0,0,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
28,P,Ian Kennedy,29,33,63,52,3,6,1,0,1,5,0,0,5,24,.115,.193,.192,.385,13,10,0,0,6,0,0
29,P,Tyson Ross,27,32,63,56,6,10,1,0,0,3,0,0,3,22,.179,.230,.196,.426,26,11,0,1,2,1,0
30,P,Eric Stults*,34,32,53,48,1,4,1,0,0,1,0,0,1,18,.083,.102,.104,.206,-39,5,1,0,4,0,0
31,P,Andrew Cashner,27,23,42,35,3,6,1,1,0,2,0,0,1,14,.171,.194,.257,.452,31,9,0,0,6,0,0
32,P,Odrisamer Despaigne,27,16,28,24,0,0,0,0,0,0,0,0,1,10,.000,.040,.000,.040,-87,0,0,0,3,0,0
33,P,Jesse Hahn,24,15,24,22,1,2,0,0,0,1,0,0,0,12,.091,.091,.091,.182,-47,2,0,0,2,0,0
34,P,Robbie Erlin,23,13,19,18,0,2,0,0,0,1,0,0,1,6,.111,.158,.111,.269,-19,2,0,0,0,0,0
35,P,Tim Stauffer,32,44,8,7,0,1,0,0,0,0,0,0,0,2,.143,.143,.143,.286,-16,1,0,0,1,0,0
36,P,Donn Roach,24,16,4,4,0,1,1,0,0,0,0,0,0,1,.250,.250,.500,.750,113,2,0,0,0,0,0
37,P,Joe Wieland,24,4,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
38,P,Jason Lane,37,3,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,96,1,0,0,0,0,0
39,P,Nick Vincent,27,63,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
40,P,Alex Torres*,26,70,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
41,P,Dale Thayer,33,70,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
42,P,Billy Buckner,30,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
43,P,Leonel Campos,26,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Kevin Quackenbush,25,56,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Frank Garces*,24,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Huston Street,30,33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Blaine Boyer,32,32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Hector Ambriz*,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Joaquin Benoit,36,53,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Troy Patton#,28,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,R.J. Alvarez,23,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,27.9,162,5905,5294,535,1199,224,30,109,500,91,34,468,1294,.226,.292,.342,.634,85,1810,118,41,56,45,27
,,Rank in 15 NL teams,,,,15,15,15,15,7,14,,9,8,8,10,15,15,15,15,,15,,14,,3,
,,Non-Pitcher Totals,27.9,162,5591,5018,521,1166,219,29,108,487,91,34,456,1180,.232,.299,.352,.651,90,1767,117,40,32,44,27
,,Pitcher Totals,28.2,162,314,276,14,33,5,1,1,13,0,0,12,114,.120,.159,.156,.314,-7,43,1,1,24,1,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
