
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Nathan Adcock,26,7,0,0,10.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Jim Adduci,29,31,26,20,219.2,75,73,2,0,0,1.000,7,38,7,38,3.07,2.08,,,,,,,,LF-RF-1B-DH
Elvis Andrus,25,153,156,143,1309.1,626,237,371,18,94,.971,-7,-7,-13,-12,4.18,3.87,,,,,,,,SS-DH
J.P. Arencibia,28,45,58,32,362.2,328,304,20,4,18,.988,-8,-27,-6,-3,8.04,5.31,3,9,9,3,25%,27%,0,C-1B-P-DH
Scott Baker,32,25,8,0,80.2,7,6,1,0,1,1.000,,,0,0,0.78,0.28,,,5,2,29%,27%,0,P
Adrian Beltre,35,136,148,125,1171.1,362,144,206,12,25,.967,-9,-10,9,9,2.69,2.36,,,,,,,,3B-DH
Lisalverto Bonilla,24,5,3,0,20.2,4,3,1,0,0,1.000,,,-1,-9,1.74,0.80,,,4,0,0%,26%,0,P
Mike Carp,28,14,10,8,84.2,74,68,4,2,7,.973,-1,-19,-2,-28,7.65,4.80,,,,,,,,1B-RF-LF-DH
Robinson Chirinos,30,91,88,87,784.0,634,585,45,4,7,.994,10,15,4,6,7.23,6.92,5,22,44,29,40%,27%,3,C
Michael Choice,24,65,67,48,495.0,128,119,5,4,0,.969,-14,-34,-10,-24,2.25,1.53,,,,,,,,LF-RF-CF-DH
Shin-Soo Choo,31,75,119,57,627.1,137,129,4,4,0,.971,-17,-32,-13,-25,1.91,1.10,,,,,,,,LF-RF-DH
Alex Claudio,22,15,0,0,12.1,2,1,1,0,0,1.000,,,-1,-15,1.46,0.13,,,1,0,0%,27%,0,P
Neal Cotts,34,73,0,0,66.2,10,3,7,0,0,1.000,,,1,3,1.35,0.14,,,3,1,25%,26%,1,P
Yu Darvish,27,22,22,2,144.1,22,6,16,0,1,1.000,,,2,3,1.37,1.00,,,10,0,0%,27%,0,P
Jon Edwards,26,9,0,0,8.1,1,0,1,0,0,1.000,,,0,0,1.08,0.11,,,2,0,0%,26%,0,P
Ryan Feierabend,28,6,0,0,7.1,4,2,1,1,0,.750,,,-1,-25,3.68,0.50,,,0,0,,,1,P
Neftali Feliz,26,30,0,0,31.2,6,4,2,0,1,1.000,,,0,0,1.71,0.20,,,1,1,50%,26%,0,P
Prince Fielder,30,39,42,39,345.1,351,333,14,4,36,.989,-1,-3,-2,-7,9.04,8.26,,,,,,,,1B-DH
Pedro Figueroa,28,10,0,0,9.0,2,1,1,0,0,1.000,,,0,0,2.00,0.20,,,0,0,,,0,P
Jason Frasor,36,38,0,0,29.2,2,0,2,0,1,1.000,,,1,7,0.61,0.05,,,2,0,0%,26%,0,P
Justin Germano,31,2,0,0,5.1,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Chris Gimenez,31,32,29,29,251.0,238,225,11,2,2,.992,-3,-12,-4,-19,8.46,7.15,1,14,11,2,15%,27%,1,C-1B-P-DH
Matt Harrison,28,4,4,0,17.1,1,0,1,0,0,1.000,,,-1,-10,0.52,0.25,,,0,0,,,0,P
Derek Holland,27,6,5,0,37.0,4,1,2,1,0,.750,,,-2,-10,0.73,0.50,,,1,2,67%,27%,2,P
