
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Aaron Barrett,26,50,0,0,40.2,7,2,4,1,0,.857,,,0,0,1.33,0.12,,,3,2,40%,28%,0,P
Jerry Blevins,30,64,0,0,57.1,7,1,6,0,0,1.000,,,1,4,1.10,0.11,,,4,2,33%,28%,0,P
Asdrubal Cabrera,28,48,48,44,435.0,207,73,133,1,29,.995,1,2,-10,-28,4.26,4.20,,,,,,,,2B-SS
Xavier Cedeno,27,9,0,0,7.0,1,0,1,0,0,1.000,,,0,0,1.29,0.11,,,0,0,,,0,P
Tyler Clippard,29,75,0,0,70.1,8,1,7,0,1,1.000,,,1,3,1.02,0.11,,,4,2,33%,28%,0,P
Ian Desmond,28,154,154,146,1377.2,643,203,416,24,82,.963,4,4,2,2,4.04,4.02,,,,,,,,SS
Ross Detwiler,28,47,0,0,63.0,14,4,10,0,1,1.000,,,-3,-9,2.00,0.30,,,3,2,40%,28%,1,P
Greg Dobbs,35,3,3,2,30.0,34,31,3,0,3,1.000,-0,-6,-1,-40,10.20,11.33,,,,,,,,1B
Danny Espinosa,27,100,85,80,793.1,437,173,259,5,65,.989,2,4,0,0,4.90,4.28,,,,,,,,2B-SS
Doug Fister,30,25,25,1,164.0,37,15,21,1,0,.973,,,2,3,1.98,1.44,,,0,1,100%,28%,1,P
Kevin Frandsen,32,58,42,34,405.0,172,113,56,3,11,.983,-4,-13,-1,-3,3.76,2.86,,,,,,,,LF-3B-2B-1B
Gio Gonzalez,28,27,27,0,158.2,26,6,19,1,1,.962,,,-1,-1,1.42,0.93,,,8,6,43%,28%,3,P
Scott Hairston,34,16,12,4,90.0,27,25,0,2,0,.926,-1,-9,0,0,2.50,1.47,,,,,,,,LF-RF-DH
Bryce Harper,21,98,94,80,841.1,179,166,9,4,0,.978,-5,-7,-1,-2,1.87,1.64,,,,,,,,LF-RF-CF
Taylor Hill,25,3,1,0,9.0,3,0,3,0,0,1.000,,,-1,-20,3.00,1.00,,,0,0,,,0,P
Taylor Jordan,25,5,5,0,25.2,6,3,3,0,0,1.000,,,0,0,2.10,1.20,,,0,1,100%,28%,0,P
Jeff Kobernus,26,3,2,2,21.0,10,1,9,0,4,1.000,1,83,1,57,4.29,3.33,,,,,,,,2B
Adam LaRoche,34,136,136,123,1200.0,1200,1100,93,7,101,.994,2,2,0,0,8.95,8.71,,,,,,,,1B-DH
Sandy Leon,25,20,17,16,157.0,164,154,9,1,1,.994,2,15,2,16,9.34,8.15,1,3,3,5,63%,28%,0,C
Jose Lobaton,29,64,58,55,538.2,545,497,46,2,3,.996,4,9,4,9,9.07,8.48,1,14,27,13,33%,28%,0,C
Ryan Mattheus,30,7,0,0,8.2,1,0,1,0,0,1.000,,,0,0,1.04,0.14,,,0,0,,,0,P
Nate McLouth,32,50,33,27,318.0,66,64,0,2,0,.970,2,8,-1,-4,1.81,1.19,,,,,,,,LF-RF-CF-DH
Tyler Moore,27,27,20,16,189.1,199,180,16,3,16,.985,-2,-10,3,19,9.32,7.00,,,,,,,,1B-LF
Wilson Ramos,26,87,88,82,775.0,685,626,54,5,2,.993,8,12,0,0,7.90,7.73,4,20,30,18,38%,28%,4,C-DH
Anthony Rendon,24,152,151,139,1364.0,459,157,287,15,38,.967,13,12,16,14,2.93,2.74,,,,,,,,3B-2B
Tanner Roark,27,31,31,1,198.2,36,9,25,2,5,.944,,,4,4,1.54,1.10,,,8,5,38%,28%,1,P
Nate Schierholtz,30,10,6,5,67.0,8,8,0,0,0,1.000,1,23,1,18,1.07,0.67,,,,,,,,RF-LF-CF
Rafael Soriano,34,64,0,0,62.0,6,2,4,0,1,1.000,,,0,0,0.87,0.09,,,3,2,40%,28%,0,P
Steven Souza,25,13,4,3,46.0,11,10,0,1,0,.909,1,20,0,0,1.96,0.77,,,,,,,,RF-LF-CF
