
Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,52,4.58,.673,162,1458,1209,12999.0,6079,4333,1645,101,147,.983,-9,-1,23,2
ATL,39,3.69,.687,162,1458,1191,13095.0,5977,4365,1527,85,143,.986,37,3,20,2
BAL,43,3.66,.706,162,1458,1124,13152.0,6075,4384,1604,87,156,.986,50,5,50,1
BOS,55,4.41,.685,162,1458,1136,13191.0,6099,4397,1610,92,155,.985,5,0,28,3
CHC,48,4.36,.680,162,1458,1120,13170.0,6161,4390,1668,103,137,.983,-1,-0,-21,-2
CHW,44,4.68,.678,162,1458,1144,12969.0,6112,4323,1682,107,170,.982,-47,-4,-55,-5
CIN,45,3.78,.712,162,1458,1145,13014.0,5998,4338,1588,72,120,.988,61,6,68,1
CLE,45,4.03,.673,162,1458,1153,13215.0,6120,4405,1599,116,139,.981,-48,-4,-73,-7
COL,49,5.05,.678,162,1458,1109,12879.0,6207,4293,1808,106,166,.983,30,3,19,2
DET,48,4.35,.673,162,1458,1079,13086.0,6001,4362,1538,101,153,.983,-84,-8,-64,-6
HOU,48,4.46,.685,162,1458,1167,12948.0,6126,4316,1704,106,151,.983,-54,-5,-15,-1
KCR,48,3.85,.693,162,1458,1127,13056.0,5968,4352,1512,104,122,.983,27,2,41,1
LAA,54,3.89,.703,162,1458,1061,13344.0,6013,4448,1482,83,127,.986,8,1,-15,-1
LAD,49,3.81,.690,162,1458,1074,13182.0,6208,4394,1707,107,145,.983,5,0,28,3
MIA,44,4.16,.675,162,1458,1168,13119.0,6170,4373,1700,97,154,.984,-11,-1,-3,-0
MIL,40,4.06,.696,162,1458,1110,13119.0,6074,4373,1602,99,130,.984,18,2,-3,-0
MIN,48,4.80,.672,162,1458,1155,12915.0,5981,4305,1579,97,136,.984,-62,-6,-71,-7
NYM,45,3.81,.688,162,1458,1137,13173.0,6112,4391,1617,104,158,.983,-15,-1,18,2
NYY,58,4.10,.687,162,1458,1120,13077.0,5925,4359,1474,92,107,.984,-2,-0,-1,-0
OAK,43,3.53,.710,162,1458,1048,13170.0,6135,4390,1634,111,150,.982,18,2,34,3
PHI,49,4.24,.693,162,1458,1154,13215.0,6161,4405,1673,83,133,.987,-11,-1,-38,-3
PIT,44,3.90,.694,162,1458,1043,13107.0,6316,4369,1838,109,148,.983,34,3,37,1
SDP,51,3.56,.695,162,1458,1039,12948.0,5977,4316,1560,101,124,.983,21,2,38,4
SEA,44,3.42,.712,162,1458,1136,13068.0,6046,4356,1608,82,139,.986,26,2,-9,-1
SFG,46,3.79,.703,162,1458,1054,13041.0,6146,4347,1699,100,155,.984,35,3,-3,-0
STL,45,3.72,.701,162,1458,1094,13038.0,6051,4346,1617,88,145,.985,29,3,66,6
TBR,41,3.86,.700,162,1458,1108,13173.0,5788,4391,1309,88,96,.985,-23,-2,-33,-3
TEX,64,4.77,.675,162,1458,1186,12837.0,5798,4279,1413,106,155,.982,-46,-4,-41,-4
TOR,55,4.23,.693,162,1458,995,12987.0,5944,4329,1528,87,130,.985,-13,-1,-29,-3
WSN,40,3.43,.691,162,1458,1167,13236.0,6137,4412,1625,100,139,.984,42,4,11,0
LgAvg,44,4.07,.690,162,1458,1118,13084,6064,4361,1605,97,141,.984,1,0,,
Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
,1313,4.07,.690,4860,43740,33553,392523.0,181905,130841,48150,2914,4230,.984,21,0,,
